1728236009
0xfcd8 0xfc8c 0xfc51 0xfc3a 0xfbeb 0xfbcb 0xfbb2 0xfbad 0xfb2c 0xfaed 0xfb72 0xfb89 0xfa80 0xfa7c 0xfb07 0xfc4a 
0xfccc 0xfc8a 0xfc4e 0xfc0f 0xfbbe 0xfba5 0xfbaf 0xfb94 0xfb57 0xfaee 0xfb0a 0xfba3 0xfb44 0xfa7b 0xfad7 0xfb55 
0xfc83 0xfc40 0xfc14 0xfbe7 0xfb85 0xfb52 0xfb52 0xfb47 0xfb36 0xfb30 0xfb24 0xfb4e 0xfba5 0xfa94 0xfa95 0xfb0f 
0xfca0 0xfc50 0xfc13 0xfbd9 0xfb75 0xfb2f 0xfb49 0xfb3a 0xfb26 0xfb28 0xfb4d 0xfb87 0xfbb1 0xfb5f 0xfa9b 0xfaf5 
0xfc71 0xfc20 0xfbf2 0xfbb3 0xfb56 0xfb1c 0xfb1c 0xfb1b 0xfb03 0xfb18 0xfb45 0xfb6d 0xfb9f 0xfba0 0xfa69 0xfad7 
0xfc77 0xfc26 0xfbef 0xfbae 0xfb56 0xfb2d 0xfb2f 0xfb26 0xfb12 0xfb3e 0xfb75 0xfb7c 0xfba7 0xfc04 0xfab9 0xfadb 
0xfc5c 0xfc0b 0xfbd2 0xfb8b 0xfb42 0xfb0e 0xfb0c 0xfb16 0xfb12 0xfb33 0xfb66 0xfb7c 0xfba1 0xfbe7 0xfae5 0xfb09 
0xfc7d 0xfc23 0xfbe7 0xfba7 0xfb50 0xfb35 0xfb38 0xfb2d 0xfb29 0xfb46 0xfb70 0xfb8c 0xfbbe 0xfc0a 0xfb12 0xfb2a 
0xfc62 0xfc10 0xfbda 0xfbaa 0xfb58 0xfb36 0xfb39 0xfb31 0xfb2a 0xfb7b 0xfba6 0xfba4 0xfbc5 0xfc01 0xfb06 0xfb49 
0xfc6e 0xfc39 0xfc0d 0xfbd5 0xfb87 0xfb6f 0xfb5e 0xfb4b 0xfb83 0xfba4 0xfbb2 0xfbc8 0xfc03 0xfc19 0xfb43 0xfbae 
0xfc28 0xfbfa 0xfbef 0xfbc9 0xfba0 0xfb73 0xfb63 0xfb54 0xfb97 0xfb89 0xfbca 0xfbf4 0xfc24 0xfbbe 0xfb79 0xfc54 
0xfc96 0xfbb8 0xfbd0 0xfb8a 0xfb7a 0xfb5a 0xfb58 0xfb83 0xfbac 0xfbb3 0xfc05 0xfc2b 0xfc3f 0xfb81 0xfc09 0xfdb4 
0x4b75 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfdb6 0xf547 0x1cac 0xd92b 0xfff8 0xfff8 0x0000 0x0003 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0640 0x1901 0x1901 0x1901 0x1901 0x1900 0x1900 0x1900 0xfdb4 0xce46 0xd0d7 0xd8e7 0xfffb 0xfff5 0x0002 0x0005 
