1728236009
0xfa9f 0xf9f0 0xf989 0xf8f9 0xf856 0xf90e 0xf96e 0xf795 0xf78c 0xf7ae 0xf81a 0xf8a3 0xf8fb 0xf967 0xfa3a 0xfb5b 
0xfa5b 0xf9ba 0xf921 0xf87f 0xf7db 0xf757 0xf718 0xf70f 0xf6de 0xf718 0xf777 0xf7f6 0xf893 0xf934 0xf9ed 0xfaad 
0xf9e5 0xf934 0xf87d 0xf7c8 0xf731 0xf692 0xf67a 0xf64e 0xf630 0xf64b 0xf6d8 0xf779 0xf7ed 0xf899 0xf987 0xfa40 
0xf9c0 0xf8ec 0xf82d 0xf786 0xf6a1 0xf641 0xf5f8 0xf5cc 0xf5d6 0xf5fa 0xf6b7 0xf728 0xf7ca 0xf87b 0xf96c 0xfa5f 
0xf98c 0xf8a3 0xf7d7 0xf72a 0xf659 0xf5be 0xf56f 0xf552 0xf566 0xf58c 0xf62d 0xf6a0 0xf74d 0xf82c 0xf939 0xf9ec 
0xf981 0xf8a4 0xf7db 0xf71a 0xf624 0xf599 0xf566 0xf51b 0xf53b 0xf587 0xf5fe 0xf6a0 0xf779 0xf852 0xf927 0xf9ed 
0xf953 0xf874 0xf7be 0xf6e1 0xf635 0xf57c 0xf52e 0xf554 0xf50f 0xf569 0xf628 0xf6a7 0xf773 0xf83f 0xf928 0xfa0b 
0xf97f 0xf8b2 0xf815 0xf765 0xf66a 0xf5f5 0xf5b7 0xf570 0xf56f 0xf5c2 0xf66b 0xf701 0xf7b4 0xf87e 0xf967 0xfa39 
0xf98b 0xf8d2 0xf816 0xf78e 0xf6c7 0xf6bf 0xf5f2 0xf5d7 0xf5cc 0xf61b 0xf6a5 0xf762 0xf7df 0xf8b2 0xf986 0xfa6f 
0xf9e3 0xf949 0xf89f 0xf7fb 0xf78b 0xf6fc 0xf6a6 0xf693 0xf686 0xf6c1 0xf75d 0xf803 0xf880 0xf91b 0xf9fa 0xfadf 
0xfa37 0xf973 0xf8f6 0xf87d 0xf7eb 0xf789 0xf751 0xf73d 0xf714 0xf766 0xf800 0xf87d 0xf8fd 0xf9ad 0xfa6a 0xfbf9 
0xfb57 0xf9d1 0xf971 0xf8d7 0xf893 0xf816 0xf812 0xf7d5 0xf7d8 0xf821 0xf8cd 0xf90b 0xf9cd 0xfa9c 0xfbda 0xfd3d 
0x4c56 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd95 0xf53c 0x1bf3 0xd780 0xffea 0xffeb 0xfffb 0xfffa 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x06b5 0x1ad7 0x1ad7 0x1ad7 0x1ad7 0x1ad5 0x1ad5 0x1ad5 0xfd92 0xcc00 0xce56 0xd718 0xffeb 0xffe8 0x0000 0x0000 
