1728236039
0xfcfd 0xfbe6 0xfbaf 0xfb48 0xfaea 0xfaaf 0xfa94 0xfa6e 0xfa83 0xfa80 0xfac4 0xfaf6 0xfb44 0xfb8e 0xfc0b 0xfc62 
0xfc40 0xfbb6 0xfb59 0xfaf8 0xfa9a 0xfa3f 0xfa1e 0xf9fa 0xf9ee 0xfa24 0xfa7c 0xfaac 0xfb0d 0xfb51 0xfbcd 0xfc2d 
0xfbec 0xfb5f 0xfb06 0xfa98 0xfa31 0xf9dc 0xf99c 0xf99a 0xf981 0xf9a6 0xf9f4 0xfa4d 0xfa99 0xfb07 0xfb98 0xfbfd 
0x001b 0xfb46 0xfad7 0xfa5c 0xf9e0 0xf981 0xf952 0xf935 0xf931 0xf95b 0xf9bf 0xfa06 0xfa5d 0xfac7 0xfb67 0xfbdc 
0xff97 0xfaf9 0xfa90 0xfa1e 0xf999 0xf936 0xf909 0xf903 0xf8ed 0xf92c 0xf978 0xf9c3 0xfa10 0xfa95 0xfb34 0xfbbd 
0xfb81 0xfb04 0xfa89 0xfa09 0xf986 0xf929 0xf914 0xf8dc 0xf8d6 0xf911 0xf963 0xf99e 0xfa0e 0xfa8b 0xfb2d 0xfbd3 
0xfb6f 0xfad4 0xfa69 0xf9f0 0xf96b 0xf901 0xf8ea 0xf8ef 0xf8b8 0xf8e5 0xf934 0xf99a 0xfa0f 0xfa7c 0xfb37 0xfbb4 
0xfb81 0xfaf8 0xfa94 0xfa03 0xf990 0xf942 0xf945 0xf90b 0xf8ef 0xf92c 0xf974 0xf9c8 0xfa27 0xfaab 0xfb3f 0xfbdc 
0xfb79 0xfaf6 0xfa9d 0xfa31 0xf9c0 0xf95a 0xf922 0xf92c 0xf93b 0xf966 0xf993 0xfa0b 0xfa4f 0xfab7 0xfb71 0xfbe7 
0xfb9e 0xfb30 0xfad3 0xfa6c 0xf9ff 0xf9bc 0xf9ba 0xf978 0xf9c7 0xf9eb 0xf9f3 0xfa58 0xfaa2 0xfb14 0xfba4 0xfc1e 
0xfbae 0xfb42 0xfafe 0xfaba 0xfa5d 0xfa04 0xfa05 0xf9d5 0xfa31 0xfa04 0xfa34 0xfa7c 0xfaea 0xfb40 0xfbcc 0xfc43 
0xfc35 0xfb5b 0xfb29 0xfab9 0xfa79 0xfa4d 0xfa54 0xfa4f 0xfa62 0xfa64 0xfab3 0xfae7 0xfb40 0xfb9c 0xfc10 0xfc71 
0x5599 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfdbd 0xf53a 0x20fe 0xd7f6 0xfff7 0xfff4 0x0009 0x0007 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05b1 0x16c4 0x16c4 0x16c4 0x16c4 0x16c3 0x16c3 0x16c3 0xfdb7 0xcc5a 0xcf2d 0xd723 0xfff8 0xfff3 0x000b 0x000a 
