1728236069
0xfd9b 0xfdbd 0xfdb1 0xfdad 0xfd91 0xfd7a 0xfd80 0xfd8d 0xfd88 0xfda9 0xfdc3 0xfde0 0xfdd7 0xfddb 0xfdf0 0xfe2c 
0xfd90 0xfdc9 0xfdbf 0xfd9b 0xfd82 0xfd69 0xfd6f 0xfd59 0xfd72 0xfd8f 0xfdb5 0xfdc2 0xfdd2 0xfdd7 0xfde7 0xfdf8 
0xfd2a 0xfd72 0xfd6f 0xfd76 0xfd3a 0xfd13 0xfd1d 0xfd1d 0xfd19 0xfd3c 0xfd5e 0xfd80 0xfd8a 0xfd91 0xfd7f 0xfd7d 
0xfc4f 0xfcf3 0xfd4f 0xfd2b 0xfd04 0xfce2 0xfcf0 0xfce4 0xfcee 0xfd14 0xfd3e 0xfd4c 0xfd38 0xfd20 0xfd32 0xfd85 
0xfba1 0xfb50 0xfbca 0xfc7d 0xfc82 0xfc7e 0xfc85 0xfc98 0xfc8c 0xfc91 0xfc67 0xfc68 0xfc33 0xfc8f 0xfd19 0xfd6f 
0xfb80 0xfaed 0xfa86 0xfa2a 0xfa61 0xfb46 0xfbff 0xfc2a 0xfbc3 0xfb50 0xfb3b 0xfbd2 0xfc9d 0xfd01 0xfd33 0xfcff 
0xfb3a 0xfab1 0xfa38 0xf9d4 0xf94b 0xf8e6 0xf8cc 0xf8e5 0xf943 0xf993 0xfa4f 0xfb01 0xfb44 0xfb7a 0xfba7 0xfbf8 
0xfb52 0xfac2 0xfa5d 0xf9ec 0xf96c 0xf902 0xf8d3 0xf8cb 0xf8c1 0xf8ec 0xf969 0xf9b5 0xfa14 0xfab8 0xfb5f 0xfbdb 
0xfb42 0xfac9 0xfa56 0xf9e6 0xf95f 0xf8f0 0xf8e5 0xf8c6 0xf8c1 0xf915 0xf94c 0xf9b8 0xfa22 0xfaa2 0xfb40 0xfbcf 
0xfb86 0xfb08 0xfa9b 0xfa37 0xf9d1 0xf971 0xf950 0xf92c 0xf92a 0xf961 0xf9bb 0xfa13 0xfa77 0xfaf4 0xfb97 0xfbfd 
0xfb7f 0xfb1d 0xfaba 0xfa62 0xfa14 0xf9ae 0xf9aa 0xf986 0xf986 0xf993 0xf9fb 0xfa3a 0xfab6 0xfb18 0xfb9e 0xfc3c 
0xfbb2 0xfb39 0xfb0b 0xfa92 0xfa4e 0xfa13 0xfa0e 0xf9d4 0xfa00 0xf9fb 0xfa69 0xfaaa 0xfb1c 0xfb7c 0xfc0e 0xfd05 
0x521f 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfdc0 0xf59b 0x1e3d 0xd764 0xfffa 0xfffa 0x0004 0x0005 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05d7 0x175e 0x175e 0x175e 0x175e 0x175d 0x175d 0x175d 0xfdbd 0xccd4 0xcecf 0xd7ec 0xfffb 0xfff8 0x0006 0x0009 
