1728236069
0xfa83 0xf9d4 0xf963 0xf8d1 0xf828 0xf7c6 0xf79d 0xf766 0xf75e 0xf781 0xf7f0 0xf87c 0xf8d5 0xf945 0xfa1d 0xfb43 
0xfa3b 0xf99b 0xf8f9 0xf855 0xf7ae 0xf724 0xf6e5 0xf6df 0xf6ab 0xf6e7 0xf749 0xf7ce 0xf86a 0xf910 0xf9cf 0xfa92 
0xf9c5 0xf90d 0xf854 0xf79a 0xf700 0xf65c 0xf644 0xf617 0xf5fa 0xf616 0xf6a5 0xf74b 0xf7bf 0xf872 0xf968 0xfa2c 
0xf99e 0xf8c4 0xf800 0xf757 0xf66e 0xf60a 0xf5c0 0xf594 0xf59e 0xf5c5 0xf680 0xf6f8 0xf79e 0xf853 0xf963 0xfa44 
0xf966 0xf879 0xf7a8 0xf6f8 0xf622 0xf583 0xf536 0xf519 0xf52d 0xf551 0xf5f4 0xf66f 0xf71f 0xf803 0xf911 0xf9c8 
0xf95e 0xf87e 0xf7ad 0xf6ea 0xf5eb 0xf561 0xf52a 0xf4dc 0xf501 0xf54d 0xf5c9 0xf66f 0xf74d 0xf827 0xf901 0xf9cd 
0xf931 0xf848 0xf78d 0xf6b0 0xf5fe 0xf542 0xf4f2 0xf51a 0xf4d1 0xf531 0xf5f4 0xf675 0xf745 0xf814 0xf901 0xf9e8 
0xf95b 0xf889 0xf7e9 0xf736 0xf634 0xf5be 0xf57e 0xf538 0xf534 0xf58b 0xf636 0xf6d1 0xf785 0xf856 0xf944 0xfa18 
0xf963 0xf8ac 0xf7eb 0xf760 0xf692 0xf68d 0xf5b9 0xf59f 0xf597 0xf5e3 0xf66f 0xf732 0xf7b2 0xf88a 0xf961 0xfa4c 
0xf9c4 0xf923 0xf876 0xf7d1 0xf75c 0xf6cb 0xf674 0xf660 0xf651 0xf690 0xf731 0xf7d8 0xf856 0xf8f4 0xf9d7 0xfac4 
0xfa19 0xf950 0xf8d0 0xf854 0xf7c0 0xf75e 0xf722 0xf70e 0xf6e3 0xf736 0xf7d7 0xf854 0xf8db 0xf994 0xfa7a 0xfc15 
0xfb40 0xf9b3 0xf951 0xf8b1 0xf870 0xf7ed 0xf7e8 0xf7ab 0xf7ad 0xf7fb 0xf8b9 0xf928 0xfa20 0xfafb 0xfc03 0xfd3e 
0x4bd8 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd8b 0xf537 0x1bc4 0xd780 0xffe7 0xffeb 0xfffd 0xfff9 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x06c1 0x1b07 0x1b07 0x1b07 0x1b07 0x1b05 0x1b05 0x1b05 0xfd88 0xcc06 0xce57 0xd719 0xffea 0xffe8 0xffff 0xffff 
