1728236129
0xfa75 0xf9bf 0xf94e 0xf8bb 0xf80b 0xf7ad 0xf783 0xf74c 0xf75b 0xf883 0xf8a8 0xf8e6 0xf90b 0xf963 0xfa32 0xfb4c 
0xfa2e 0xf986 0xf8e4 0xf83c 0xf792 0xf709 0xf6c7 0xf6c0 0xf695 0xf895 0xfb61 0xf8c7 0xf8d8 0xf92a 0xf9cc 0xfa8a 
0xf9b4 0xf8fb 0xf83c 0xf77c 0xf6e1 0xf63a 0xf624 0xf5f6 0xf5de 0xf7aa 0xf83c 0xf758 0xf7b7 0xf868 0xf95f 0xfa21 
0xf98d 0xf8ae 0xf7e7 0xf73a 0xf64c 0xf5e5 0xf59d 0xf56f 0xf57d 0xf5a4 0xf669 0xf6df 0xf786 0xf841 0xf956 0xfa34 
0xf955 0xf864 0xf791 0xf6da 0xf5ff 0xf55f 0xf50d 0xf4f2 0xf50b 0xf52d 0xf5d3 0xf650 0xf703 0xf7ec 0xf8ff 0xf9bb 
0xf94a 0xf865 0xf793 0xf6c8 0xf5ca 0xf53a 0xf504 0xf4b4 0xf4d9 0xf527 0xf5a4 0xf64e 0xf730 0xf812 0xf8ed 0xf9bf 
0xf920 0xf834 0xf772 0xf68e 0xf5db 0xf51c 0xf4cb 0xf4f3 0xf4aa 0xf50a 0xf5ce 0xf653 0xf72a 0xf7fc 0xf8ec 0xf9da 
0xf94a 0xf874 0xf7cf 0xf718 0xf610 0xf59a 0xf557 0xf50f 0xf50e 0xf564 0xf611 0xf6b1 0xf76a 0xf83c 0xf931 0xfa08 
0xf955 0xf897 0xf7d3 0xf744 0xf677 0xf66d 0xf597 0xf579 0xf56e 0xf5be 0xf64e 0xf714 0xf799 0xf873 0xf94e 0xfa3f 
0xf9b4 0xf912 0xf862 0xf7b7 0xf740 0xf6b0 0xf651 0xf63c 0xf62f 0xf66d 0xf710 0xf7be 0xf83e 0xf8df 0xf9c6 0xfab6 
0xfa0f 0xf940 0xf8bb 0xf83e 0xf7a8 0xf745 0xf704 0xf6ee 0xf6c4 0xf715 0xf7b9 0xf839 0xf8c2 0xf978 0xfa37 0xfbd8 
0xfb3a 0xf9a3 0xf93e 0xf8a1 0xf859 0xf7d5 0xf7cd 0xf790 0xf78e 0xf7dc 0xf88b 0xf8c6 0xf96a 0xf9f8 0xfb40 0xfd1e 
0x4b5f 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd8f 0xf530 0x1b98 0xd77e 0xffe7 0xffeb 0xfffb 0xfffc 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x06cd 0x1b35 0x1b35 0x1b35 0x1b35 0x1b34 0x1b34 0x1b34 0xfd8d 0xcc0b 0xce58 0xd719 0xffe7 0xffe5 0xfffe 0xffff 
