1728236159
0xfdee 0xfdcf 0xfdb0 0xfd7b 0xfd4b 0xfd84 0xfdac 0xfdc5 0xfdc2 0xfdce 0xfded 0xfe10 0xfe17 0xfe1a 0xfe26 0xfe5a 
0xfe11 0xfdd0 0xfd7c 0xfd2c 0xfd2d 0xfd70 0xfd62 0xfd34 0xfd48 0xfd5e 0xfdcc 0xfde8 0xfe1d 0xfe2a 0xfe36 0xfe46 
0xfde0 0xfd7e 0xfcff 0xfccb 0xfccc 0xfcfa 0xfc85 0xfca6 0xfcf3 0xfd62 0xfdad 0xfdbf 0xfde9 0xfdfb 0xfe11 0xfe1e 
0xfdf7 0xfd9e 0xfcfb 0xfcb4 0xfcf0 0xfc63 0xfcc6 0xfcb1 0xfd69 0xfdaf 0xfde7 0xfdea 0xfdf4 0xfe15 0xfe1d 0xfe20 
0xfdd3 0xfda4 0xfd25 0xfcec 0xfc7d 0xfc83 0xfd02 0xfd7c 0xfd8a 0xfd8e 0xfd8f 0xfdca 0xfdce 0xfde9 0xfdf5 0xfde4 
0xfdf7 0xfdb9 0xfd42 0xfd05 0xfcb4 0xfd23 0xfd69 0xfd66 0xfda8 0xfdba 0xfdb2 0xfd9c 0xfdbf 0xfdca 0xfdde 0xfd6b 
0xfdaf 0xfd9b 0xfd83 0xfd6f 0xfd5b 0xfd5c 0xfd43 0xfd41 0xfd6f 0xfd8d 0xfda9 0xfda1 0xfd8c 0xfd9f 0xfd92 0xfca5 
0xfdc2 0xfd97 0xfd96 0xfd95 0xfd8e 0xfd7c 0xfd7c 0xfd78 0xfd8d 0xfd9b 0xfdb0 0xfd8e 0xfd7d 0xfd8d 0xfccb 0xfc69 
0xfd8c 0xfd75 0xfd67 0xfd66 0xfd5b 0xfd46 0xfd61 0xfd70 0xfd66 0xfd74 0xfd55 0xfd4c 0xfd45 0xfc71 0xfc00 0xfc45 
0xfd4c 0xfd6c 0xfd65 0xfd5a 0xfd58 0xfd50 0xfd62 0xfd58 0xfd3c 0xfd22 0xfd32 0xfce4 0xfc05 0xfbc2 0xfc18 0xfc5d 
0xfc63 0xfc87 0xfce5 0xfd0a 0xfd0f 0xfced 0xfcde 0xfca4 0xfc68 0xfc34 0xfbda 0xfb51 0xfb6b 0xfb9e 0xfbfb 0xfc87 
0xfc46 0xfbf3 0xfbe4 0xfba7 0xfba1 0xfbaa 0xfbb2 0xfb5f 0xfb35 0xfae8 0xfb20 0xfb39 0xfb8d 0xfbd3 0xfc51 0xfd41 
0x5203 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfde8 0xf59a 0x1e32 0xd762 0xfffc 0xfffd 0x0002 0x0005 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05da 0x176a 0x176a 0x176a 0x176a 0x1769 0x1769 0x1769 0xfde6 0xccd7 0xced0 0xd7eb 0xfffc 0xfff9 0x0006 0x000a 
