1728236159
0xfa68 0xf9ac 0xf93b 0xf8a4 0xf7f6 0xf793 0xf764 0xf72e 0xf728 0xf74e 0xf7c2 0xf863 0xf92b 0xf977 0xfa29 0xfb4a 
0xfa1b 0xf973 0xf8ce 0xf824 0xf778 0xf6ed 0xf6ac 0xf6a6 0xf670 0xf6ae 0xf713 0xf7a9 0xf981 0xf96b 0xf9e7 0xfa99 
0xf9a1 0xf8e4 0xf825 0xf764 0xf6c6 0xf61f 0xf607 0xf5d7 0xf5b9 0xf5d7 0xf671 0xf746 0xfcea 0xf902 0xf999 0xfa38 
0xf979 0xf89a 0xf7d0 0xf720 0xf631 0xf5cb 0xf57a 0xf552 0xf55a 0xf581 0xf649 0xf7d6 0xfa2c 0xf93d 0xf9ae 0xfa5c 
0xf942 0xf84f 0xf777 0xf6bf 0xf5e4 0xf540 0xf4ed 0xf4d0 0xf4e7 0xf50e 0xf5b4 0xf634 0xf6ef 0xf7dd 0xf8f3 0xf9b5 
0xf938 0xf850 0xf777 0xf6ad 0xf5aa 0xf51b 0xf4e4 0xf492 0xf4b7 0xf505 0xf585 0xf632 0xf714 0xf7fb 0xf8db 0xf9b2 
0xf90b 0xf81d 0xf759 0xf674 0xf5bf 0xf4fc 0xf4a9 0xf4d1 0xf487 0xf4ea 0xf5ae 0xf639 0xf70e 0xf7e6 0xf8da 0xf9c7 
0xf937 0xf860 0xf7b7 0xf6fe 0xf5f4 0xf57b 0xf537 0xf4ef 0xf4ed 0xf546 0xf5f4 0xf695 0xf752 0xf823 0xf91c 0xf9f9 
0xf943 0xf883 0xf7be 0xf72c 0xf65a 0xf64f 0xf576 0xf55a 0xf551 0xf5a2 0xf631 0xf6fb 0xf77e 0xf85a 0xf93b 0xfa2e 
0xf9a2 0xf900 0xf84b 0xf79f 0xf726 0xf690 0xf636 0xf621 0xf60f 0xf651 0xf6f5 0xf7a2 0xf827 0xf8cb 0xf9b3 0xfaa7 
0xf9ff 0xf92f 0xf8a7 0xf828 0xf78e 0xf727 0xf6ea 0xf6d3 0xf6a8 0xf6fb 0xf7a2 0xf821 0xf8ac 0xf962 0xfa27 0xfbcb 
0xfb2d 0xf992 0xf92a 0xf889 0xf841 0xf7be 0xf7b3 0xf775 0xf776 0xf7c2 0xf873 0xf8b1 0xf956 0xf9e4 0xfb30 0xfd17 
0x4b26 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd83 0xf52f 0x1b83 0xd77d 0xffe8 0xffed 0xfffd 0xfffa 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x06d2 0x1b49 0x1b49 0x1b49 0x1b49 0x1b48 0x1b48 0x1b48 0xfd82 0xcc0d 0xce57 0xd718 0xffe9 0xffe8 0xfffe 0xfffd 
