1728236189
0xfd3c 0xfd0b 0xfce0 0xfc98 0xfc4c 0xfc20 0xfb8f 0xfb12 0xfb15 0xfbb1 0xf9cd 0xf98f 0xf9da 0xfa37 0xfae5 0xfc28 
0xfd53 0xfd27 0xfcf4 0xfca0 0xfc46 0xfc1e 0xfbac 0xfb00 0xfad1 0xfb8b 0xf959 0xf918 0xf968 0xf9fb 0xfaa2 0xfb37 
0xfd15 0xfcf2 0xfcbf 0xfc87 0xfc16 0xfbdb 0xfb66 0xfad8 0xfa8b 0xfb1a 0xf8af 0xf88f 0xf8e7 0xf985 0xfa46 0xfaea 
0xfd2b 0xfcfe 0xfcc1 0xfc7c 0xfc05 0xfbbb 0xfb5b 0xfa9e 0xfa84 0xfa9f 0xf818 0xf852 0xf8b5 0xf965 0xfa26 0xfac6 
0xfcf8 0xfccd 0xfca5 0xfc49 0xfbd7 0xfb97 0xfb22 0xfa44 0xfa62 0xf9ba 0xf793 0xf7de 0xf87d 0xf8f9 0xf9c4 0xfa9a 
0xfd04 0xfcd1 0xfc9d 0xfc3a 0xfbd2 0xfb91 0xfb42 0xfa9d 0xfa62 0xf8a1 0xf798 0xf7dc 0xf868 0xf949 0xf9d9 0xfa93 
0xfce4 0xfcaf 0xfc7e 0xfc23 0xfbcc 0xfb6e 0xfb15 0xfa87 0xfa32 0xf77c 0xf789 0xf7da 0xf86c 0xf917 0xf9e8 0xfabc 
0xfcfd 0xfca7 0xfc89 0xfc2a 0xfbed 0xfb9c 0xfb41 0xfae7 0xf93c 0xf74e 0xf789 0xf7f9 0xf8ae 0xf949 0xfa1a 0xfadd 
0xfce4 0xfc9d 0xfc70 0xfc2f 0xfbdc 0xfb93 0xfb36 0xfaa5 0xf802 0xf7ca 0xf838 0xf861 0xf8e6 0xf975 0xfa3a 0xfb03 
0xfcf4 0xfcc0 0xfc8a 0xfc54 0xfbf1 0xfbbf 0xfb49 0xf977 0xf82e 0xf84c 0xf886 0xf8e3 0xf961 0xf9fc 0xfaad 0xfb6d 
0xfcdb 0xfcad 0xfc8a 0xfc5a 0xfc18 0xfb99 0xfa72 0xf892 0xf8a1 0xf892 0xf90f 0xf950 0xf9cc 0xfa49 0xfb0b 0xfc12 
0xfd0e 0xfc94 0xfc8a 0xfc50 0xfc01 0xfaf2 0xf95a 0xf90b 0xf913 0xf910 0xf991 0xf9da 0xfa3e 0xfabc 0xfbaf 0xfd6d 
0x4cb4 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd90 0xf557 0x1d2e 0xd931 0xfff5 0xfff4 0x0002 0xffff 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0621 0x1886 0x1886 0x1886 0x1886 0x1885 0x1885 0x1885 0xfd8b 0xce3f 0xd0dc 0xd8e8 0xfff8 0xfff2 0x0003 0x0005 
