1728236279
0xfd7e 0xfd47 0xfd1b 0xfd16 0xfcd1 0xfc9a 0xfc75 0xfc5b 0xfc0c 0xfbd5 0xfbc2 0xfc1a 0xfcad 0xfcc7 0xfc45 0xfcdf 
0xfd8c 0xfd52 0xfd24 0xfd04 0xfcae 0xfc74 0xfc59 0xfc59 0xfbc0 0xfb6e 0xfb97 0xfbf7 0xfc5d 0xfd00 0xfc98 0xfc06 
0xfd4c 0xfd17 0xfcf7 0xfce8 0xfc77 0xfc39 0xfc1d 0xfc12 0xfb59 0xfb22 0xfb3a 0xfbcf 0xfc54 0xfcde 0xfca0 0xfbc9 
0xfd69 0xfd32 0xfcfe 0xfcdc 0xfc64 0xfc35 0xfc2c 0xfbfe 0xfb95 0xfaef 0xfb1c 0xfbf8 0xfc58 0xfcd2 0xfc84 0xfba2 
0xfd38 0xfd09 0xfcde 0xfcb4 0xfc49 0xfc1e 0xfbde 0xfbc2 0xfb8c 0xfb30 0xfae5 0xfbc8 0xfc4b 0xfc8a 0xfc18 0xfb70 
0xfd36 0xfd0a 0xfce9 0xfcb1 0xfc52 0xfc13 0xfbfc 0xfbbc 0xfba9 0xfb70 0xfb08 0xfbd4 0xfc49 0xfc9f 0xfbc0 0xfb53 
0xfd1c 0xfce2 0xfcce 0xfc9d 0xfc42 0xfbe5 0xfbe6 0xfb9f 0xfbaf 0xfb1a 0xfb34 0xfbbc 0xfc41 0xfc68 0xfb3a 0xfb5f 
0xfd33 0xfcea 0xfcd7 0xfca8 0xfc4a 0xfbf2 0xfc02 0xfbe5 0xfbd9 0xfb82 0xfb5d 0xfc1b 0xfc47 0xfbe5 0xfb07 0xfb68 
0xfd18 0xfcd7 0xfcac 0xfca1 0xfc37 0xfbfd 0xfc07 0xfbe5 0xfbd9 0xfbdd 0xfc0c 0xfc41 0xfbf7 0xfaf0 0xfaea 0xfb77 
0xfd2c 0xfcf9 0xfcd0 0xfcb4 0xfc50 0xfc21 0xfc1b 0xfbf4 0xfbfc 0xfc26 0xfc4b 0xfc1c 0xfb53 0xface 0xfb37 0xfbcf 
0xfd0d 0xfcee 0xfccc 0xfca9 0xfc57 0xfc18 0xfc0d 0xfbf7 0xfc14 0xfc22 0xfc25 0xfb66 0xfab3 0xfae0 0xfb73 0xfc5e 
0xfd38 0xfccb 0xfcc5 0xfc8d 0xfc50 0xfc27 0xfc21 0xfc1d 0xfc2e 0xfbf8 0xfb46 0xfabd 0xfada 0xfb31 0xfc03 0xfda6 
0x4d39 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfdb3 0xf55d 0x1d68 0xd933 0xfffa 0xfffa 0x0003 0x0002 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0615 0x1854 0x1854 0x1854 0x1854 0x1853 0x1853 0x1853 0xfdb1 0xce3a 0xd0db 0xd8e8 0xfffa 0xfff8 0x0004 0x0005 
