1728236309
0xfd74 0xfd48 0xfd1a 0xfd19 0xfcc1 0xfc96 0xfc9c 0xfc3c 0xfba4 0xfbf8 0xfbc7 0xfc2b 0xfca7 0xfcf6 0xfd54 0xfd7f 
0xfd8a 0xfd58 0xfd26 0xfd00 0xfca8 0xfc86 0xfc90 0xfc19 0xfb8c 0xfb9e 0xfb9f 0xfc11 0xfc9d 0xfcf1 0xfd60 0xfd38 
0xfd50 0xfd1f 0xfd05 0xfce0 0xfc7f 0xfc60 0xfc4b 0xfc23 0xfbaa 0xfb68 0xfb72 0xfbbd 0xfc69 0xfcc4 0xfd2b 0xfd3b 
0xfd6c 0xfd36 0xfd0b 0xfcd4 0xfc7b 0xfc45 0xfc2b 0xfbfa 0xfbf6 0xfbeb 0xfb6e 0xfb7e 0xfc67 0xfcd3 0xfd33 0xfd47 
0xfd41 0xfd0d 0xfcef 0xfcba 0xfc63 0xfc32 0xfc04 0xfbdb 0xfbbe 0xfbf9 0xfb3a 0xfb6f 0xfc2c 0xfc9a 0xfceb 0xfd32 
0xfd43 0xfd0b 0xfcf6 0xfcc0 0xfc63 0xfc33 0xfc31 0xfbd9 0xfbcf 0xfbc6 0xfb82 0xfb90 0xfbf3 0xfcd0 0xfd09 0xfd37 
0xfd22 0xfce5 0xfcd7 0xfcab 0xfc4a 0xfbf3 0xfc0b 0xfbe5 0xfbe9 0xfbf0 0xfbd8 0xfb83 0xfc1e 0xfccc 0xfcfe 0xfd2f 
0xfd3d 0xfcf2 0xfcd5 0xfcb6 0xfc61 0xfc0d 0xfc27 0xfc0e 0xfc15 0xfc21 0xfc00 0xfbbf 0xfc59 0xfcf4 0xfcec 0xfcdc 
0xfd22 0xfce4 0xfcbc 0xfca8 0xfc52 0xfc15 0xfc31 0xfc05 0xfc17 0xfc36 0xfc6a 0xfc5c 0xfcae 0xfcc3 0xfcdf 0xfc64 
0xfd2e 0xfd07 0xfceb 0xfcbb 0xfc7e 0xfc41 0xfc39 0xfc1d 0xfc34 0xfc51 0xfc7f 0xfc93 0xfcd6 0xfccc 0xfcad 0xfc53 
0xfd05 0xfcf6 0xfce0 0xfcc4 0xfc8b 0xfc3e 0xfc2a 0xfc29 0xfc4a 0xfc3d 0xfc86 0xfcaa 0xfca3 0xfca6 0xfc22 0xfcc2 
0xfd14 0xfcc0 0xfcdb 0xfca9 0xfc84 0xfc50 0xfc44 0xfc4b 0xfc5e 0xfc5c 0xfca8 0xfcb9 0xfc86 0xfbf4 0xfc6b 0xfded 
0x4d54 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfdc3 0xf55e 0x1d72 0xd934 0xfffb 0xfffb 0x0000 0x0002 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0612 0x184a 0x184a 0x184a 0x184a 0x1849 0x1849 0x1849 0xfdbf 0xce39 0xd0db 0xd8e8 0xfffc 0xfff9 0x0003 0x0005 
