1728236309
0xfa23 0xf968 0xf8f3 0xf85d 0xf7ac 0xf749 0xf71d 0xf6e4 0xf6dd 0xf701 0xf775 0xf808 0xf866 0xf8dd 0xf9bf 0xfaf4 
0xf9d7 0xf92e 0xf889 0xf7df 0xf72f 0xf6a0 0xf660 0xf658 0xf623 0xf65f 0xf6c9 0xf752 0xf7f8 0xf8a5 0xf96b 0xfa38 
0xf95c 0xf89e 0xf7db 0xf719 0xf67c 0xf5d4 0xf5b8 0xf589 0xf56b 0xf589 0xf620 0xf6cb 0xf743 0xf800 0xf900 0xf9cb 
0xf936 0xf850 0xf789 0xf6d6 0xf5e3 0xf57b 0xf52e 0xf500 0xf50d 0xf532 0xf5fb 0xf675 0xf722 0xf7de 0xf8ff 0xf9e5 
0xf8fe 0xf802 0xf72b 0xf677 0xf598 0xf4f1 0xf49f 0xf480 0xf49a 0xf4be 0xf569 0xf5e7 0xf69f 0xf789 0xf8a4 0xf966 
0xf8f0 0xf80a 0xf732 0xf668 0xf55f 0xf4cc 0xf495 0xf442 0xf467 0xf4b8 0xf537 0xf5e7 0xf6ce 0xf7b3 0xf895 0xf96a 
0xf8c6 0xf7d4 0xf711 0xf62b 0xf574 0xf4b0 0xf45c 0xf482 0xf438 0xf49e 0xf568 0xf5eb 0xf6c7 0xf79e 0xf894 0xf985 
0xf8f4 0xf81b 0xf772 0xf6b7 0xf5af 0xf534 0xf4ed 0xf4a4 0xf4a4 0xf4fb 0xf5ac 0xf64b 0xf70b 0xf7de 0xf8da 0xf9b8 
0xf9a1 0xf883 0xf787 0xf6e8 0xf615 0xf60d 0xf530 0xf512 0xf507 0xf557 0xf5e8 0xf6b6 0xf739 0xf817 0xf8f8 0xf9f0 
0xfab9 0xfa64 0xf9b7 0xf89f 0xf783 0xf687 0xf600 0xf5db 0xf5cb 0xf60b 0xf6b2 0xf75e 0xf7e3 0xf886 0xf972 0xfa68 
0xfb53 0xfada 0xfa8a 0xfa23 0xf966 0xf8d9 0xf84f 0xf7af 0xf708 0xf702 0xf76f 0xf7e1 0xf86d 0xf927 0xf9ec 0xfb8f 
0xfbd6 0xfae5 0xfad8 0xfa7f 0xfa45 0xf9e1 0xf9c0 0xf986 0xf958 0xf94b 0xf9af 0xf98e 0xf9d9 0xfa18 0xfb15 0xfce5 
0x4af8 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd2f 0xf52d 0x1b71 0xd77d 0xffe4 0xffea 0xfffb 0xfffa 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x06d6 0x1b5a 0x1b5a 0x1b5a 0x1b5a 0x1b58 0x1b58 0x1b58 0xfd2e 0xcc10 0xce58 0xd719 0xffe7 0xffe8 0xfffe 0xfffd 
