1728236339
0xfd82 0xfd7d 0xfd79 0xfd85 0xfd61 0xfd3e 0xfd39 0xfd37 0xfd1d 0xfd25 0xfd2a 0xfd46 0xfd3b 0xfd36 0xfd50 0xfdb5 
0xfd4a 0xfd37 0xfd1e 0xfcbb 0xfca0 0xfc7f 0xfc6b 0xfc0c 0xfbda 0xfbac 0xfb96 0xfb78 0xfb71 0xfb7d 0xfbc2 0xfc85 
0xfcbf 0xfc73 0xfbdd 0xfb57 0xfa9d 0xfa0c 0xf9b9 0xf95d 0xf928 0xf956 0xf99c 0xf9fa 0xfa64 0xfac5 0xfb49 0xfbc6 
0xfb99 0xfb0a 0xfa8e 0xfa0a 0xf99e 0xf923 0xf908 0xf8cf 0xf8c5 0xf901 0xf94e 0xf9be 0xfa15 0xfabb 0xfb2d 0xfbbc 
0xfb4c 0xfaba 0xfa3e 0xf9ab 0xf928 0xf8c5 0xf893 0xf88b 0xf86f 0xf898 0xf8f9 0xf960 0xf9d2 0xfa69 0xfaee 0xfb84 
0xfb51 0xfaad 0xfa32 0xf9a0 0xf91c 0xf8c5 0xf88b 0xf863 0xf86f 0xf878 0xf8f7 0xf94b 0xf9c5 0xfa55 0xfae9 0xfb84 
0xfb1d 0xfa8b 0xfa13 0xf9a4 0xf90b 0xf89e 0xf86c 0xf83b 0xf83b 0xf865 0xf8ef 0xf946 0xf9a6 0xfa3e 0xfad7 0xfb74 
0xfb3b 0xfaa9 0xfa43 0xf9c8 0xf93f 0xf8cf 0xf8a2 0xf897 0xf887 0xf8b2 0xf934 0xf976 0xf9cb 0xfa6d 0xfb1d 0xfb9e 
0xfb31 0xfab6 0xfa40 0xf9cb 0xf93a 0xf8c9 0xf8bd 0xf89c 0xf891 0xf8e9 0xf924 0xf992 0xf9fa 0xfa7a 0xfb1d 0xfbad 
0xfb76 0xfaf5 0xfa89 0xfa1f 0xf9b4 0xf951 0xf931 0xf90d 0xf904 0xf940 0xf99e 0xf9f9 0xfa59 0xfadb 0xfb82 0xfbeb 
0xfb6e 0xfb0a 0xfaa9 0xfa4d 0xf9fe 0xf994 0xf995 0xf970 0xf96a 0xf978 0xf9e1 0xfa26 0xfaa0 0xfb06 0xfb8f 0xfc2f 
0xfba6 0xfb2e 0xfafe 0xfa84 0xfa3e 0xf9fe 0xf9fc 0xf9c2 0xf9ec 0xf9e6 0xfa57 0xfa9b 0xfb08 0xfb6d 0xfc05 0xfcff 
0x51e4 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfdbe 0xf597 0x1e22 0xd764 0xfff3 0xfff7 0x0002 0x0005 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05dd 0x1775 0x1775 0x1775 0x1775 0x1773 0x1773 0x1773 0xfdba 0xccda 0xced2 0xd7ee 0xfff9 0xfff4 0x0004 0x0006 
