1728236369
0xfa46 0xf992 0xf91f 0xf88d 0xf7e5 0xf782 0xf758 0xf721 0xf71c 0xf73e 0xf7ad 0xf83e 0xf898 0xf90c 0xf9e4 0xfb0c 
0xf9fc 0xf95c 0xf8b9 0xf812 0xf76c 0xf6e3 0xf6a1 0xf69c 0xf66b 0xf6a4 0xf706 0xf78b 0xf82e 0xf8d6 0xf992 0xfa5c 
0xf986 0xf8ce 0xf810 0xf755 0xf6bf 0xf61b 0xf602 0xf5d6 0xf5b9 0xf5d5 0xf665 0xf70c 0xf77f 0xf834 0xf930 0xf9f8 
0xf960 0xf882 0xf7c0 0xf716 0xf62c 0xf5c9 0xf57e 0xf551 0xf561 0xf583 0xf644 0xf6b8 0xf761 0xf818 0xf946 0xfa1e 
0xf92d 0xf839 0xf769 0xf6b8 0xf5e5 0xf544 0xf4f0 0xf4d5 0xf4ef 0xf512 0xf5b5 0xf62f 0xf6e2 0xf7c3 0xf8d8 0xf992 
0xf924 0xf841 0xf76f 0xf6ae 0xf5b2 0xf524 0xf4ec 0xf49f 0xf4c4 0xf50e 0xf58b 0xf631 0xf710 0xf7ef 0xf8c8 0xf993 
0xf90f 0xf827 0xf764 0xf682 0xf5d4 0xf516 0xf4bf 0xf4e3 0xf49d 0xf4fc 0xf5bf 0xf63d 0xf70f 0xf7de 0xf8cd 0xf9b1 
0xf9f7 0xf97f 0xf936 0xf89c 0xf7b3 0xf794 0xf78a 0xf720 0xf683 0xf6a4 0xf707 0xf731 0xf797 0xf841 0xf928 0xf9f8 
0xfafe 0xfa9b 0xfa3f 0xf9ea 0xf999 0xf986 0xf900 0xf903 0xf8c5 0xf8e8 0xf922 0xf996 0xf9a5 0xf9de 0xfa25 0xfa81 
0xfb76 0xfb1b 0xfabe 0xfa84 0xfa53 0xfa08 0xf9ac 0xf9ad 0xf995 0xf9af 0xfa2d 0xfa77 0xfa85 0xfade 0xfb6c 0xfbe2 
0xfbb6 0xfb5c 0xfb40 0xfb25 0xfaa8 0xfa5f 0xf9e0 0xf9ef 0xf9d8 0xf9fb 0xfa4c 0xfa7d 0xfaf9 0xfb71 0xfbd8 0xfcb6 
0xfc2d 0xfb85 0xfb55 0xfaf8 0xfabb 0xfaa6 0xfa9a 0xfa68 0xfa3d 0xfa51 0xfada 0xfb20 0xfb7e 0xfbc7 0xfc79 0xfd70 
0x4b9a 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd35 0xf532 0x1bad 0xd77d 0xffe7 0xffeb 0xfffd 0xfffb 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x06c7 0x1b1d 0x1b1d 0x1b1d 0x1b1d 0x1b1d 0x1b1d 0x1b1d 0xfd31 0xcc0a 0xce59 0xd718 0xffeb 0xffe9 0xffff 0x0000 
