1728236399
0xfcfe 0xfca6 0xfc31 0xfbe5 0xfbaa 0xfb6c 0xfb79 0xfb71 0xfb46 0xfb84 0xfbd5 0xfc39 0xfc78 0xfcb7 0xfd1d 0xfdb1 
0xfc2a 0xfbae 0xfb3a 0xfac2 0xfa6c 0xfa06 0xf9f1 0xf9a5 0xf9b4 0xf9e1 0xfa30 0xfa83 0xfadd 0xfb35 0xfbb2 0xfc89 
0xfbbc 0xfb2d 0xfaa6 0xfa50 0xf9bf 0xf96d 0xf953 0xf923 0xf90b 0xf946 0xf995 0xf9f3 0xfa62 0xfac4 0xfb4c 0xfbcb 
0xfb8e 0xfb06 0xfa89 0xfa03 0xf992 0xf91d 0xf8fe 0xf8c7 0xf8be 0xf8fc 0xf949 0xf9b8 0xfa13 0xfabd 0xfb32 0xfbc3 
0xfb4c 0xfabb 0xfa3f 0xf9ab 0xf922 0xf8be 0xf88b 0xf885 0xf867 0xf895 0xf8f5 0xf95f 0xf9d4 0xfa6a 0xfaf3 0xfb8a 
0xfb53 0xfab2 0xfa32 0xf99e 0xf915 0xf8be 0xf884 0xf85d 0xf868 0xf872 0xf8f4 0xf949 0xf9c2 0xfa57 0xfae9 0xfb87 
0xfb1f 0xfa8f 0xfa11 0xf9a1 0xf907 0xf897 0xf865 0xf836 0xf834 0xf861 0xf8e9 0xf942 0xf9a6 0xfa40 0xfadc 0xfb7b 
0xfb41 0xfaab 0xfa44 0xf9c6 0xf93c 0xf8ca 0xf89b 0xf88f 0xf87f 0xf8ae 0xf92f 0xf974 0xf9ce 0xfa6e 0xfb24 0xfba4 
0xfb35 0xfab8 0xfa3f 0xf9cb 0xf937 0xf8c3 0xf8b9 0xf897 0xf88f 0xf8e4 0xf926 0xf991 0xf9fa 0xfa7f 0xfb22 0xfbb3 
0xfb7a 0xfafb 0xfa8d 0xfa21 0xf9b2 0xf94e 0xf92e 0xf90a 0xf901 0xf93e 0xf99c 0xf9f7 0xfa5c 0xfade 0xfb87 0xfbf3 
0xfb74 0xfb0e 0xfaad 0xfa4c 0xf9fd 0xf993 0xf994 0xf971 0xf966 0xf976 0xf9e4 0xfa27 0xfaa4 0xfb0b 0xfb96 0xfc39 
0xfbab 0xfb32 0xfb01 0xfa88 0xfa3d 0xf9fe 0xf9fe 0xf9c1 0xf9e9 0xf9e9 0xfa58 0xfa9c 0xfb0c 0xfb71 0xfc0c 0xfd0a 
0x51bb 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfdd1 0xf595 0x1e0f 0xd765 0xfff2 0xfff4 0x0002 0x0005 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05e1 0x1785 0x1785 0x1785 0x1785 0x1785 0x1785 0x1785 0xfdd1 0xccda 0xced2 0xd7eb 0xfff6 0xfff3 0x0005 0x0008 
