1728236399
0xfc65 0xfaeb 0xfa9b 0xfa13 0xf997 0xf943 0xf920 0xf8eb 0xf900 0xf904 0xf959 0xf9a0 0xfa07 0xfa68 0xfb0f 0xfb85 
0xfb56 0xfa9e 0xfa24 0xf99c 0xf91b 0xf8a7 0xf878 0xf84c 0xf839 0xf87a 0xf8ef 0xf933 0xf9af 0xfa13 0xfab3 0xfb37 
0xfad4 0xfa23 0xf9aa 0xf917 0xf88f 0xf817 0xf7cd 0xf7d7 0xf7a6 0xf7d7 0xf83e 0xf8b1 0xf916 0xf9aa 0xfa6e 0xfaee 
0xfaaf 0xf9f4 0xf966 0xf8c7 0xf81d 0xf7a0 0xf765 0xf756 0xf73b 0xf771 0xf7eb 0xf850 0xf8c3 0xf951 0xfa23 0xfac4 
0xfa6a 0xf992 0xf90d 0xf870 0xf7c4 0xf73d 0xf709 0xf6fd 0xf6dd 0xf72c 0xf795 0xf7f7 0xf85d 0xf90d 0xf9e9 0xfa94 
0xfa46 0xf9a7 0xf8fe 0xf854 0xf7a2 0xf728 0xf70c 0xf6ca 0xf6bf 0xf708 0xf776 0xf7c6 0xf858 0xf8ff 0xf9d7 0xfaae 
0xfa3a 0xf96e 0xf8dc 0xf839 0xf787 0xf6fb 0xf6de 0xf6db 0xf69b 0xf6d8 0xf73d 0xf7c0 0xf859 0xf8f1 0xf9e5 0xfa84 
0xfa50 0xf99c 0xf915 0xf855 0xf7b7 0xf751 0xf751 0xf707 0xf6f4 0xf740 0xf79b 0xf800 0xf87d 0xf92d 0xf9ee 0xfabe 
0xfa54 0xf9a3 0xf929 0xf893 0xf800 0xf778 0xf737 0xf749 0xff67 0xfe21 0xf80c 0xf870 0xf8c1 0xf947 0xfa37 0xfaca 
0xfa8a 0xf9f8 0xf977 0xf8eb 0xf85e 0xf805 0xf80a 0xf7e0 0xfce3 0xfc68 0xf923 0xf8e1 0xf92f 0xf9c0 0xfa76 0xfb1a 
0xfaae 0xfa19 0xf9c1 0xf95a 0xf8df 0xf86c 0xf875 0xf858 0xf92c 0xf941 0xf938 0xf947 0xf997 0xfa07 0xfab5 0xfb4d 
0xfb7d 0xfa50 0xfa04 0xf975 0xf91c 0xf8d9 0xf8de 0xf8e3 0xf941 0xf954 0xf994 0xf9cb 0xfa14 0xfa7d 0xfb0e 0xfb94 
0x501c 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd68 0xf505 0x1e80 0xd7e5 0xffec 0xffef 0x0004 0x0002 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0637 0x18dc 0x18dc 0x18dc 0x18dc 0x18db 0x18db 0x18db 0xfd62 0xcc90 0xcf31 0xd71b 0xfff1 0xffed 0x0004 0x0006 
