1728236429
0xfd6e 0xfd24 0xfcc0 0xfd00 0xfc9d 0xfc20 0xfbc6 0xfbef 0xfc1a 0xfc9b 0xfce7 0xfd2b 0xfd40 0xfd52 0xfd82 0xfdda 
0xfc6f 0xfc0e 0xfba8 0xfb2d 0xfb02 0xfa8c 0xfa81 0xfa62 0xfa9a 0xfb05 0xfb6c 0xfbcd 0xfc41 0xfca0 0xfd03 0xfd60 
0xfbb0 0xfb24 0xfa99 0xfa46 0xf9b8 0xf967 0xf94b 0xf91b 0xf906 0xf942 0xf98e 0xf9ef 0xfa5e 0xfac3 0xfb4c 0xfbcf 
0xfb84 0xfaf9 0xfa7e 0xf9f9 0xf98a 0xf911 0xf8f6 0xf8bd 0xf8b4 0xf8f1 0xf93d 0xf9b1 0xfa0c 0xfab5 0xfb26 0xfbb9 
0xfb45 0xfab1 0xfa30 0xf99f 0xf918 0xf8b3 0xf881 0xf87b 0xf85e 0xf88a 0xf8eb 0xf953 0xf9c9 0xfa60 0xfaea 0xfb7f 
0xfb48 0xfaa6 0xfa27 0xf994 0xf90c 0xf8b7 0xf877 0xf850 0xf85d 0xf869 0xf8e9 0xf93f 0xf9b9 0xfa4d 0xfae0 0xfb7c 
0xfb14 0xfa86 0xfa05 0xf995 0xf8fc 0xf88f 0xf85c 0xf82c 0xf829 0xf855 0xf8e1 0xf936 0xf99c 0xfa33 0xfad1 0xfb6f 
0xfb34 0xfaa2 0xfa38 0xf9bb 0xf932 0xf8c2 0xf890 0xf887 0xf875 0xf8a3 0xf923 0xf969 0xf9c2 0xfa64 0xfb16 0xfb98 
0xfb2a 0xfaae 0xfa35 0xf9bf 0xf92e 0xf8b9 0xf8ae 0xf88d 0xf884 0xf8d9 0xf917 0xf988 0xf9f0 0xfa71 0xfb19 0xfba6 
0xfb70 0xfaf0 0xfa81 0xfa17 0xf9a8 0xf944 0xf925 0xf900 0xf8f9 0xf934 0xf990 0xf9ec 0xfa53 0xfad2 0xfb7c 0xfbe6 
0xfb68 0xfb04 0xfaa2 0xfa45 0xf9f2 0xf98b 0xf987 0xf963 0xf95d 0xf96a 0xf9d5 0xfa19 0xfa98 0xfb00 0xfb89 0xfc2e 
0xfb9f 0xfb25 0xfaf6 0xfa7b 0xfa33 0xf9f4 0xf9f2 0xf9b7 0xf9e1 0xf9dd 0xfa50 0xfa91 0xfb02 0xfb66 0xfbff 0xfcfe 
0x51b2 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfdbd 0xf597 0x1e0c 0xd763 0xfff5 0xfff7 0x0000 0x0004 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05e2 0x178b 0x178b 0x178b 0x178b 0x178a 0x178a 0x178a 0xfdbc 0xccd9 0xced1 0xd7eb 0xfff5 0xfff2 0x0003 0x0008 
