1728236459
0xfd57 0xfd44 0xfd29 0xfd31 0xfd2c 0xfd3b 0xfd1c 0xfcfd 0xfcdd 0xfcea 0xfd09 0xfd05 0xfce9 0xfc94 0xfc66 0xfd04 
0xfda5 0xfd53 0xfd36 0xfce8 0xfd02 0xfd39 0xfd18 0xfceb 0xfca4 0xfce3 0xfd13 0xfd13 0xfd03 0xfcd2 0xfcad 0xfc75 
0xfd86 0xfd90 0xfd65 0xfd37 0xfc69 0xfce6 0xfcdf 0xfcb8 0xfc95 0xfccf 0xfced 0xfcf5 0xfcde 0xfcf6 0xfce4 0xfcd8 
0xfd6e 0xfd91 0xfda8 0xfd4e 0xfca9 0xfc70 0xfc6a 0xfc92 0xfcab 0xfcbd 0xfce7 0xfd0f 0xfd13 0xfd2a 0xfd25 0xfd2d 
0xfd77 0xfce6 0xfd40 0xfd57 0xfcf1 0xfc0b 0xfbdf 0xfc05 0xfca8 0xfca4 0xfcaf 0xfcdb 0xfd02 0xfd11 0xfd11 0xfd30 
0xfd47 0xfd24 0xfcf2 0xfd13 0xfc78 0xfbc4 0xfc45 0xfc74 0xfca4 0xfcab 0xfcb2 0xfcd4 0xfcf7 0xfd34 0xfd31 0xfd48 
0xfd1d 0xfd28 0xfcf7 0xfcd5 0xfc71 0xfbc3 0xfc05 0xfbc7 0xfbf2 0xfc6b 0xfca1 0xfccd 0xfcf3 0xfd1b 0xfd35 0xfd64 
0xfd33 0xfd2b 0xfd15 0xfced 0xfc9e 0xfc3c 0xfbd6 0xfc3f 0xfc84 0xfcc6 0xfc82 0xfcbf 0xfd25 0xfd3c 0xfd60 0xfd76 
0xfd04 0xfcf6 0xfd2e 0xfd07 0xfcbe 0xfc1c 0xfbd7 0xfbd0 0xfb89 0xfbe0 0xfcf4 0xfcf7 0xfd0b 0xfd1b 0xfd51 0xfd70 
0xfcd4 0xfcd9 0xfcf4 0xfd3c 0xfd09 0xfc72 0xfbf4 0xfbc7 0xfba4 0xfbe3 0xfc27 0xfc55 0xfcc8 0xfd08 0xfd3a 0xfd80 
0xfcbf 0xfc97 0xfca9 0xfcc4 0xfcf2 0xfcf4 0xfc96 0xfc3e 0xfbfe 0xfc0e 0xfc39 0xfc69 0xfca9 0xfd07 0xfd5f 0xfda9 
0xfd1c 0xfca2 0xfcaa 0xfca2 0xfc9e 0xfc94 0xfc82 0xfc8a 0xfcb2 0xfcc1 0xfd01 0xfd07 0xfd1f 0xfd46 0xfd99 0xfe29 
0x4d8b 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfdc1 0xf561 0x1d8a 0xd936 0xfffe 0xfffd 0x0002 0x0003 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x060d 0x1835 0x1835 0x1835 0x1835 0x1834 0x1834 0x1834 0xfdbc 0xce39 0xd0de 0xd8e9 0xfffd 0xfff9 0x0004 0x0005 
