1728236459
0xfa9e 0xf9f0 0xf985 0xf8f5 0xf854 0xf7f5 0xf7cd 0xf796 0xf794 0xf7b2 0xf81f 0xf8a6 0xf8fd 0xf96d 0xfa3c 0xfb5b 
0xfa5b 0xf9bf 0xf922 0xf881 0xf7e2 0xf75d 0xf71e 0xf717 0xf6e8 0xf720 0xf782 0xf7fc 0xf89a 0xf93b 0xf9f1 0xfab2 
0xf9e9 0xf939 0xf882 0xf7cb 0xf73b 0xf69b 0xf684 0xf657 0xf63b 0xf656 0xf6e2 0xf784 0xf7f3 0xf8a2 0xf993 0xfa5a 
0xf9c4 0xf8f0 0xf835 0xf78e 0xf6ac 0xf64f 0xf605 0xf5d8 0xf5e4 0xf608 0xf6c4 0xf736 0xf7d8 0xf886 0xf9b2 0xfa88 
0xf991 0xf8a9 0xf7de 0xf733 0xf665 0xf5cc 0xf57d 0xf560 0xf579 0xf59b 0xf63c 0xf6af 0xf75d 0xf839 0xf943 0xf9f5 
0xf988 0xf8a9 0xf7e4 0xf727 0xf632 0xf5a6 0xf575 0xf528 0xf54d 0xf596 0xf610 0xf6b2 0xf788 0xf85e 0xf930 0xf9f6 
0xf959 0xf87b 0xf7c4 0xf6ec 0xf646 0xf58e 0xf53f 0xf566 0xf51f 0xf580 0xf63d 0xf6bb 0xf782 0xf84b 0xf932 0xfa10 
0xf985 0xf8ba 0xf81c 0xf770 0xf67a 0xf608 0xf5c9 0xf587 0xf585 0xf5db 0xf67e 0xf710 0xf7c2 0xf88d 0xf975 0xfa41 
0xf98d 0xf8db 0xf81f 0xf79b 0xf6d2 0xf6d1 0xf605 0xf5ec 0xf5e4 0xf62e 0xf6b4 0xf775 0xf7f1 0xf8c4 0xf99f 0xfa93 
0xf9eb 0xf953 0xf8a9 0xf80b 0xf7a0 0xf71c 0xf6e0 0xf6f2 0xf707 0xf76e 0xf84a 0xf940 0xf9f3 0xfaa2 0xfb61 0xfc0b 
0xfac3 0xfa3d 0xf9e3 0xf99a 0xf95b 0xf935 0xf948 0xf952 0xf94c 0xf9a8 0xfa30 0xfaa3 0xfb20 0xfb95 0xfc09 0xfce6 
0xfbdf 0xfb04 0xfaa1 0xfa32 0xfa61 0xfa51 0xfa54 0xfa5e 0xfa68 0xfab5 0xfb27 0xfb19 0xfba8 0xfc0c 0xfcb2 0xfd9d 
0x4c91 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd8e 0xf53f 0x1c09 0xd77f 0xffe9 0xffeb 0xfffe 0xfffe 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x06b1 0x1ac5 0x1ac5 0x1ac5 0x1ac5 0x1ac3 0x1ac3 0x1ac3 0xfd8e 0xcbff 0xce56 0xd716 0xffe9 0xffe9 0xffff 0xffff 
