1728236609
0xfab3 0xfa06 0xf9a0 0xf914 0xf876 0xf81b 0xf7f0 0xf7ba 0xf7b6 0xf7d8 0xf83f 0xf8c7 0xf919 0xf987 0xfa53 0xfb69 
0xfa71 0xf9da 0xf940 0xf8a4 0xf807 0xf785 0xf747 0xf741 0xf715 0xf74c 0xf7a7 0xf823 0xf8bd 0xf95a 0xfa0b 0xfac5 
0xfa01 0xf956 0xf8a4 0xf7f2 0xf764 0xf6c8 0xf6b1 0xf689 0xf66e 0xf685 0xf70f 0xf7ad 0xf819 0xf8c6 0xf9ab 0xfa70 
0xf9e1 0xf911 0xf859 0xf7b8 0xf6db 0xf67d 0xf633 0xf60d 0xf617 0xf63a 0xf6ee 0xf75e 0xf7fd 0xf8aa 0xf9d8 0xfaa3 
0xf9af 0xf8ca 0xf803 0xf75f 0xf695 0xf5fd 0xf5b1 0xf598 0xf5af 0xf5d3 0xf66a 0xf6de 0xf787 0xf85f 0xf962 0xfa14 
0xf9a3 0xf8cf 0xf807 0xf74f 0xf661 0xf5dd 0xf5aa 0xf561 0xf587 0xf5d0 0xf640 0xf6e0 0xf7b5 0xf886 0xf953 0xfa64 
0xf977 0xf89e 0xf7e9 0xf717 0xf676 0xf5c1 0xf573 0xf599 0xf556 0xf5b4 0xf66c 0xf6e9 0xf7b2 0xf884 0xf9f2 0xfb58 
0xf9a2 0xf8da 0xf83f 0xf799 0xf6a6 0xf639 0xf5fd 0xf5b8 0xf5b9 0xf60f 0xf6b0 0xf741 0xf842 0xf9ce 0xfb0a 0xfbdc 
0xf9a8 0xf8f8 0xf841 0xf7c0 0xf6fd 0xf6fd 0xf633 0xf619 0xf613 0xf660 0xf6fa 0xf84e 0xf982 0xfab1 0xfb71 0xfc23 
0xf9fd 0xf968 0xf8c1 0xf826 0xf7bc 0xf732 0xf6e2 0xf6d1 0xf6c9 0xf769 0xf8bc 0xf9a5 0xfa58 0xfb56 0xfbea 0xfc98 
0xfa4f 0xf98f 0xf912 0xf89f 0xf816 0xf7bc 0xf784 0xf792 0xf84a 0xf8e4 0xf94b 0xfa2c 0xfb11 0xfbbd 0xfc58 0xfd29 
0xfb5c 0xf9e5 0xf986 0xf8f2 0xf8b6 0xf83f 0xf8a0 0xf964 0xf9b4 0xfa04 0xfabb 0xfaf6 0xfbb2 0xfc2b 0xfce1 0xfdb4 
0x4d27 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd91 0xf546 0x1c40 0xd780 0xffea 0xffea 0xfffe 0xfffc 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x06a2 0x1a89 0x1a89 0x1a89 0x1a89 0x1a88 0x1a88 0x1a88 0xfd8d 0xcbfb 0xce57 0xd716 0xffec 0xffea 0x0000 0xfffe 
