1728236639
0xfbe6 0xfa0f 0xf9a6 0xf903 0xf86e 0xf806 0xf7d8 0xf79a 0xf7f4 0xf829 0xf881 0xf8b6 0xf91f 0xf982 0xfa3a 0xface 
0xfa8b 0xf9ab 0xf90e 0xf86f 0xf7d2 0xf742 0xf708 0xf6e4 0xf70e 0xf831 0xf855 0xf866 0xf8bd 0xf907 0xf9c3 0xfa60 
0xf9f4 0xf91d 0xf87f 0xf7cb 0xf722 0xf697 0xf635 0xf63c 0xf666 0x0692 0xf88f 0xf7b1 0xf7df 0xf889 0xf96c 0xfa09 
0xf9c1 0xf8dc 0xf828 0xf768 0xf697 0xf5fd 0xf5ab 0xf588 0xf59b 0xfd94 0xf68d 0xf6f8 0xf76f 0xf812 0xf90f 0xf9d3 
0xf96c 0xf868 0xf7c1 0xf6fd 0xf629 0xf586 0xf540 0xf537 0xf516 0xf57d 0xf5f2 0xf66c 0xf6f0 0xf7c5 0xf8ca 0xf99b 
0xf942 0xf87a 0xf7ab 0xf6da 0xf5fc 0xf56a 0xf543 0xf4f8 0xf4ea 0xf53f 0xf5c5 0xf627 0xf6dd 0xf7ab 0xf8ac 0xf9b4 
0xf936 0xf83e 0xf783 0xf6b6 0xf5e1 0xf539 0xf513 0xf505 0xf4be 0xf503 0xf57f 0xf622 0xf6de 0xf796 0xf8c1 0xf980 
0xf951 0xf874 0xf7c9 0xf6de 0xf621 0xf59d 0xf59b 0xf53a 0xf518 0xf569 0xf5e3 0xf669 0xf702 0xf7db 0xf8c8 0xf9c4 
0xf95e 0xf87f 0xf7e8 0xf72a 0xf67a 0xf5d2 0xf57f 0xf57e 0xf597 0xf59f 0xf620 0xf6d3 0xf753 0xf7fb 0xf921 0xf9da 
0xf99f 0xf8e7 0xf84a 0xf79a 0xf6eb 0xf679 0xf66f 0xf608 0xf643 0xf668 0xf6b9 0xf75a 0xf7d6 0xf88d 0xf970 0xfa39 
0xf9d8 0xf91a 0xf8a5 0xf823 0xf790 0xf6fd 0xf70f 0xf6b1 0xf6e0 0xf6de 0xf733 0xf7a4 0xf859 0xf8ee 0xf9c3 0xfa7b 
0xfadc 0xf966 0xf903 0xf854 0xf7eb 0xf792 0xf792 0xf76b 0xf779 0xf792 0xf804 0xf861 0xf8ec 0xf97d 0xfa32 0xfad3 
0x4bd7 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd33 0xf4d9 0x1cbe 0xd7d7 0xffe9 0xffeb 0xfffe 0xfffe 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x069f 0x1a7e 0x1a7e 0x1a7e 0x1a7e 0x1a7d 0x1a7d 0x1a7d 0xfd31 0xccb3 0xcf2e 0xd716 0xffeb 0xffe7 0x0000 0x0000 
