1728236669
0xfc5b 0xfbbc 0xfb61 0xfb1e 0xfabe 0xfa68 0xfa4b 0xfa36 0xfa5a 0xfbe5 0xfcdf 0xfd70 0xfd90 0xfd74 0xfda0 0xfe22 
0xfc14 0xfba6 0xfb38 0xfac5 0xfa6f 0xfa09 0xf9f4 0xf9a5 0xf9bb 0xfa15 0xfba2 0xfccd 0xfd5e 0xfd9e 0xfd90 0xfdf6 
0xfbc8 0xfb37 0xfaab 0xfa57 0xf9c8 0xf973 0xf959 0xf929 0xf914 0xf955 0xf9ce 0xfb70 0xfcb3 0xfd56 0xfd80 0xfdcb 
0xfb9c 0xfb10 0xfa92 0xfa0c 0xf997 0xf920 0xf904 0xf8cf 0xf8c9 0xf905 0xf952 0xf9f3 0xfb9b 0xfd03 0xfd7f 0xfd95 
0xfb5e 0xfac5 0xfa45 0xf9ae 0xf929 0xf8c3 0xf890 0xf88a 0xf870 0xf89c 0xf8ff 0xf96c 0xfa0f 0xfbeb 0xfd13 0xfd95 
0xfb64 0xfabc 0xfa3c 0xf9a3 0xf91d 0xf8c7 0xf887 0xf861 0xf86f 0xf87a 0xf8fc 0xf953 0xf9d2 0xfa97 0xfc6b 0xfd57 
0xfb2f 0xfa9d 0xfa18 0xf9aa 0xf90e 0xf89d 0xf86e 0xf83c 0xf83d 0xf86a 0xf8f4 0xf94e 0xf9b3 0xfa51 0xfb1d 0xfce0 
0xfb50 0xfab9 0xfa4c 0xf9d1 0xf944 0xf8d4 0xf8a2 0xf89a 0xf888 0xf8b8 0xf939 0xf97f 0xf9da 0xfa7f 0xfb32 0xfbf0 
0xfb45 0xfac8 0xfa4b 0xf9d7 0xf941 0xf8cc 0xf8c2 0xf89e 0xf896 0xf8ed 0xf92d 0xf99d 0xfa08 0xfa8a 0xfb31 0xfbc6 
0xfb8d 0xfb0b 0xfa9c 0xfa30 0xf9be 0xf95a 0xf936 0xf913 0xf90a 0xf948 0xf9a7 0xfa03 0xfa6a 0xfaec 0xfb96 0xfc04 
0xfb87 0xfb1e 0xfabb 0xfa5d 0xfa0a 0xf9a3 0xf99d 0xf976 0xf971 0xf980 0xf9ed 0xfa32 0xfab2 0xfb18 0xfba5 0xfc48 
0xfbbd 0xfb45 0xfb11 0xfa97 0xfa4e 0xfa0c 0xfa07 0xf9ca 0xf9f6 0xf9f5 0xfa65 0xfaa9 0xfb1a 0xfb80 0xfc1a 0xfd1b 
0x517e 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfdfb 0xf593 0x1df7 0xd765 0xfff5 0xfff4 0xffff 0x0005 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05e6 0x179b 0x179b 0x179b 0x179b 0x179a 0x179a 0x179a 0xfdf5 0xccdf 0xced5 0xd7ed 0xfff7 0xfff2 0x0001 0x0005 
