1728236669
0xfbd6 0xf9f3 0xf98a 0xf8e3 0xf847 0xf7da 0xf7af 0xf770 0xf78d 0xf78f 0xf80c 0xf93a 0xf961 0xf9a4 0xfa4d 0xfada 
0xfa75 0xf98e 0xf8ee 0xf848 0xf7a7 0xf714 0xf6d8 0xf6a1 0xf689 0xf6e3 0xf77e 0xfe0f 0xf9ab 0xf97d 0xf9f2 0xfa70 
0xf9d5 0xf8fa 0xf85b 0xf7a6 0xf6f6 0xf663 0xf601 0xf5fa 0xf5d8 0xf618 0xf6af 0x01e0 0xf8c1 0xf8e8 0xf987 0xfa06 
0xf9a1 0xf8ba 0xf802 0xf740 0xf668 0xf5cc 0xf57a 0xf553 0xf546 0xf591 0xf62c 0xf6b7 0xf73f 0xf7ea 0xf8f8 0xf9bb 
0xf94d 0xf843 0xf799 0xf6d2 0xf5f9 0xf554 0xf50b 0xf4ff 0xf4d9 0xf53a 0xf5ba 0xf639 0xf6b9 0xf798 0xf8a8 0xf980 
0xf920 0xf854 0xf782 0xf6ad 0xf5cd 0xf535 0xf50d 0xf4c0 0xf4b0 0xf509 0xf592 0xf5fb 0xf6ae 0xf783 0xf889 0xf997 
0xf917 0xf817 0xf75f 0xf689 0xf5b0 0xf508 0xf4dc 0xf4ce 0xf487 0xf4ce 0xf54d 0xf5f3 0xf6b2 0xf76f 0xf8a2 0xf965 
0xf930 0xf850 0xf7a1 0xf6b4 0xf5f0 0xf56c 0xf568 0xf505 0xf4e0 0xf535 0xf5b6 0xf63a 0xf6d5 0xf7b3 0xf8a7 0xf9a7 
0xf93c 0xf85b 0xf7c4 0xf705 0xf64a 0xf59e 0xf548 0xf54c 0xf565 0xf56f 0xf5ec 0xf6a8 0xf726 0xf7d1 0xf903 0xf9bc 
0xf97f 0xf8c8 0xf826 0xf775 0xf6c1 0xf64a 0xf63c 0xf5d1 0xf616 0xf627 0xf688 0xf732 0xf7ac 0xf868 0xf951 0xfa1e 
0xf9b9 0xf8fa 0xf886 0xf7ff 0xf768 0xf6d4 0xf6d4 0xf67e 0xf6ac 0xf6ae 0xf709 0xf77e 0xf832 0xf8cb 0xf9a7 0xfa63 
0xfac5 0xf94a 0xf8e7 0xf832 0xf7c2 0xf766 0xf765 0xf745 0xf747 0xf76a 0xf7e3 0xf83b 0xf8cb 0xf95e 0xfa18 0xfabc 
0x4b72 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd25 0xf4d5 0x1c99 0xd7d6 0xffe8 0xffe9 0x0002 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x06a9 0x1aa5 0x1aa5 0x1aa5 0x1aa5 0x1aa3 0x1aa3 0x1aa3 0xfd21 0xccb5 0xcf2f 0xd715 0xffe9 0xffe7 0x0003 0x0002 
