1728236699
0xfb80 0xfadf 0xfa5e 0xfa1d 0xf99b 0xf950 0xf915 0xf911 0xf90f 0xf92c 0xf97d 0xf9c8 0xfa30 0xfa8b 0xfb30 0xfc5e 
0xfb3a 0xfabb 0xfa34 0xf9bc 0xf932 0xf8e5 0xf8cf 0xf8b9 0xf8ae 0xf8dc 0xf93c 0xf99f 0xf9ff 0xfa85 0xfb13 0xfb93 
0xfad4 0xfa43 0xf9da 0xf975 0xf8e5 0xf8d0 0xf93c 0xf9d0 0xf998 0xfa1f 0xfa85 0xfadb 0xfab6 0xfaa6 0xfafe 0xfb75 
0xfae3 0xfa56 0xf9e2 0xf9da 0xfa25 0xfa47 0xfac4 0xfb11 0xfb26 0xfb91 0xfbb5 0xfc3b 0xfc60 0xfc85 0xfc2c 0xfbbe 
0xface 0xfa59 0xfaec 0xfb4d 0xfa21 0xf9d6 0xfaf8 0xfbaa 0xfb64 0xfb5f 0xfb5f 0xfbdc 0xfc49 0xfc46 0xfcb6 0xfcda 
0xfb0b 0xfbad 0xfc18 0xfb4d 0xfa75 0xfa9d 0xfb72 0xfba2 0xfb67 0xfc08 0xfc51 0xfc5b 0xfc2e 0xfc93 0xfcb0 0xfcea 
0xfbf3 0xfc5c 0xfc1d 0xfbc4 0xfb75 0xfb23 0xfbc6 0xfbf6 0xfbe9 0xfc1f 0xfc62 0xfc73 0xfc32 0xfc86 0xfcae 0xfcdc 
0xfcab 0xfc9c 0xfc5d 0xfc25 0xfb8e 0xfb2f 0xfc38 0xfc43 0xfc48 0xfc66 0xfc69 0xfc87 0xfcaf 0xfce0 0xfcdf 0xfd16 
0xfcbf 0xfc82 0xfbfe 0xfc39 0xfbf2 0xfc1c 0xfc58 0xfc37 0xfc42 0xfbf9 0xfc97 0xfc8a 0xfcaa 0xfc9e 0xfc8d 0xfd12 
0xfcc8 0xfc41 0xfb8c 0xfc34 0xfc72 0xfc52 0xfc36 0xfbc2 0xfbcc 0xfbd4 0xfc4a 0xfc5a 0xfc7d 0xfcc0 0xfcc5 0xfd3d 
0xfc91 0xfc1c 0xfb95 0xfbfb 0xfc6e 0xfbb8 0xfb52 0xfb33 0xfbb3 0xfbda 0xfc1d 0xfc43 0xfcb5 0xfcbd 0xfcfd 0xfd68 
0xfcdf 0xfc4f 0xfbee 0xfc1c 0xfc18 0xfbf9 0xfbce 0xfb81 0xfc06 0xfc2e 0xfc0c 0xfc94 0xfce5 0xfd15 0xfd6f 0xfdfe 
0x4dbd 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd95 0xf564 0x1d9c 0xd936 0xfffb 0xfff7 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0608 0x1823 0x1823 0x1823 0x1823 0x1822 0x1822 0x1822 0xfd90 0xce38 0xd0de 0xd8e9 0xfff8 0xfff5 0x0003 0x0004 
