1728236729
0xfc47 0xfba4 0xfb48 0xfaff 0xfa9d 0xfa44 0xfa29 0xfa5f 0xfbc3 0xfc9e 0xfc88 0xfcf3 0xfd35 0xfd00 0xfd80 0xfe2b 
0xfbff 0xfb8b 0xfb19 0xfaa4 0xfa4b 0xf9e1 0xf9c9 0xf97e 0xf9df 0xfb98 0xfc95 0xfcfe 0xfd22 0xfd7b 0xfda9 0xfe06 
0xfbb1 0xfb1a 0xfa8a 0xfa31 0xf99e 0xf948 0xf929 0xf8fd 0xf8e9 0xf975 0xfb54 0xfc7d 0xfd0f 0xfd55 0xfd88 0xfdcb 
0xfb81 0xfaf0 0xfa6d 0xf9e2 0xf96c 0xf8f1 0xf8d4 0xf89a 0xf897 0xf8d8 0xf96f 0xfb69 0xfc99 0xfd32 0xfd8b 0xfdba 
0xfb40 0xfaa4 0xfa20 0xf986 0xf8fa 0xf892 0xf85b 0xf856 0xf83c 0xf868 0xf8d0 0xf97c 0xfb66 0xfc93 0xfd03 0xfd73 
0xfb44 0xfa9b 0xfa14 0xf97a 0xf8ee 0xf893 0xf852 0xf82b 0xf839 0xf847 0xf8c9 0xf926 0xf9d5 0xfbbf 0xfcde 0xfd57 
0xfb12 0xfa78 0xf9f3 0xf97d 0xf8e0 0xf86c 0xf837 0xf806 0xf805 0xf835 0xf8c2 0xf921 0xf98b 0xfa49 0xfc17 0xfd03 
0xfb33 0xfa99 0xfa26 0xf9a4 0xf917 0xf8a3 0xf86f 0xf864 0xf853 0xf881 0xf905 0xf953 0xf9b2 0xfa59 0xfb25 0xfc96 
0xfb29 0xfaa9 0xfa28 0xf9ac 0xf918 0xf89e 0xf88f 0xf86b 0xf864 0xf8bc 0xf8fc 0xf972 0xf9e2 0xfa68 0xfb12 0xfbb7 
0xfb74 0xfaec 0xfa76 0xfa09 0xf997 0xf92c 0xf90a 0xf8e1 0xf8dd 0xf918 0xf978 0xf9dc 0xfa45 0xfac9 0xfb77 0xfbea 
0xfb71 0xfb04 0xfa9c 0xfa39 0xf9e5 0xf97a 0xf972 0xf94a 0xf947 0xf956 0xf9c6 0xfa0b 0xfa8e 0xfaf9 0xfb89 0xfc33 
0xfbab 0xfb29 0xfaf5 0xfa77 0xfa28 0xf9eb 0xf9e2 0xf9a4 0xf9cf 0xf9cc 0xfa3f 0xfa86 0xfaff 0xfb64 0xfc00 0xfd0a 
0x50e6 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfdf5 0xf58c 0x1db7 0xd760 0xfff6 0xfff7 0x0002 0x0005 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05f6 0x17d9 0x17d9 0x17d9 0x17d9 0x17d8 0x17d8 0x17d8 0xfdf3 0xcce4 0xced4 0xd7ec 0xfff4 0xfff6 0x0003 0x0006 
