1728236729
0xfb8b 0xfae9 0xfa71 0xfa33 0xf9b6 0xf96f 0xf936 0xf932 0xf92a 0xf945 0xf993 0xf9dc 0xfa3a 0xfa96 0xfb35 0xfc61 
0xfb4e 0xfad2 0xfa53 0xf9e3 0xf965 0xf925 0xf923 0xf913 0xf8fe 0xf928 0xf976 0xf9c1 0xfa0f 0xfa8c 0xfb13 0xfb92 
0xfaf1 0xfa6b 0xfa12 0xf9d6 0xf9bd 0xfa28 0xfa97 0xfaa3 0xfad7 0xfb2a 0xfb51 0xfb53 0xfac5 0xfa94 0xfaf7 0xfb6f 
0xfb16 0xfaa8 0xfad1 0xfb30 0xfa72 0xfae0 0xfb88 0xfb47 0xfb22 0xfb5b 0xfc1e 0xfc55 0xfc64 0xfc5a 0xfbc4 0xfb8e 
0xfb2d 0xfba8 0xfbe3 0xfaf3 0xfaf2 0xfbb2 0xfb76 0xfbd4 0xfbc6 0xfbb2 0xfbfe 0xfbf3 0xfc2d 0xfc7b 0xfcb8 0xfc59 
0xfc43 0xfc67 0xfc24 0xfbc1 0xfbc7 0xfc02 0xfbfa 0xfc08 0xfc03 0xfbe8 0xfba3 0xfc0a 0xfc4f 0xfc71 0xfcad 0xfd01 
0xfcae 0xfc5b 0xfc34 0xfbd7 0xfc38 0xfc1d 0xfc24 0xfc1c 0xfc33 0xfc39 0xfc02 0xfc2d 0xfc43 0xfc14 0xfc72 0xfce5 
0xfc8c 0xfc0f 0xfc85 0xfc79 0xfc31 0xfc14 0xfbdc 0xfc35 0xfbeb 0xfc36 0xfc48 0xfc5f 0xfc47 0xfc7b 0xfcc7 0xfcf8 
0xfc31 0xfbea 0xfc62 0xfbb0 0xfb48 0xfb76 0xfb8b 0xfbc8 0xfbd2 0xfbe6 0xfc42 0xfb7a 0xfc34 0xfc74 0xfcdb 0xfcf5 
0xfc86 0xfc4a 0xfc42 0xfbd5 0xfb71 0xfb85 0xfb86 0xfb6a 0xfbab 0xfbe7 0xfc30 0xfbb6 0xfc42 0xfcb0 0xfcf8 0xfd47 
0xfc94 0xfc64 0xfc7c 0xfc58 0xfc2f 0xfbe8 0xfb52 0xfbb3 0xfc43 0xfc26 0xfc33 0xfc20 0xfc7e 0xfca2 0xfd03 0xfd69 
0xfcf3 0xfc60 0xfbef 0xfc68 0xfc4e 0xfbed 0xfb99 0xfc44 0xfc4b 0xfc60 0xfc89 0xfc8e 0xfc8e 0xfce1 0xfd5d 0xfdfb 
0x4dcb 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd95 0xf565 0x1da2 0xd936 0xfffa 0xfff7 0x0000 0xfffe 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0607 0x181d 0x181d 0x181d 0x181d 0x181d 0x181d 0x181d 0xfd94 0xce38 0xd0e0 0xd8e8 0xfffa 0xfff8 0x0002 0x0003 
