1728236729
0xfacb 0xfa2d 0xf9cb 0xf949 0xf8af 0xf85b 0xf835 0xf800 0xf7fd 0xf81a 0xf880 0xf900 0xf94c 0xf9b4 0xfa76 0xfb7e 
0xfa93 0xfa01 0xf972 0xf8de 0xf849 0xf7d0 0xf795 0xf790 0xf765 0xf799 0xf7ef 0xf864 0xf8f5 0xf98b 0xfa33 0xfaea 
0xfa25 0xf985 0xf8dc 0xf835 0xf7b0 0xf719 0xf709 0xf6df 0xf6c6 0xf6db 0xf760 0xf7f6 0xf85b 0xf8fd 0xf9e4 0xfaca 
0xfa07 0xf944 0xf895 0xf7fd 0xf72d 0xf6d5 0xf691 0xf66a 0xf677 0xf698 0xf746 0xf7ae 0xf847 0xf8ef 0xfa80 0xfbf6 
0xf9d6 0xf8ff 0xf845 0xf7ac 0xf6ea 0xf65b 0xf614 0xf5fd 0xf60f 0xf634 0xf6c7 0xf736 0xf7dc 0xf9a3 0xfb36 0xfbc3 
0xf9cd 0xf903 0xf84a 0xf79b 0xf6b7 0xf63b 0xf60f 0xf5c9 0xf5ec 0xf632 0xf6a5 0xf74c 0xf951 0xfa7a 0xfb4b 0xfbe8 
0xf9a0 0xf8d3 0xf82c 0xf764 0xf6ca 0xf61f 0xf5dc 0xf600 0xf5c1 0xf618 0xf6eb 0xf8a4 0xf9a5 0xfa62 0xfbaa 0xfc52 
0xf9c9 0xf90c 0xf87e 0xf7df 0xf6fb 0xf691 0xf65e 0xf61c 0xf620 0xf6a1 0xf864 0xf8ef 0xf9d1 0xfb2b 0xfbfd 0xfc7a 
0xf9cb 0xf928 0xf879 0xf803 0xf74d 0xf752 0xf68f 0xf67b 0xf6b2 0xf810 0xf8a9 0xf94e 0xfa3b 0xfb5d 0xfc09 0xfc70 
0xfa1e 0xf992 0xf8f6 0xf863 0xf801 0xf77c 0xf734 0xf75b 0xf8aa 0xf8c6 0xf95f 0xfa8a 0xfad7 0xfb86 0xfc3b 0xfcc7 
0xfa67 0xf9b2 0xf940 0xf8d5 0xf851 0xf7fe 0xf800 0xf945 0xf9d5 0xfa06 0xfa5d 0xfb33 0xfb61 0xfc0a 0xfc81 0xfd39 
0xfb63 0xfa02 0xf9ac 0xf921 0xf8ed 0xf8a7 0xfa0b 0xfa99 0xfa75 0xfac6 0xfb3b 0xfb6b 0xfbb1 0xfc15 0xfcc5 0xfdae 
0x4e62 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd5e 0xf553 0x1cb9 0xd782 0xffed 0xfff0 0xffff 0xffff 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0685 0x1a16 0x1a16 0x1a16 0x1a16 0x1a15 0x1a15 0x1a15 0xfd5d 0xcbf0 0xce55 0xd714 0xffee 0xffe9 0x0000 0x0000 
