1728236789
0xfc0d 0xfb69 0xfb19 0xfb01 0xfb85 0xfc02 0xfcac 0xfcb4 0xfc4a 0xfc63 0xfcc9 0xfd31 0xfd60 0xfd54 0xfd59 0xfe00 
0xfbbe 0xfb4b 0xfada 0xfa6b 0xfa51 0xfb1a 0xfc0d 0xfc5c 0xfbfd 0xfc4c 0xfc9f 0xfcc3 0xfd10 0xfd7f 0xfd92 0xfdd9 
0xfb6e 0xfad1 0xfa40 0xf9e5 0xf954 0xf928 0xfaa7 0xfba5 0xfb78 0xfbdd 0xfc23 0xfc26 0xfc9f 0xfd31 0xfd78 0xfd8d 
0xfb3b 0xfaa5 0xfa1f 0xf990 0xf918 0xf89d 0xf88d 0xf999 0xfae4 0xfb17 0xfb87 0xfc5c 0xfccd 0xfd31 0xfd77 0xfd49 
0xfaf6 0xfa57 0xf9ce 0xf930 0xf89f 0xf834 0xf7ff 0xf800 0xf87f 0xfa87 0xfba5 0xfc3e 0xfc8c 0xfc8d 0xfcf5 0xfc91 
0xfafc 0xfa4c 0xf9c2 0xf923 0xf893 0xf837 0xf7f7 0xf7ca 0xf7dd 0xf812 0xfa10 0xfbae 0xfc3a 0xfc93 0xfc8f 0xfc5c 
0xfac6 0xfa2b 0xf9a0 0xf926 0xf884 0xf80c 0xf7d9 0xf7a5 0xf7a4 0xf7d4 0xf872 0xf95a 0xfb0b 0xfc1a 0xfc83 0xfc9f 
0xfae8 0xfa48 0xf9d3 0xf94f 0xf8bc 0xf843 0xf80f 0xf804 0xf7f2 0xf822 0xf8ae 0xf900 0xf975 0xfab7 0xfc24 0xfcad 
0xfae4 0xfa58 0xf9d3 0xf954 0xf8ba 0xf83f 0xf830 0xf80a 0xf803 0xf85f 0xf8a3 0xf919 0xf991 0xfa24 0xfaf0 0xfbbf 
0xfb2e 0xfaa0 0xfa2a 0xf9b5 0xf93f 0xf8d2 0xf8ae 0xf886 0xf87e 0xf8bd 0xf922 0xf985 0xf9f4 0xfa7f 0xfb39 0xfbb9 
0xfb2b 0xfaba 0xfa50 0xf9e8 0xf991 0xf922 0xf91a 0xf8f4 0xf8ef 0xf8fd 0xf971 0xf9b6 0xfa3f 0xfaae 0xfb43 0xfbf5 
0xfb69 0xfae2 0xfaad 0xfa29 0xf9d9 0xf995 0xf990 0xf950 0xf97c 0xf978 0xf9f0 0xfa36 0xfab1 0xfb1e 0xfbbe 0xfcd5 
0x5046 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfdc2 0xf582 0x1d74 0xd75e 0xfff5 0xfff5 0x0000 0x0005 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0605 0x1817 0x1817 0x1817 0x1817 0x1816 0x1816 0x1816 0xfdc1 0xcce8 0xced4 0xd7ea 0xfff4 0xfff4 0x0003 0x0005 
