1728236789
0xfbe2 0xfb61 0xfb0e 0xfb02 0xfad1 0xfacc 0xfac0 0xfa8c 0xfa22 0xf9e0 0xf9ed 0xfa07 0xfa4e 0xfa9d 0xfb36 0xfc5e 
0xfbe3 0xfbd6 0xfc1e 0xfc58 0xfc59 0xfc46 0xfc44 0xfc2e 0xfbf2 0xfb90 0xfac7 0xfa1b 0xfa1d 0xfa85 0xfb09 0xfb85 
0xfc33 0xfc77 0xfc4c 0xfc48 0xfc19 0xfbc4 0xfbdc 0xfbe9 0xfbdf 0xfc0d 0xfc1f 0xfb6f 0xfa5f 0xfa4c 0xfac9 0xfb4b 
0xfce3 0xfcd5 0xfc98 0xfc30 0xfc1a 0xfbab 0xfb65 0xfb56 0xfb64 0xfb5d 0xfc00 0xfc1a 0xfb71 0xfafe 0xfada 0xfb3c 
0xfcfb 0xfcc4 0xfc93 0xfc47 0xfbc6 0xfb21 0xfb48 0xfb08 0xfafb 0xfb0c 0xfb73 0xfb63 0xfbb6 0xfb72 0xfb26 0xfb32 
0xfce5 0xfca2 0xfc4a 0xfbd9 0xfbba 0xfba8 0xfb79 0xfbb0 0xfb4d 0xfb9e 0xfba1 0xfad1 0xfaa0 0xfb36 0xfbd9 0xfb76 
0xfc81 0xfc40 0xfbbf 0xfb7d 0xfba8 0xfb3a 0xfb9a 0xfae7 0xfb14 0xfb04 0xfa9e 0xfa68 0xfa2b 0xfad4 0xfbd8 0xfc28 
0xfcae 0xfc59 0xfbfa 0xfbdf 0xfbb5 0xfb67 0xfb9c 0xfb85 0xfba2 0xfb96 0xfc07 0xfb53 0xfaec 0xfae5 0xfbef 0xfc77 
0xfcbc 0xfc65 0xfc13 0xfbf5 0xfb61 0xfb22 0xfb9b 0xfb86 0xfb94 0xfb47 0xfbad 0xfb52 0xfb20 0xfb01 0xfbab 0xfca4 
0xfce2 0xfcd3 0xfc85 0xfc02 0xfbcc 0xfc21 0xfc1b 0xfbc0 0xfb86 0xfba2 0xfbc2 0xfbe1 0xfba7 0xfbad 0xfc39 0xfd01 
0xfcd8 0xfcdc 0xfcc0 0xfc2b 0xfc57 0xfc34 0xfc3a 0xfbb7 0xfbce 0xfc71 0xfc38 0xfc5d 0xfc45 0xfc56 0xfc7d 0xfd47 
0xfd24 0xfccf 0xfc80 0xfc59 0xfc6c 0xfc48 0xfc32 0xfc3c 0xfc4f 0xfcbb 0xfccf 0xfce5 0xfcac 0xfca7 0xfce1 0xfde6 
0x4de2 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd95 0xf565 0x1dac 0xd938 0xfffb 0xfff9 0x0000 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0605 0x1815 0x1815 0x1815 0x1815 0x1814 0x1814 0x1814 0xfd92 0xce38 0xd0df 0xd8e9 0xfffc 0xfff8 0x0003 0x0006 
