1728236789
0xfae2 0xfa48 0xf9e7 0xf96a 0xf8d8 0xf885 0xf85e 0xf82a 0xf826 0xf845 0xf8a3 0xf922 0xf96e 0xf9d2 0xfa8f 0xfb91 
0xfaac 0xfa1e 0xf991 0xf904 0xf872 0xf7fb 0xf7c3 0xf7be 0xf794 0xf7c4 0xf81b 0xf88d 0xf919 0xf9ac 0xfa4e 0xfafb 
0xfa40 0xf9a4 0xf902 0xf85d 0xf7de 0xf74e 0xf737 0xf710 0xf6f6 0xf70d 0xf78d 0xf821 0xf882 0xf91e 0xf9f9 0xfaac 
0xfa25 0xf965 0xf8bd 0xf827 0xf75a 0xf708 0xf6c4 0xf69d 0xf6ac 0xf6ca 0xf773 0xf7da 0xf86c 0xf907 0xfa1d 0xfada 
0xf9f4 0xf923 0xf86e 0xf7d8 0xf71c 0xf690 0xf64c 0xf634 0xf647 0xf669 0xf6f8 0xf762 0xf7fe 0xf8c3 0xf9b1 0xfa50 
0xf9ee 0xf927 0xf873 0xf7c8 0xf6ec 0xf670 0xf646 0xf5fe 0xf625 0xf666 0xf6d2 0xf765 0xf828 0xf8e6 0xf9a4 0xfa5c 
0xf9bf 0xf8fa 0xf857 0xf793 0xf6fc 0xf656 0xf611 0xf639 0xf5f7 0xf64a 0xf6f8 0xf769 0xf821 0xf8d5 0xf9c7 0xfb85 
0xf9e9 0xf930 0xf8a5 0xf80c 0xf72b 0xf6c5 0xf691 0xf650 0xf651 0xf6a0 0xf733 0xf7b8 0xf85c 0xf98a 0xfb69 0xfc2f 
0xf9eb 0xf94a 0xf8a1 0xf82c 0xf77d 0xf780 0xf6c1 0xf6aa 0xf6a2 0xf6e8 0xf761 0xf827 0xf988 0xfb36 0xfbdf 0xfc37 
0xfa3b 0xf9b2 0xf919 0xf88b 0xf82e 0xf7ab 0xf760 0xf74f 0xf744 0xf77d 0xf86b 0xfa21 0xfb1f 0xfb7b 0xfbe7 0xfc9f 
0xfa80 0xf9d0 0xf95f 0xf8f8 0xf877 0xf824 0xf7f3 0xf7e3 0xf7d0 0xf8d3 0xfa5b 0xfaf4 0xfb18 0xfb74 0xfc4c 0xfd1f 
0xfb72 0xfa1c 0xf9c8 0xf93e 0xf90a 0xf898 0xf899 0xf8b4 0xf99c 0xfa2d 0xfab8 0xfaf7 0xfb83 0xfbe1 0xfcc5 0xfd9a 
0x4f06 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd54 0xf55c 0x1cf7 0xd783 0xffec 0xfff1 0xffff 0xffff 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0676 0x19d9 0x19d9 0x19d9 0x19d9 0x19d8 0x19d8 0x19d8 0xfd51 0xcbeb 0xce54 0xd711 0xffec 0xffec 0x0000 0x0001 
