1728236819
0xfaf0 0xfa54 0xf9fa 0xf97e 0xf8eb 0xf898 0xf874 0xf843 0xf840 0xf85d 0xf8bb 0xf937 0xf981 0xf9e5 0xfa9f 0xfb9b 
0xfabc 0xfa32 0xf9a5 0xf918 0xf88a 0xf812 0xf7dd 0xf7d8 0xf7ae 0xf7e1 0xf834 0xf8a4 0xf92e 0xf9bd 0xfa5e 0xfb08 
0xfa50 0xf9b8 0xf916 0xf875 0xf7f7 0xf767 0xf754 0xf731 0xf715 0xf72a 0xf7a7 0xf838 0xf89a 0xf936 0xfa0a 0xfabb 
0xfa35 0xf979 0xf8d2 0xf842 0xf775 0xf725 0xf6e1 0xf6bf 0xf6c7 0xf6e8 0xf78f 0xf7f3 0xf884 0xf91f 0xfa39 0xfaef 
0xfa05 0xf938 0xf884 0xf7f0 0xf737 0xf6ad 0xf66b 0xf654 0xf666 0xf68b 0xf713 0xf77d 0xf814 0xf8da 0xf9c5 0xfa62 
0xf9fd 0xf93b 0xf88b 0xf7e0 0xf708 0xf68f 0xf663 0xf61e 0xf643 0xf685 0xf6ed 0xf77e 0xf840 0xf8fa 0xf9b5 0xfa67 
0xf9d1 0xf90f 0xf86a 0xf7ac 0xf719 0xf674 0xf630 0xf657 0xf616 0xf669 0xf712 0xf784 0xf838 0xf8e7 0xf9b8 0xfa84 
0xf9fa 0xf945 0xf8bd 0xf822 0xf747 0xf6e4 0xf6af 0xf670 0xf66e 0xf6bd 0xf74f 0xf7d0 0xf871 0xf925 0xfa0f 0xfb9c 
0xf9fc 0xf95c 0xf8b8 0xf844 0xf796 0xf79d 0xf6dd 0xf6c6 0xf6c0 0xf705 0xf779 0xf827 0xf895 0xf9bf 0xfb6a 0xfc4f 
0xfa4b 0xf9c4 0xf92c 0xf8a3 0xf843 0xf7c6 0xf77b 0xf76b 0xf75f 0xf795 0xf822 0xf8dd 0xfa38 0xfb78 0xfc36 0xfcb6 
0xfa8d 0xf9df 0xf971 0xf90b 0xf890 0xf83a 0xf809 0xf7fc 0xf7d5 0xf82c 0xf95c 0xfad4 0xfb98 0xfc1f 0xfc63 0xfd11 
0xfb7a 0xfa2a 0xf9da 0xf951 0xf91e 0xf8ae 0xf8ac 0xf87a 0xf8ee 0xfa2b 0xfb3f 0xfbad 0xfc13 0xfc43 0xfcca 0xfda2 
0x4f5d 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd50 0xf561 0x1d19 0xd784 0xffed 0xffee 0xffff 0xfffa 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x066f 0x19bc 0x19bc 0x19bc 0x19bc 0x19bb 0x19bb 0x19bb 0xfd4f 0xcbe6 0xce51 0xd70f 0xfff0 0xffed 0x0001 0x0002 
