1728236849
0xfc35 0xfc0c 0xfc58 0xfc8b 0xfc2e 0xfb97 0xfb24 0xfb1d 0xfb45 0xfae8 0xfa5d 0xfa37 0xfa6b 0xfaaf 0xfb43 0xfc67 
0xfcc1 0xfcf4 0xfcd1 0xfc80 0xfc28 0xfbb8 0xfb82 0xfa8f 0xfaa3 0xfb96 0xfbab 0xfaec 0xfa5c 0xfaa1 0xfb1d 0xfb95 
0xfcda 0xfc80 0xfc48 0xfbbc 0xfb3e 0xfa78 0xf9ef 0xf9f1 0xfa7c 0xfb29 0xfbb4 0xfbae 0xfb59 0xfa99 0xfaed 0xfb60 
0xfcc2 0xfc52 0xfbfb 0xfb25 0xf9ee 0xf967 0xf992 0xf986 0xfa38 0xfb16 0xfb55 0xfb59 0xfbe4 0xfbd9 0xfb1d 0xfb60 
0xfc7f 0xfc18 0xfbc8 0xfa39 0xf974 0xf943 0xf8f5 0xf919 0xf929 0xf9f8 0xfad7 0xfb4b 0xfbff 0xfc7e 0xfbb8 0xfb68 
0xfca0 0xfc26 0xfb8d 0xfb56 0xfa50 0xf98d 0xf925 0xf8f7 0xf8a2 0xf972 0xfaca 0xfb23 0xfbf1 0xfccb 0xfcc1 0xfbb0 
0xfc64 0xfc49 0xfc3e 0xfaf6 0xfa4a 0xf999 0xf8eb 0xf8e7 0xf959 0xf9e6 0xfab2 0xfb8d 0xfbfb 0xfca4 0xfcf4 0xfc69 
0xfcb6 0xfc3e 0xfbeb 0xfb4d 0xfade 0xfa33 0xf9a1 0xf9d2 0xfaa1 0xfa75 0xfaee 0xfb7f 0xfc47 0xfcae 0xfd2e 0xfcfb 
0xfc96 0xfc24 0xfbd0 0xfbad 0xfbc0 0xfaa5 0xfa6a 0xfad1 0xfb87 0xfb3a 0xfa76 0xfaf9 0xfc3e 0xfce3 0xfd35 0xfd3d 
0xfcc3 0xfc66 0xfc79 0xfc12 0xfc1d 0xfbdf 0xfbca 0xfb8b 0xfb80 0xfbef 0xfad3 0xfb02 0xfc20 0xfd08 0xfd64 0xfd6f 
0xfcbf 0xfc84 0xfcb1 0xfc6f 0xfc8a 0xfc47 0xfc1c 0xfb5a 0xfb85 0xfbfb 0xfc11 0xfb65 0xfc94 0xfd09 0xfd69 0xfda2 
0xfd10 0xfc9d 0xfcd0 0xfcc5 0xfcad 0xfc91 0xfc7d 0xfbed 0xfc1f 0xfc6b 0xfc53 0xfc07 0xfca0 0xfd2d 0xfd8a 0xfe18 
0x4df4 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd9a 0xf567 0x1db3 0xd938 0xfff7 0xfff5 0x0000 0x0002 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0603 0x180f 0x180f 0x180f 0x180f 0x180d 0x180d 0x180d 0xfd98 0xce38 0xd0df 0xd8e9 0xfffb 0xfff7 0x0003 0x0005 
