1728236849
0xfbbf 0xf9b6 0xf947 0xf892 0xf7ec 0xf778 0xf74e 0xf708 0xf724 0xf727 0xf79f 0xf7f9 0xf87c 0xf900 0xf9df 0xfa86 
0xfa40 0xf94b 0xf8a3 0xf7f3 0xf743 0xf6a7 0xf668 0xf631 0xf612 0xf66c 0xf706 0xf760 0xf803 0xf889 0xf963 0xfa12 
0xf99a 0xf8ab 0xf807 0xf746 0xf68a 0xf5e9 0xf584 0xf57d 0xf55f 0xf59c 0xf622 0xf6b7 0xf73c 0xf800 0xf909 0xf9b2 
0xf960 0xf86d 0xf7a9 0xf6da 0xf5ee 0xf54a 0xf4fa 0xf4da 0xf4d0 0xf521 0xf5b6 0xf638 0xf6cc 0xf784 0xf8a0 0xf979 
0xf905 0xf7e5 0xf73d 0xf65d 0xf57a 0xf4c4 0xf49c 0xf49a 0xf4b1 0xf4d4 0xf552 0xf5c1 0xf64b 0xf72b 0xf85b 0xf935 
0xf8e2 0xf7ff 0xf71f 0xf640 0xf555 0xf4b7 0xf49e 0xf4ca 0x1ce6 0xf4fc 0xf52a 0xf585 0xf64a 0xf71f 0xf835 0xf952 
0xf8cf 0xf7c2 0xf6fd 0xf61a 0xf52d 0xf482 0xf46e 0xf485 0xf4a6 0xf47e 0xf4e6 0xf57b 0xf643 0xf70a 0xf853 0xf920 
0xf8ea 0xf7fa 0xf746 0xf646 0xf571 0xf4e9 0xf4ed 0xf49f 0xf47a 0xf4c1 0xf542 0xf5c7 0xf669 0xf753 0xf85a 0xf967 
0xf8fa 0xf80c 0xf769 0xf69d 0xf5d2 0xf51c 0xf4cb 0xf4ce 0xf4e8 0xf4df 0xf57d 0xf639 0xf6c0 0xf774 0xf8ba 0xf982 
0xf942 0xf879 0xf7d2 0xf714 0xf64e 0xf5d3 0xf5c8 0xf55b 0xf590 0xf5a6 0xf622 0xf6c9 0xf74d 0xf811 0xf90d 0xf9e6 
0xf97f 0xf8b2 0xf83a 0xf7a5 0xf702 0xf664 0xf66a 0xf60f 0xf62e 0xf63d 0xf6a3 0xf71d 0xf7dd 0xf880 0xf970 0xfa33 
0xfaa1 0xf906 0xf8a0 0xf7de 0xf767 0xf702 0xf703 0xf6e0 0xf6dd 0xf709 0xf788 0xf7ea 0xf87d 0xf91a 0xf9e7 0xfa96 
0x49cc 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd3a 0xf4c0 0x1bf8 0xd7d4 0xffe2 0xffe7 0x0001 0xfffe 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x06d0 0x1b42 0x1b42 0x1b42 0x1b42 0x1b41 0x1b41 0x1b41 0xfd37 0xccc2 0xcf31 0xd716 0xffe3 0xffe3 0x0005 0x0002 
