1728236909
0xfc00 0xfb4b 0xfae8 0xfa96 0xfa2f 0xf9cf 0xf9b0 0xf995 0xf9aa 0xfa63 0xfb61 0xfc04 0xfc3d 0xfc79 0xfce5 0xfdaa 
0xfbab 0xfb2f 0xfab7 0xfa36 0xf9d5 0xf962 0xf94a 0xf8f3 0xf909 0xf939 0xf9a6 0xfa5e 0xfb5c 0xfc2e 0xfc8f 0xfd1e 
0xfb56 0xfab4 0xfa1c 0xf9b9 0xf918 0xf8bd 0xf89c 0xf86a 0xf850 0xf892 0xf8ea 0xf954 0xf9dc 0xfaa3 0xfbe2 0xfc83 
0xfb20 0xfa87 0xf9fb 0xf964 0xf8e3 0xf85e 0xf83e 0xf802 0xf7f8 0xf83b 0xf88f 0xf90f 0xf979 0xfa36 0xfac8 0xfbcf 
0xfade 0xfa34 0xf9a8 0xf8ff 0xf868 0xf7f5 0xf7bc 0xf7b7 0xf799 0xf7c9 0xf836 0xf8ad 0xf931 0xf9da 0xfa76 0xfb1f 
0xfae1 0xfa29 0xf996 0xf8f2 0xf858 0xf7fa 0xf7b3 0xf787 0xf793 0xf7a4 0xf830 0xf892 0xf91c 0xf9c5 0xfa6a 0xfb19 
0xfaac 0xfa07 0xf97a 0xf8f5 0xf84b 0xf7ce 0xf793 0xf761 0xf75e 0xf793 0xf82b 0xf889 0xf8fc 0xf9aa 0xfa58 0xfb07 
0xfacc 0xfa26 0xf9ad 0xf920 0xf885 0xf807 0xf7ce 0xf7c8 0xf7b2 0xf7e3 0xf870 0xf8c2 0xf929 0xf9dd 0xfaa4 0xfb37 
0xfac7 0xfa37 0xf9af 0xf927 0xf884 0xf804 0xf7f6 0xf7cf 0xf7c4 0xf825 0xf86c 0xf8e7 0xf95e 0xf9f1 0xfaa7 0xfb4c 
0xfb12 0xfa80 0xfa05 0xf98d 0xf910 0xf89e 0xf879 0xf851 0xf846 0xf88b 0xf8f0 0xf958 0xf9c7 0xfa5b 0xfb1a 0xfb92 
0xfb15 0xfaa0 0xfa30 0xf9c4 0xf966 0xf8f4 0xf8ee 0xf8c5 0xf8bc 0xf8d1 0xf946 0xf98f 0xfa1e 0xfa93 0xfb2f 0xfbe1 
0xfb54 0xfaca 0xfa90 0xfa08 0xf9b3 0xf96f 0xf969 0xf926 0xf951 0xf951 0xf9cc 0xfa1a 0xfa92 0xfb06 0xfbae 0xfccb 
0x4f95 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfdc3 0xf57b 0x1d2a 0xd75c 0xfff1 0xfff2 0x0000 0x0002 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0617 0x185d 0x185d 0x185d 0x185d 0x185c 0x185c 0x185c 0xfdc2 0xccec 0xced5 0xd7eb 0xfff3 0xfff1 0x0001 0x0004 
