1728236909
0xfbab 0xf995 0xf91c 0xf863 0xf7b9 0xf743 0xf713 0xf6cb 0xf6eb 0xf6f0 0xf764 0xf7c3 0xf852 0xf8d8 0xf9b9 0xfa66 
0xfa23 0xf925 0xf875 0xf7be 0xf70c 0xf66d 0xf627 0xf5ed 0xf5d5 0xf630 0xf6c5 0xf72b 0xf7d1 0xf85d 0xf938 0xf9ec 
0xf975 0xf881 0xf7d4 0xf710 0xf650 0xf5ac 0xf53b 0xf532 0xf511 0xf552 0xf5db 0xf677 0xf708 0xf7d3 0xf8da 0xf98b 
0xf938 0xf83f 0xf773 0xf6a2 0xf5c8 0xf50e 0xf4aa 0xf47c 0xf473 0xf4c0 0xf564 0xf5f0 0xf690 0xf752 0xf870 0xf94c 
0xf8de 0xf7bf 0xf700 0xf626 0xf53c 0xf485 0xf435 0xf422 0xf3fc 0xf465 0xf4f1 0xf57a 0xf60d 0xf702 0xf828 0xf90e 
0xf8af 0xf7cf 0xf6e6 0xf5fc 0xf507 0xf466 0xf432 0xf3e1 0xf3d2 0xf431 0xf4c7 0xf538 0xf603 0xf6ef 0xf809 0xf92a 
0xf8a3 0xf78d 0xf6c2 0xf5dc 0xf4ea 0xf434 0xf402 0xf3f6 0xf3a6 0xf3f1 0xf486 0xf53c 0xf626 0xf6e4 0xf828 0xf8fb 
0xf8bf 0xf7cb 0xf70a 0xf606 0xf532 0xf49c 0xf496 0xf432 0xf406 0xf469 0xf718 0xfaf5 0xf706 0xf793 0xf861 0xf957 
0xf8d0 0xf7db 0xf732 0xf660 0xf595 0xf4d6 0xf47c 0xf47f 0xf49c 0xf498 0xf6c8 0xfc8f 0xf77d 0xf7b3 0xf8bf 0xf975 
0xf91a 0xf852 0xf79d 0xf6da 0xf616 0xf594 0xf580 0xf512 0xf54f 0xf550 0xf636 0xf7ab 0xf7ac 0xf834 0xf911 0xf9d9 
0xf95f 0xf88a 0xf807 0xf770 0xf6cc 0xf62a 0xf62d 0xf5cf 0xf5df 0xf627 0xf685 0xf758 0xf7ff 0xf888 0xf964 0xfa23 
0xfa86 0xf8e3 0xf871 0xf7af 0xf736 0xf6d2 0xf6c8 0xf6a6 0xf6b0 0xf6db 0xf75a 0xf7d6 0xf882 0xf916 0xf9d6 0xfa85 
0x4949 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd30 0xf4bd 0x1bc6 0xd7d1 0xffe4 0xffe8 0x0000 0xfffe 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x06dd 0x1b76 0x1b76 0x1b76 0x1b76 0x1b75 0x1b75 0x1b75 0xfd2b 0xccc7 0xcf2e 0xd715 0xffe3 0xffe3 0xffff 0xffff 
