1728236939
0xfc0e 0xfb5b 0xfafa 0xfaa5 0xfa3c 0xf9da 0xf9ba 0xf99b 0xf98c 0xf9c0 0xfa06 0xfa71 0xfaba 0xfb08 0xfbc1 0xfd59 
0xfbbc 0xfb3e 0xfac3 0xfa43 0xf9e0 0xf96e 0xf952 0xf8fa 0xf910 0xf93f 0xf99b 0xf9f8 0xfa5e 0xfac1 0xfb4b 0xfc42 
0xfb65 0xfac4 0xfa29 0xf9c6 0xf925 0xf8c6 0xf8a6 0xf870 0xf859 0xf89a 0xf8f1 0xf95d 0xf9db 0xfa4c 0xfae7 0xfb78 
0xfb30 0xfa95 0xfa05 0xf970 0xf8ee 0xf866 0xf847 0xf80b 0xf802 0xf842 0xf899 0xf919 0xf982 0xfa3e 0xfac5 0xfb6a 
0xfaed 0xfa44 0xf9b5 0xf90a 0xf870 0xf7fe 0xf7c5 0xf7c0 0xf79e 0xf7d0 0xf83e 0xf8b3 0xf93a 0xf9e5 0xfa83 0xfb2c 
0xfaef 0xfa3a 0xf9a5 0xf8fe 0xf85d 0xf801 0xf7bb 0xf78f 0xf79b 0xf7ab 0xf838 0xf89c 0xf926 0xf9cf 0xfa76 0xfb28 
0xfabb 0xfa17 0xf984 0xf8ff 0xf850 0xf7d3 0xf79e 0xf769 0xf766 0xf79a 0xf832 0xf895 0xf909 0xf9b7 0xfa66 0xfb18 
0xfadd 0xfa36 0xf9bb 0xf92e 0xf88e 0xf80c 0xf7da 0xf7cf 0xf7ba 0xf7ea 0xf87c 0xf8cf 0xf934 0xf9e9 0xfab3 0xfb49 
0xfad8 0xfa49 0xf9bf 0xf933 0xf890 0xf80e 0xf800 0xf7d9 0xf7d0 0xf82e 0xf878 0xf8f3 0xf96d 0xf9fe 0xfab8 0xfb5d 
0xfb22 0xfa90 0xfa13 0xf999 0xf91c 0xf8aa 0xf883 0xf85b 0xf850 0xf893 0xf8fe 0xf965 0xf9d7 0xfa69 0xfb27 0xfba3 
0xfb24 0xfaad 0xfa3e 0xf9d5 0xf973 0xf901 0xf8f9 0xf8cf 0xf8cc 0xf8de 0xf954 0xf9a0 0xfa2e 0xfaa3 0xfb41 0xfbf7 
0xfb64 0xfada 0xfa9f 0xfa18 0xf9c4 0xf97c 0xf976 0xf937 0xf960 0xf95e 0xf9dd 0xfa29 0xfaa6 0xfb17 0xfbc3 0xfce4 
0x4f60 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfde2 0xf578 0x1d14 0xd75d 0xfff2 0xfff3 0x0000 0x0000 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x061c 0x1871 0x1871 0x1871 0x1871 0x1870 0x1870 0x1870 0xfdde 0xccee 0xced6 0xd7eb 0xfff2 0xfff0 0x0003 0x0006 
