1728236939
0xfb84 0xfae8 0xfa6e 0xfa3d 0xf9d7 0xf9bf 0xfa1a 0xfbb0 0xfc1f 0xfc4a 0xfca1 0xfcd3 0xfd09 0xfd32 0xfd65 0xfdb4 
0xfb3a 0xfabf 0xfa42 0xf9db 0xf976 0xf9c2 0xfb8c 0xfc0b 0xfc11 0xfc1f 0xfc5d 0xfc6d 0xfcef 0xfd49 0xfd87 0xfd93 
0xfacb 0xfa39 0xf9d9 0xf982 0xf934 0xfaaa 0xfbb8 0xfbcf 0xfbba 0xfba5 0xfbcc 0xfc38 0xfccd 0xfd29 0xfd70 0xfd8b 
0xfac8 0xfa30 0xf9b1 0xf961 0xf9ba 0xfaf6 0xfb6f 0xfba0 0xfc00 0xfba6 0xfb68 0xfc2f 0xfcd4 0xfd34 0xfd79 0xfd92 
0xfa8e 0xf9e8 0xf980 0xf958 0xfa5b 0xf9d2 0xfa8b 0xfb82 0xfbb8 0xfb10 0xfb63 0xfc0f 0xfcbb 0xfd04 0xfd58 0xfd9a 
0xfa80 0xf9f2 0xf983 0xf9f5 0xfa6c 0xfa04 0xf99e 0xfad6 0xfb0d 0xfb5a 0xfbff 0xfc47 0xfc76 0xfd37 0xfd78 0xfda2 
0xfa7a 0xf9e4 0xf999 0xfac8 0xfaf8 0xfaa5 0xf9d1 0xfadb 0xfb4d 0xfb90 0xfb65 0xfbb6 0xfc46 0xfd0b 0xfd48 0xfd93 
0xfaa1 0xfa1d 0xf9ed 0xfb8a 0xfb9b 0xfad8 0xf9f8 0xfb1c 0xfb4c 0xfb7b 0xfba7 0xfb59 0xfc70 0xfceb 0xfcb3 0xfd8d 
0xfaba 0xfa3b 0xfa31 0xfbe6 0xfb8d 0xfa28 0xf9dd 0xfa69 0xfab5 0xfa87 0xfbda 0xfbdf 0xfc91 0xfc8b 0xfd3e 0xfd8e 
0xfaf2 0xfa8c 0xfa89 0xfc10 0xfb8c 0xfa4b 0xfa0a 0xfa11 0xfa47 0xfad9 0xfba8 0xfc7b 0xfcba 0xfd1b 0xfd7d 0xfdbc 
0xfb21 0xfabe 0xfaab 0xfbea 0xfb6d 0xfa44 0xf9fe 0xf9fd 0xf9fc 0xfb01 0xfbb8 0xfc43 0xfc96 0xfd0e 0xfd88 0xfdd0 
0xfc06 0xfae2 0xfae2 0xfba6 0xfb8e 0xfa9d 0xfa6e 0xfa5e 0xfa74 0xfb34 0xfc03 0xfc31 0xfc4a 0xfcac 0xfd68 0xfe10 
0x4e0a 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd92 0xf567 0x1dbb 0xd937 0xfffa 0xfff9 0x0001 0x0000 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0601 0x1806 0x1806 0x1806 0x1806 0x1805 0x1805 0x1805 0xfd90 0xce38 0xd0e0 0xd8e9 0xfffb 0xfff6 0x0002 0x0006 
