1728236939
0xfb97 0xf97c 0xf900 0xf844 0xf79e 0xf724 0xf6f1 0xf6a8 0xf6cb 0xf6cc 0xf744 0xf7a5 0xf833 0xf8bd 0xf99f 0xfa4e 
0xfa0e 0xf908 0xf855 0xf79f 0xf6ee 0xf64b 0xf601 0xf5ca 0xf5ae 0xf60a 0xf6a1 0xf707 0xf7b1 0xf83e 0xf91c 0xf9d3 
0xf95c 0xf867 0xf7b5 0xf6ee 0xf62d 0xf585 0xf518 0xf509 0xf4e8 0xf52a 0xf5b4 0xf658 0xf6e8 0xf7b0 0xf8c0 0xf96f 
0xf91e 0xf822 0xf751 0xf67d 0xf58b 0xf4e0 0xf47f 0xf454 0xf44a 0xf499 0xf53f 0xf5cf 0xf671 0xf731 0xf853 0xf930 
0xf8c4 0xf7a2 0xf6e1 0xf601 0xf513 0xf458 0xf40a 0xf3f9 0xf3d5 0xf43a 0xf4ca 0xf556 0xf5ea 0xf6df 0xf807 0xf8f0 
0xf891 0xf7b2 0xf6c3 0xf5da 0xf4e1 0xf43d 0xf408 0xf3b6 0xf3a6 0xf407 0xf49b 0xf512 0xf5d9 0xf6c5 0xf7e9 0xf910 
0xf887 0xf76e 0xf69d 0xf5b6 0xf4c3 0xf409 0xf3d6 0xf3c7 0xf37a 0xf3c8 0xf455 0xf509 0xf5df 0xf6b4 0xf801 0xf8dc 
0xf8a3 0xf7ab 0xf6e8 0xf5e1 0xf50b 0xf477 0xf46d 0xf401 0xf3dd 0xf439 0xf4c6 0xf55a 0xf60d 0xf707 0xf811 0xf93e 
0xf8b6 0xf7bd 0xf70f 0xf63d 0xf571 0xf4b2 0xf453 0xf453 0xf471 0xf463 0xf507 0xf5de 0xf68e 0xfdca 0xf99b 0xf9d8 
0xf900 0xf833 0xf77b 0xf6ba 0xf5f4 0xf570 0xf55b 0xf4ea 0xf525 0xf527 0xf5cd 0xf674 0xf70b 0xfc99 0xf98d 0xfa0b 
0xf944 0xf86e 0xf7e9 0xf752 0xf6ab 0xf606 0xf60b 0xf5ac 0xf5c4 0xf5ed 0xf645 0xf6c7 0xf797 0xf8fe 0xf9b4 0xfa38 
0xfa71 0xf8c8 0xf856 0xf790 0xf718 0xf6b1 0xf6a8 0xf686 0xf68c 0xf6b2 0xf732 0xf799 0xf837 0xf91c 0xf9f4 0xfa88 
0x4910 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd22 0xf4bb 0x1bae 0xd7ce 0xffe3 0xffe6 0xfffc 0xfffc 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x06e3 0x1b8d 0x1b8d 0x1b8d 0x1b8d 0x1b8c 0x1b8c 0x1b8c 0xfd1d 0xccca 0xcf2e 0xd713 0xffe4 0xffe2 0xfffe 0xffff 
