1728236999
0xfc03 0xfb4b 0xfae5 0xfa92 0xfa23 0xf9c2 0xf9a0 0xf980 0xf96b 0xf9a6 0xf9e8 0xfa58 0xfaa4 0xfaf6 0xfbab 0xfd50 
0xfbac 0xfb2c 0xfaae 0xfa28 0xf9c4 0xf94e 0xf934 0xf8db 0xf8eb 0xf91e 0xf97a 0xf9da 0xfa45 0xfaac 0xfb37 0xfc36 
0xfb54 0xfaaf 0xfa0f 0xf9a9 0xf902 0xf8a2 0xf881 0xf84b 0xf831 0xf876 0xf8cc 0xf93b 0xf9bd 0xfa33 0xfad0 0xfb67 
0xfb1d 0xfa7d 0xf9ec 0xf94e 0xf8ca 0xf841 0xf81c 0xf7e0 0xf7d7 0xf818 0xf873 0xf8f4 0xf962 0xfa27 0xfaae 0xfb58 
0xfad9 0xfa2b 0xf994 0xf8e7 0xf84a 0xf7d3 0xf79b 0xf792 0xf773 0xf7a5 0xf814 0xf891 0xf919 0xf9c7 0xfa6b 0xfb16 
0xfada 0xfa1f 0xf986 0xf8da 0xf836 0xf7d5 0xf78d 0xf760 0xf76f 0xf77d 0xf810 0xf873 0xf903 0xf9b6 0xfa5c 0xfb12 
0xfaa5 0xf9f9 0xf965 0xf8dc 0xf82c 0xf7a8 0xf76d 0xf738 0xf735 0xf770 0xf80b 0xf870 0xf8e4 0xf99b 0xfa4e 0xfb03 
0xfac8 0xfa1c 0xf99c 0xf907 0xf867 0xf7e6 0xf7ac 0xf7a2 0xf78c 0xf7c2 0xf853 0xf8a9 0xf913 0xf9ce 0xfa9b 0xfb33 
0xfac0 0xfa2e 0xf9a0 0xf914 0xf86b 0xf7e5 0xf7d5 0xf7ac 0xf7a4 0xf807 0xf850 0xf8d3 0xf94b 0xf9e3 0xfaa2 0xfb48 
0xfb12 0xfa7c 0xf9f8 0xf97b 0xf8f9 0xf887 0xf85d 0xf835 0xf82c 0xf871 0xf8dd 0xf949 0xf9bb 0xfa54 0xfb14 0xfb94 
0xfb14 0xfa98 0xfa26 0xf9b6 0xf955 0xf8dd 0xf8d7 0xf8a9 0xf8a7 0xf8c1 0xf954 0xf989 0xfa15 0xfa8a 0xfb30 0xfbe9 
0xfb54 0xfaca 0xfa8f 0xfa00 0xf9a8 0xf960 0xf95b 0xf916 0xf943 0xf95e 0x099c 0xfb91 0xfaa1 0xfb10 0xfbbe 0xfcde 
0x4ebd 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfdeb 0xf570 0x1cd2 0xd758 0xfff2 0xfff0 0xffff 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x062c 0x18b1 0x18b1 0x18b1 0x18b1 0x18b0 0x18b0 0x18b0 0xfde6 0xccf4 0xced6 0xd7ea 0xfff0 0xffee 0x0001 0x0002 
