1728237029
0xfb75 0xfad7 0xfa56 0xfa17 0xf993 0xf944 0xf905 0xf8fe 0xf8f6 0xf916 0xf97e 0xfa0a 0xfb5b 0xfc7d 0xfd1b 0xfd94 
0xfb2c 0xfaac 0xfa22 0xf9a7 0xf912 0xf8bb 0xf895 0xf870 0xf85c 0xf894 0xf936 0xfb1e 0xfc3f 0xfcfc 0xfd59 0xfd85 
0xfaba 0xfa23 0xf9af 0xf93b 0xf88a 0xf81e 0xf7ea 0xf7d4 0xf7d1 0xf833 0xfa4c 0xfbde 0xfc96 0xfd0c 0xfd59 0xfd93 
0xfab5 0xfa12 0xf97a 0xf8fb 0xf837 0xf7ba 0xf7a2 0xf787 0xf78d 0xf8c2 0xfba0 0xfc57 0xfcd7 0xfd2a 0xfd66 0xfda0 
0xfa77 0xf9c0 0xf938 0xf89d 0xf7ed 0xf78d 0xf746 0xf733 0xf768 0xfacd 0xfbb2 0xfc6b 0xfcdd 0xfced 0xfd3b 0xfd9f 
0xfa60 0xf9ba 0xf91a 0xf886 0xf7d4 0xf775 0xf747 0xf738 0xf96e 0xfb74 0xfc2f 0xfc8f 0xfce2 0xfd2f 0xfd71 0xfdad 
0xfa53 0xf99e 0xf90a 0xf86c 0xf7c9 0xf74c 0xf71c 0xf7b2 0xfb0d 0xfb88 0xfc16 0xfc94 0xfce6 0xfd1d 0xfd73 0xfdc3 
0xfa6f 0xf9c7 0xf935 0xf89d 0xf807 0xf79a 0xf781 0xf981 0xfb6a 0xfbf3 0xfc3e 0xfcb8 0xfd13 0xfd4f 0xfd99 0xfdc8 
0xfa86 0xf9de 0xf958 0xf8d7 0xf832 0xf7de 0xf82a 0xfa93 0xfbb7 0xfc11 0xfc99 0xfcde 0xfd22 0xfd60 0xfda1 0xfdd3 
0xfab8 0xfa2c 0xf9b0 0xf942 0xf8a9 0xf883 0xf987 0xfb35 0xfbdd 0xfc37 0xfc97 0xfcd3 0xfd27 0xfd82 0xfdcc 0xfdfa 
0xfaed 0xfa64 0xf9f0 0xf98a 0xf927 0xf8f4 0xfa5c 0xfafb 0xfbf2 0xfbec 0xfc86 0xfca6 0xfd2d 0xfd7c 0xfdca 0xfdfd 
0xfbd2 0xfa91 0xfa51 0xf9da 0xf99b 0xf992 0xfaf8 0xfb20 0xfc27 0xfc38 0xfc7f 0xfd08 0xfd55 0xfd98 0xfdee 0xfe2b 
0x4e58 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd81 0xf56c 0x1ddc 0xd938 0xfff9 0xfffa 0x0000 0x0002 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05fa 0x17e9 0x17e9 0x17e9 0x17e9 0x17e8 0x17e8 0x17e8 0xfd80 0xce37 0xd0e0 0xd8e8 0xfff8 0xfff5 0x0001 0x0004 
