1728237059
0xfbaa 0xf986 0xf909 0xf84c 0xf7a3 0xf727 0xf6f5 0xf6ae 0xf6cf 0xf6d2 0xf749 0xf7aa 0xf83b 0xf8c6 0xf9aa 0xfa60 
0xfa1a 0xf915 0xf860 0xf7a6 0xf6f2 0xf64e 0xf609 0xf5d0 0xf5b3 0xf611 0xf6a9 0xf711 0xf7bb 0xf84a 0xf92a 0xf9e5 
0xf96a 0xf870 0xf7bc 0xf6f2 0xf630 0xf58b 0xf519 0xf50b 0xf4eb 0xf530 0xf5ba 0xf65e 0xf6f1 0xf7be 0xf8cc 0xf982 
0xf92f 0xf82c 0xf75d 0xf682 0xf590 0xf4e1 0xf482 0xf454 0xf44a 0xf49c 0xf545 0xf5d3 0xf679 0xf73d 0xf85e 0xf941 
0xf8d2 0xf7ad 0xf6ec 0xf609 0xf517 0xf45c 0xf40c 0xf3fb 0xf3d5 0xf43d 0xf4cc 0xf55c 0xf5f2 0xf6e7 0xf815 0xf905 
0xf8a2 0xf7bf 0xf6ce 0xf5e1 0xf4e4 0xf441 0xf40a 0xf3b8 0xf3a8 0xf406 0xf4a3 0xf516 0xf5e3 0xf6d1 0xf806 0xfa34 
0xf899 0xf77e 0xf6a9 0xf5bb 0xf4c9 0xf40e 0xf3da 0xf3c9 0xf37b 0xf3c7 0xf45b 0xf50d 0xf5e4 0xf6c5 0xfbfa 0xfd6d 
0xf8b8 0xf7b8 0xf6f4 0xf5ed 0xf512 0xf479 0xf471 0xf404 0xf3dc 0xf43d 0xf4cb 0xf55e 0xf60f 0xf70b 0xf820 0xf964 
0xf8d6 0xf7c9 0xf71b 0xf643 0xf577 0xf4b5 0xf457 0xf457 0xf475 0xf47a 0xf505 0xf5db 0xf66d 0xf72d 0xf87c 0xf94f 
0xf98b 0xf848 0xf789 0xf6c4 0xf5fb 0xf575 0xf560 0xf4f1 0xf53e 0xf53b 0xf5b6 0xf672 0xf701 0xf7d3 0xf8d4 0xf9b9 
0xfa60 0xf909 0xf7f8 0xf759 0xf6b3 0xf60e 0xf60e 0xf5b0 0xf5e5 0xf5e4 0xf64b 0xf6ce 0xf79b 0xf843 0xf939 0xfa0c 
0xfb48 0xfa16 0xf8ff 0xf79d 0xf71b 0xf6b6 0xf6b0 0xf691 0xf692 0xf6bc 0xf73b 0xf7a6 0xf840 0xf8e9 0xf9b7 0xfa70 
0x48cb 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd54 0xf4b8 0x1b95 0xd7ce 0xffe2 0xffe6 0xfffd 0xfffb 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x06e9 0x1ba5 0x1ba5 0x1ba5 0x1ba5 0x1ba4 0x1ba4 0x1ba4 0xfd4e 0xcccc 0xcf30 0xd714 0xffe3 0xffe4 0xfffd 0xffff 
