1728237089
0xfbbf 0xf99c 0xf91c 0xf860 0xf7b7 0xf73b 0xf709 0xf6c3 0xf6e5 0xf6eb 0xf75e 0xf7c1 0xf857 0xf8e4 0xf9e4 0xfa8c 
0xfa30 0xf929 0xf870 0xf7b8 0xf706 0xf665 0xf61d 0xf5e4 0xf5cd 0xf625 0xf6c0 0xf728 0xf7e2 0xf8a0 0xf97a 0xfa19 
0xf97f 0xf889 0xf7d1 0xf706 0xf644 0xf59d 0xf52f 0xf523 0xf501 0xf546 0xf5d1 0xf674 0xf729 0xf898 0xf93c 0xf9c5 
0xf942 0xf841 0xf76e 0xf697 0xf5a7 0xf4f9 0xf497 0xf46c 0xf464 0xf4b5 0xf55c 0xf5f4 0xf9ce 0xf8b8 0xf8f3 0xf996 
0xf8e6 0xf7c2 0xf6fc 0xf61d 0xf52f 0xf473 0xf421 0xf411 0xf3ec 0xf452 0xf4e4 0xf589 0x020f 0xfa0b 0xf8d8 0xf965 
0xf8b6 0xf7d3 0xf6e1 0xf5f5 0xf4f9 0xf455 0xf420 0xf3ce 0xf3bf 0xf420 0xf4b6 0xf532 0xf60a 0xf704 0xf869 0xf97a 
0xf8ab 0xf791 0xf6bd 0xf5cf 0xf4e0 0xf424 0xf3f1 0xf3de 0xf393 0xf3e1 0xf471 0xf523 0xf600 0xf6d7 0xf82f 0xf907 
0xf8ca 0xf7ce 0xf708 0xf601 0xf528 0xf491 0xf486 0xf41a 0xf3f4 0xf453 0xf4e3 0xf575 0xf626 0xf720 0xf831 0xf946 
0xf8db 0xf7e2 0xf731 0xf65a 0xf58e 0xf4d0 0xf46c 0xf46c 0xf48b 0xf490 0xf51a 0xf5ef 0xf684 0xf744 0xf891 0xf963 
0xf927 0xf854 0xf79c 0xf6d5 0xf60e 0xf58a 0xf574 0xf504 0xf550 0xf54e 0xf5ca 0xf686 0xf718 0xf7e8 0xf8eb 0xf9cd 
0xf969 0xf88e 0xf807 0xf76d 0xf6c9 0xf624 0xf624 0xf5c3 0xf5f9 0xf5f7 0xf660 0xf6e1 0xf7b0 0xf85b 0xf94e 0xfa1e 
0xfabd 0xf902 0xf871 0xf7ac 0xf732 0xf6cb 0xf6c2 0xf6a7 0xf6a3 0xf6d1 0xf74e 0xf7b8 0xf859 0xf8fe 0xf9cf 0xfa86 
0x48c1 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd6c 0xf4b9 0x1b91 0xd7ce 0xffe4 0xffe9 0xfffd 0xfffc 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x06ea 0x1bab 0x1bab 0x1bab 0x1bab 0x1baa 0x1baa 0x1baa 0xfd69 0xccce 0xcf2f 0xd712 0xffe4 0xffe4 0xffff 0xfffe 
