1728237119
0xfb4c 0xfac2 0xfa6f 0xf9fe 0xf97d 0xf92e 0xf90e 0xf8e3 0xf8e1 0xf8fb 0xf94c 0xf9bf 0xfa04 0xfa73 0xfbdc 0xfced 
0xfb20 0xfaa2 0xfa23 0xf9a5 0xf927 0xf8bd 0xf88a 0xf885 0xf863 0xf88d 0xf8d8 0xf93e 0xf9c1 0xfac6 0xfc59 0xfce2 
0xfabd 0xfa34 0xf9a3 0xf911 0xf8a4 0xf81f 0xf80d 0xf7ee 0xf7d7 0xf7ee 0xf85d 0xf8e2 0xf94b 0xfb5a 0xfc51 0xfcd0 
0xfaa8 0xf9fc 0xf966 0xf8e7 0xf830 0xf7e8 0xf7a9 0xf789 0xf797 0xf7b1 0xf84a 0xf8aa 0xf9f6 0xfc05 0xfc98 0xfd17 
0xfa7b 0xf9c1 0xf91e 0xf89e 0xf7fa 0xf77c 0xf73b 0xf727 0xf73d 0xf75b 0xf7d9 0xf84c 0xfae3 0xfc14 0xfc61 0xfcf4 
0xfa78 0xf9c7 0xf926 0xf890 0xf7cb 0xf75f 0xf739 0xf6f9 0xf71f 0xf759 0xf7bf 0xf8e6 0xfbc7 0xfc12 0xfc8b 0xfd39 
0xfa4a 0xf99c 0xf908 0xf85d 0xf7dd 0xf747 0xf707 0xf732 0xf6f6 0xf744 0xf7e6 0xfa38 0xfbdf 0xfbf2 0xfcdc 0xfd71 
0xfa71 0xf9cd 0xf951 0xf8c9 0xf804 0xf7ac 0xf77e 0xf742 0xf74a 0xf792 0xf876 0xfb5d 0xfbc2 0xfc32 0xfd27 0xfd8f 
0xfa6e 0xf9e1 0xf948 0xf8e4 0xf849 0xf854 0xf7a3 0xf794 0xf78d 0xf7d3 0xf999 0xfb79 0xfbd3 0xfc8a 0xfd22 0xfd9d 
0xfab4 0xfa3e 0xf9b4 0xf936 0xf8e7 0xf873 0xf830 0xf823 0xf81e 0xf86d 0xfaa1 0xfba7 0xfc64 0xfcdd 0xfd5a 0xfdc4 
0xfaee 0xfa53 0xf9ee 0xf994 0xf925 0xf8d7 0xf8ad 0xf8a4 0xf885 0xf969 0xfb9d 0xfc52 0xfcb5 0xfd2a 0xfd88 0xfde9 
0xfbc6 0xfa92 0xfa48 0xf9ce 0xf9a3 0xf93d 0xf939 0xf90b 0xf91a 0xfa7f 0xfc48 0xfca9 0xfd0e 0xfd64 0xfdbd 0xfe03 
0x5181 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd70 0xf57a 0x1df5 0xd787 0xfff4 0xfff1 0xffff 0xffff 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x063b 0x18ee 0x18ee 0x18ee 0x18ee 0x18ed 0x18ed 0x18ed 0xfd6e 0xcbd1 0xce4e 0xd70c 0xfff4 0xfff0 0x0002 0x0004 
