1728237149
0xfb6e 0xfaa4 0xfa31 0xf9d3 0xf95c 0xf8f0 0xf8ca 0xf8ad 0xf8bb 0xfac9 0xfb87 0xfc44 0xfc8e 0xfcbb 0xfd14 0xfdb4 
0xfb06 0xfa7e 0xf9ef 0xf95f 0xf8f0 0xf871 0xf84d 0xf7f4 0xf81a 0xfa43 0xfb53 0xfc10 0xfc79 0xfcb3 0xfcfb 0xfd5d 
0xfaab 0xf9f1 0xf940 0xf8d3 0xf81f 0xf7b5 0xf78e 0xf759 0xf74c 0xf941 0xfad4 0xfbb0 0xfc2e 0xfc74 0xfccc 0xfd12 
0xfa6b 0xf9c0 0xf91d 0xf870 0xf7e2 0xf748 0xf721 0xf6de 0xf6df 0xf843 0xfa82 0xfb7d 0xfc03 0xfc81 0xfcce 0xfd1c 
0xfa22 0xf963 0xf8bd 0xf802 0xf758 0xf6d4 0xf691 0xf68c 0xf671 0xf725 0xfa00 0xfb23 0xfbce 0xfc37 0xfca2 0xfcfa 
0xfa21 0xf954 0xf8ad 0xf7f2 0xf741 0xf6d8 0xf685 0xf653 0xf666 0xf6a3 0xf9b7 0xfade 0xfba5 0xfc09 0xfca4 0xfcf9 
0xf9e9 0xf92e 0xf888 0xf7f5 0xf737 0xf6aa 0xf663 0xf629 0xf628 0xf671 0xf8d7 0xfaa8 0xfb63 0xfbfd 0xfc88 0xfce5 
0xfa0d 0xf951 0xf8c2 0xf825 0xf77a 0xf6ea 0xf6a6 0xf69a 0xf686 0xf6c0 0xf83d 0xfa58 0xfb65 0xfc1e 0xfcad 0xfcf6 
0xfa0d 0xf969 0xf8cb 0xf834 0xf77b 0xf6e6 0xf6d5 0xf6aa 0xf6a4 0xf710 0xf7c1 0xf9ec 0xfb2f 0xfc08 0xfc92 0xfcf6 
0xfa60 0xf9bc 0xf92a 0xf8a3 0xf818 0xf799 0xf767 0xf737 0xf732 0xf781 0xf807 0xf9b6 0xfb3b 0xfc35 0xfcbe 0xfd11 
0xfa6c 0xf9e4 0xf962 0xf8e7 0xf87c 0xf7fb 0xf7ef 0xf7c2 0xf7ba 0xf7d4 0xf85d 0xf95c 0xfb28 0xfc1b 0xfca3 0xfd22 
0xfab7 0xfa1c 0xf9d6 0xf93c 0xf8dc 0xf88a 0xf87e 0xf835 0xf867 0xf864 0xf8f5 0xf986 0xfb21 0xfc35 0xfcdf 0xfd6e 
0x4d08 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd8d 0xf55a 0x1c23 0xd753 0xfff0 0xfff3 0xfffa 0xfffd 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0657 0x195e 0x195e 0x195e 0x195e 0x195c 0x195c 0x195c 0xfd8b 0xcd00 0xced4 0xd7e7 0xfff1 0xfff1 0xfffe 0x0001 
