1728237149
0xfbbe 0xf997 0xf916 0xf857 0xf7b0 0xf737 0xf706 0xf6bf 0xf97e 0xfda4 0xf810 0xf7db 0xf854 0xf8da 0xf9b6 0xfa6b 
0xfa28 0xf923 0xf86b 0xf7b1 0xf6ff 0xf65c 0xf616 0xf5dc 0xf613 0xf942 0xf6bd 0xf71e 0xf7c6 0xf855 0xf935 0xf9f0 
0xf974 0xf87c 0xf7c9 0xf6fd 0xf63e 0xf592 0xf524 0xf519 0xf4fb 0xf53e 0xf5c7 0xf667 0xf6f9 0xf7c4 0xf8d7 0xf98b 
0xf939 0xf837 0xf764 0xf68d 0xf599 0xf4ed 0xf48d 0xf45b 0xf456 0xf4a6 0xf54c 0xf5dd 0xf680 0xf743 0xf86a 0xf94c 
0xf8da 0xf7b5 0xf6f4 0xf612 0xf51f 0xf465 0xf415 0xf402 0xf3df 0xf445 0xf4d5 0xf560 0xf5fb 0xf6f2 0xf81f 0xf90c 
0xf8a8 0xf7c7 0xf6d6 0xf5e9 0xf4e9 0xf446 0xf413 0xf3c0 0xf3af 0xf412 0xf4a9 0xf51e 0xf5ec 0xf6d8 0xf7fe 0xf928 
0xf89f 0xf784 0xf6ae 0xf5c3 0xf4ce 0xf414 0xf3e1 0xf3cc 0xf383 0xf3d2 0xf464 0xf516 0xf5f0 0xf6c7 0xf818 0xf8f4 
0xf8bc 0xf7c0 0xf6fb 0xf5f3 0xf519 0xf482 0xf477 0xf40f 0xf3e7 0xf447 0xf4d6 0xf568 0xf61a 0xf713 0xf823 0xf93c 
0xf8cf 0xf7d3 0xf723 0xf64d 0xf580 0xf4c0 0xf461 0xf461 0xf47f 0xf47d 0xf513 0xf5e4 0xf679 0xf739 0xf88a 0xf95a 
0xf91b 0xf849 0xf792 0xf6cb 0xf605 0xf57e 0xf56b 0xf4fa 0xf540 0xf542 0xf5c0 0xf67f 0xf70e 0xf7dd 0xf8e2 0xf9c7 
0xf95e 0xf883 0xf7ff 0xf765 0xf6bb 0xf619 0xf619 0xf5ba 0xf5e5 0xf5ee 0xf658 0xf6de 0xf7ab 0xf85d 0xf96a 0xfa54 
0xfa8d 0xf8de 0xf869 0xf7a3 0xf728 0xf6c4 0xf6bf 0xf6a5 0xf6b0 0xf702 0xf7b8 0xf869 0xf93d 0xf9ff 0xfac2 0xfb6e 
0x4897 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd77 0xf4b5 0x1b81 0xd7cd 0xffe1 0xffe8 0xfffd 0xfff9 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x06ee 0x1bbb 0x1bbb 0x1bbb 0x1bbb 0x1bb9 0x1bb9 0x1bb9 0xfd74 0xcccf 0xcf30 0xd712 0xffe2 0xffe6 0xffff 0xfffe 
