1728237179
0xfb77 0xfaac 0xfa38 0xf9d9 0xf964 0xf8f8 0xf8d1 0xf8b2 0xf8a5 0xf90c 0xfb3b 0xfbc7 0xfc51 0xfc7c 0xfcf2 0xfdb6 
0xfb12 0xfa87 0xf9fb 0xf964 0xf8f9 0xf877 0xf855 0xf7f8 0xf814 0xf883 0xfb27 0xfb96 0xfc46 0xfc95 0xfcef 0xfd62 
0xfab7 0xf9fc 0xf949 0xf8dc 0xf826 0xf7ba 0xf793 0xf75b 0xf74a 0xf7e1 0xfab3 0xfb56 0xfc18 0xfc68 0xfcc7 0xfd15 
0xfa71 0xf9c6 0xf923 0xf879 0xf7e7 0xf74e 0xf727 0xf6e7 0xf6e0 0xf77f 0xfa4e 0xfb64 0xfbff 0xfc7b 0xfcc7 0xfd1f 
0xfa2c 0xf96b 0xf8c8 0xf807 0xf75d 0xf6db 0xf697 0xf692 0xf675 0xf6f4 0xf9f5 0xfb34 0xfbd7 0xfc49 0xfc9f 0xfd02 
0xfa2c 0xf95c 0xf8b1 0xf7f8 0xf748 0xf6de 0xf68b 0xf659 0xf66c 0xf6ae 0xf9c6 0xfb1f 0xfbd2 0xfc50 0xfcae 0xfd08 
0xf9f4 0xf937 0xf893 0xf7fc 0xf73c 0xf6af 0xf66a 0xf631 0xf62e 0xf68f 0xf9b5 0xfb09 0xfbae 0xfc34 0xfc9a 0xfd01 
0xfa16 0xf95c 0xf8cd 0xf82a 0xf77f 0xf6f0 0xf6ad 0xf6a2 0xf68b 0xf6d6 0xf999 0xfb0b 0xfb99 0xfc4c 0xfccd 0xfd14 
0xfa18 0xf971 0xf8d3 0xf83a 0xf781 0xf6ed 0xf6dd 0xf6b0 0xf6aa 0xf721 0xf912 0xfaf4 0xfba8 0xfc41 0xfcb1 0xfd18 
0xfa6c 0xf9c8 0xf933 0xf8a9 0xf81e 0xf79e 0xf76f 0xf740 0xf73b 0xf78f 0xf92a 0xfb0e 0xfbef 0xfc70 0xfcee 0xfd33 
0xfa74 0xf9eb 0xf96a 0xf8ef 0xf886 0xf805 0xf7f6 0xf7c9 0xf7c5 0xf7e3 0xf91b 0xfb02 0xfbfc 0xfc69 0xfcdd 0xfd47 
0xfac1 0xfa22 0xf9de 0xf941 0xf8e2 0xf890 0xf887 0xf83d 0xf870 0xf874 0xf95d 0xfb37 0xfc25 0xfc9b 0xfd1c 0xfd98 
0x4ced 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfda5 0xf558 0x1c17 0xd753 0xffef 0xfff3 0xfffc 0xffff 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x065a 0x1968 0x1968 0x1968 0x1968 0x1967 0x1967 0x1967 0xfda2 0xccff 0xced4 0xd7e7 0xfff0 0xfff0 0xfffe 0x0003 
