1728237179
0xfbb7 0xf989 0xf909 0xf84d 0xf7a2 0xf726 0xf6f6 0xf6ad 0xf6d2 0xf81d 0xf748 0xf7ab 0xf83a 0xf8c6 0xf9ab 0xfa5e 
0xfa1d 0xf917 0xf85e 0xf7a4 0xf6ef 0xf64c 0xf606 0xf5ca 0xf5b2 0xf60d 0xf6a3 0xf70c 0xf7b6 0xf848 0xf928 0xf9e3 
0xf969 0xf86e 0xf7ba 0xf6ef 0xf62d 0xf584 0xf514 0xf508 0xf4e8 0xf527 0xf5b4 0xf657 0xf6eb 0xf7b4 0xf8ca 0xf97e 
0xf92b 0xf827 0xf755 0xf67c 0xf58b 0xf4da 0xf47b 0xf44f 0xf444 0xf493 0xf53a 0xf5cd 0xf673 0xf736 0xf85c 0xf940 
0xf8cf 0xf7a6 0xf6e0 0xf603 0xf50f 0xf453 0xf402 0xf3f2 0xf3cc 0xf433 0xf4c4 0xf552 0xf5eb 0xf6e4 0xf811 0xf8ff 
0xf89f 0xf7b8 0xf6c6 0xf5da 0xf4dd 0xf436 0xf400 0xf3ae 0xf39c 0xf400 0xf498 0xf50f 0xf5db 0xf6cb 0xf7ee 0xf91b 
0xf890 0xf775 0xf69f 0xf5b5 0xf4c2 0xf405 0xf3d0 0xf3be 0xf372 0xf3c1 0xf454 0xf508 0xf5e1 0xf6ba 0xf80a 0xf8e7 
0xf8b1 0xf7b2 0xf6ec 0xf5e3 0xf509 0xf472 0xf469 0xf3fc 0xf3d5 0xf434 0xf4c5 0xf55d 0xf610 0xf706 0xf815 0xf930 
0xf8c1 0xf7c6 0xf713 0xf63e 0xf570 0xf4b1 0xf453 0xf450 0xf46f 0xf46d 0xf509 0xf5da 0xf671 0xf72e 0xf87d 0xf951 
0xf910 0xf83b 0xf784 0xf6c1 0xf5f6 0xf572 0xf55d 0xf4f1 0xf533 0xf53d 0xf5bf 0xf686 0xf72a 0xf815 0xf932 0xfa2c 
0xf953 0xf879 0xf7f2 0xf75a 0xf6b6 0xf61a 0xf648 0xf635 0xf6be 0xf72a 0xf7da 0xf882 0xf966 0xfa04 0xfab7 0xfb64 
0xfa96 0xf925 0xf8cc 0xf840 0xf80c 0xf7ed 0xf89f 0xf8dd 0xf912 0xf957 0xf9c2 0xfa00 0xfa6d 0xfae2 0xfb6f 0xfbe8 
0x487e 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd71 0xf4b4 0x1b7a 0xd7cd 0xffe3 0xffe8 0xffff 0xfffb 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x06f1 0x1bc4 0x1bc4 0x1bc4 0x1bc4 0x1bc3 0x1bc3 0x1bc3 0xfd6f 0xccce 0xcf2e 0xd713 0xffe3 0xffe3 0xfffd 0xfffe 
