1728237209
0xfb8d 0xfac1 0xfa4c 0xf9ed 0xf976 0xf909 0xf8e2 0xf8bf 0xf8b0 0xf8ea 0xf939 0xf9ec 0xfbc6 0xfc2d 0xfcc4 0xfdaa 
0xfb27 0xfa9a 0xfa0d 0xf978 0xf90a 0xf889 0xf865 0xf808 0xf81e 0xf853 0xf8bf 0xf996 0xfbbb 0xfc19 0xfcb9 0xfd3e 
0xfaca 0xfa10 0xf95e 0xf8ea 0xf837 0xf7ce 0xf7a4 0xf76a 0xf753 0xf79b 0xf801 0xf95a 0xfb55 0xfbe4 0xfc80 0xfcd5 
0xfa89 0xf9dc 0xf938 0xf88a 0xf7fb 0xf75f 0xf735 0xf6f4 0xf6ec 0xf735 0xf79d 0xf9a5 0xfb19 0xfc1a 0xfc78 0xfceb 
0xfa41 0xf980 0xf8d9 0xf818 0xf76e 0xf6eb 0xf6a6 0xf69e 0xf681 0xf6b6 0xf73a 0xf97f 0xfb07 0xfc02 0xfc7f 0xfcf0 
0xfa42 0xf971 0xf8c6 0xf80b 0xf757 0xf6ec 0xf699 0xf668 0xf67b 0xf68d 0xf734 0xf988 0xfb41 0xfc14 0xfc94 0xfd02 
0xfa0a 0xf94b 0xf8a4 0xf80e 0xf74c 0xf6bd 0xf677 0xf63f 0xf63e 0xf67e 0xf73b 0xf9ab 0xfb3b 0xfc00 0xfc81 0xfcfd 
0xfa2c 0xf96f 0xf8e0 0xf83c 0xf78f 0xf6fd 0xf6ba 0xf6ae 0xf69d 0xf6d7 0xf799 0xfa18 0xfb6a 0xfc2c 0xfcb9 0xfd19 
0xfa2c 0xf989 0xf8e7 0xf849 0xf795 0xf6fd 0xf6eb 0xf6bf 0xf6b9 0xf725 0xf7a4 0xfa3a 0xfb83 0xfc2b 0xfcb4 0xfd1d 
0xfa80 0xf9da 0xf945 0xf8b9 0xf82f 0xf7b0 0xf780 0xf752 0xf74e 0xf79b 0xf845 0xfa96 0xfbaf 0xfc6b 0xfcf6 0xfd39 
0xfa8a 0xfa00 0xf97c 0xf900 0xf894 0xf815 0xf807 0xf7dc 0xf7d7 0xf7f1 0xf8b5 0xfac3 0xfbec 0xfc6d 0xfce6 0xfd52 
0xfad6 0xfa36 0xf9ee 0xf954 0xf8f4 0xf8a0 0xf898 0xf84f 0xf884 0xf888 0xf956 0xfb49 0xfc2c 0xfcab 0xfd26 0xfda9 
0x4cd7 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfdc9 0xf558 0x1c11 0xd752 0xfff0 0xfff1 0xfffd 0xfffc 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x065b 0x196f 0x196f 0x196f 0x196f 0x196e 0x196e 0x196e 0xfdc4 0xcd00 0xced4 0xd7e6 0xfff1 0xffee 0x0001 0x0002 
