1728237299
0xfba1 0xfad3 0xfa61 0xf9fe 0xf982 0xf913 0xf8ee 0xf8c8 0xf8b9 0xf8f4 0xf944 0xf9bd 0xfa12 0xfa70 0xfb41 0xfd18 
0xfb39 0xfaab 0xfa1f 0xf987 0xf914 0xf891 0xf86e 0xf810 0xf821 0xf859 0xf8c5 0xf92b 0xf9a5 0xfa1d 0xfab7 0xfbdd 
0xfadb 0xfa20 0xf96e 0xf8f7 0xf83e 0xf7d1 0xf7ab 0xf76f 0xf754 0xf79d 0xf801 0xf87d 0xf90f 0xf998 0xfa4a 0xfaf0 
0xfa9d 0xf9ec 0xf947 0xf895 0xf7fe 0xf761 0xf73c 0xf6f8 0xf6e9 0xf733 0xf79a 0xf82e 0xf8a6 0xf980 0xfa1f 0xfade 
0xfa51 0xf98c 0xf8e8 0xf823 0xf770 0xf6ef 0xf6a7 0xf6a0 0xf67c 0xf6b5 0xf730 0xf7b9 0xf856 0xf91a 0xf9d3 0xfa94 
0xfa52 0xf980 0xf8d5 0xf812 0xf759 0xf6ec 0xf69a 0xf667 0xf675 0xf688 0xf727 0xf79a 0xf83b 0xf901 0xf9c0 0xfa8d 
0xfa1b 0xf95a 0xf8b4 0xf815 0xf74e 0xf6ba 0xf676 0xf63c 0xf639 0xf67b 0xf723 0xf794 0xf81c 0xf8e6 0xf9b1 0xfa7d 
0xfa3e 0xf97e 0xf8ed 0xf848 0xf792 0xf6fe 0xf6bf 0xf6b1 0xf698 0xf6ce 0xf773 0xf7d5 0xf84c 0xf91e 0xfa04 0xfab5 
0xfa40 0xf998 0xf8f7 0xf855 0xf79a 0xf702 0xf6f0 0xf6c0 0xf6b9 0xf722 0xf776 0xf803 0xf88f 0xf93a 0xfa10 0xfacd 
0xfa94 0xf9eb 0xf959 0xf8cb 0xf83b 0xf7b7 0xf788 0xf755 0xf74e 0xf799 0xf80e 0xf888 0xf90b 0xf9b7 0xfa90 0xfb1e 
0xfa9e 0xfa13 0xf992 0xf911 0xf8a2 0xf81e 0xf814 0xf7e0 0xf7d9 0xf7f4 0xf879 0xf8d1 0xf973 0xf9fe 0xfab3 0xfb83 
0xfaeb 0xfa4b 0xfa04 0xf96a 0xf902 0xf8b0 0xf8a7 0xf85f 0xf88d 0xf88d 0xf919 0xf972 0xf9fc 0xfa82 0xfb43 0xfc96 
0x4c73 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfdd4 0xf551 0x1be9 0xd751 0xffee 0xfff1 0x0000 0xfffd 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0665 0x1996 0x1996 0x1996 0x1996 0x1994 0x1994 0x1994 0xfdd3 0xcd04 0xced6 0xd7e7 0xffee 0xffed 0x0001 0x0002 
