1728237359
0xfc4b 0xfa48 0xf912 0xf851 0xf7a5 0xf726 0xf6f4 0xf6aa 0xf6ce 0xf6d3 0xf74e 0xf7b2 0xf844 0xf8da 0xf9cc 0xfa82 
0xfb83 0xfa23 0xf86a 0xf7a8 0xf6f0 0xf64a 0xf604 0xf5cb 0xf5ac 0xf60b 0xf6ad 0xf71b 0xf7d9 0xf87e 0xf954 0xfa04 
0xfb02 0xf9cb 0xf7cc 0xf6f6 0xf62e 0xf584 0xf516 0xf508 0xf4e6 0xf529 0xf5c9 0xf67d 0xf770 0xf803 0xf8fc 0xf9a7 
0xfaa5 0xf9b1 0xf779 0xf685 0xf58e 0xf4de 0xf47d 0xf450 0xf442 0xf498 0xf557 0xf6f1 0xf740 0xf7aa 0xf89b 0xf969 
0xfa56 0xf908 0xf72f 0xf60d 0xf515 0xf456 0xf401 0xf3f1 0xf3c9 0xf43a 0xf553 0x0983 0xf757 0xf774 0xf85c 0xf92f 
0xfa4c 0xf943 0xf750 0xf5e5 0xf4e3 0xf43b 0xf402 0xf3ae 0xf39c 0xf3fe 0xf4a7 0xf571 0xf6c4 0xf75b 0xf83d 0xf94b 
0xfa7f 0xf937 0xf7c4 0xf5c1 0xf4c9 0xf40a 0xf3d3 0xf3bd 0xf370 0xf3bd 0xf455 0xf513 0xf5fd 0xf6d2 0xf828 0xf902 
0xfac5 0xf9dc 0xf896 0xf5ff 0xf522 0xf480 0xf46b 0xf3fd 0xf3d4 0xf432 0xf4c5 0xf55e 0xf616 0xf710 0xf823 0xf941 
0xfad5 0xf9fe 0xf916 0xf687 0xf585 0xf4b3 0xf454 0xf450 0xf46b 0xf464 0xf508 0xf5d9 0xf670 0xf734 0xf886 0xf95c 
0xfb14 0xfa68 0xf99f 0xf756 0xf5fc 0xf572 0xf55f 0xf4ed 0xf52f 0xf52f 0xf5b6 0xf672 0xf703 0xf7d7 0xf8df 0xf9c9 
0xfb21 0xfa87 0xf9f2 0xf861 0xf6b5 0xf60b 0xf60d 0xf5ad 0xf5d5 0xf5de 0xf64b 0xf6ce 0xf79a 0xf84d 0xf945 0xfa1a 
0xfbb5 0xfaaf 0xfa42 0xf903 0xf727 0xf6b5 0xf6ac 0xf68f 0xf68b 0xf6ba 0xf740 0xf7a8 0xf847 0xf8f2 0xf9c9 0xfa86 
0x4840 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd88 0xf4b2 0x1b62 0xd7cc 0xffe1 0xffe6 0xfffe 0xfffe 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x06f6 0x1bdb 0x1bdb 0x1bdb 0x1bdb 0x1bda 0x1bda 0x1bda 0xfd85 0xccd1 0xcf30 0xd714 0xffe2 0xffe2 0x0000 0xfffe 
