1728237419
0xfc30 0xfa8c 0xf90d 0xf82f 0xf782 0xf700 0xf6c9 0xf681 0xf6a9 0xf6aa 0xf722 0xf78c 0xf829 0xf8e5 0xf9bd 0xfa6e 
0xfb15 0xfa86 0xf90b 0xf786 0xf6c9 0xf623 0xf5d6 0xf59a 0xf583 0xf5e2 0xf67f 0xf6e9 0xf7c0 0xf8b5 0xf952 0xf9f5 
0xfaa5 0xfa4f 0xf961 0xf6ec 0xf605 0xf559 0xf4e6 0xf4d8 0xf4b7 0xf4fc 0xf589 0xf639 0xf769 0xf875 0xf916 0xf99f 
0xfa7d 0xf9ed 0xf999 0xf74f 0xf564 0xf4ae 0xf44a 0xf41c 0xf410 0xf464 0xf510 0xf5c4 0x075f 0xf92c 0xf8d2 0xf96f 
0xfa36 0xf984 0xf914 0xf7eb 0xf500 0xf42c 0xf3d1 0xf3be 0xf398 0xf402 0xf495 0xf52d 0xf5f1 0xf728 0xf884 0xf933 
0xfa20 0xf9cd 0xf8e7 0xf7d9 0xf549 0xf410 0xf3d1 0xf378 0xf369 0xf3cd 0xf466 0xf4e1 0xf5b8 0xf6aa 0xf7e3 0xf910 
0xf9ee 0xf991 0xf930 0xf804 0xf5f7 0xf3e7 0xf3a2 0xf38b 0xf33b 0xf38d 0xf41d 0xf4d7 0xf5b6 0xf696 0xf7f2 0xf8d0 
0xf9ed 0xf968 0xf989 0xf8a2 0xf724 0xf4bf 0xf43f 0xf3c9 0xf3a5 0xf402 0xf493 0xf529 0xf5e0 0xf6e1 0xf7f3 0xf916 
0xf9cf 0xf957 0xf964 0xf924 0xf831 0xf5f4 0xf429 0xf422 0xf440 0xf439 0xf4d8 0xf5a7 0xf640 0xf709 0xf85b 0xf933 
0xfa00 0xf9b4 0xf960 0xf980 0xf8cb 0xf79c 0xf556 0xf4be 0xf503 0xf503 0xf587 0xf643 0xf6da 0xf7af 0xf8b5 0xf9a0 
0xfa65 0xf9f3 0xf9c1 0xf9c5 0xf951 0xf885 0xf695 0xf584 0xf5ab 0xf5b4 0xf61d 0xf6a2 0xf775 0xf825 0xf920 0xf9f5 
0xfb36 0xf9ef 0xfa28 0xf9d0 0xf989 0xf920 0xf802 0xf66f 0xf663 0xf694 0xf713 0xf77e 0xf824 0xf8ce 0xf9a1 0xfa60 
0x47f9 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd6f 0xf4b0 0x1b47 0xd7cb 0xffe2 0xffe7 0xfffa 0xfffb 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x06fe 0x1bf8 0x1bf8 0x1bf8 0x1bf8 0x1bf7 0x1bf7 0x1bf7 0xfd69 0xccd3 0xcf30 0xd710 0xffe3 0xffe5 0xfffc 0xffff 
