1728237449
0xfb88 0xfab6 0xfa3f 0xf9de 0xf95d 0xf8ee 0xf8c8 0xf8a1 0xf891 0xf8cb 0xf91b 0xf99b 0xf9ef 0xfa52 0xfb26 0xfd08 
0xfb1d 0xfa8b 0xf9fc 0xf964 0xf8ec 0xf868 0xf846 0xf7e5 0xf7f7 0xf82f 0xf89c 0xf908 0xf982 0xf9fa 0xfa9b 0xfbc3 
0xfabf 0xf9fc 0xf94b 0xf8d2 0xf810 0xf7a4 0xf77c 0xf740 0xf725 0xf76f 0xf7d6 0xf852 0xf8e8 0xf96f 0xfa29 0xfad3 
0xfa7b 0xf9c8 0xf922 0xf86c 0xf7d3 0xf731 0xf70b 0xf6c8 0xf6b9 0xf703 0xf76d 0xf802 0xf87c 0xf95a 0xf9fd 0xfabd 
0xfa32 0xf968 0xf8bf 0xf7f8 0xf743 0xf6bb 0xf676 0xf66c 0xf649 0xf682 0xf702 0xf789 0xf82a 0xf8f2 0xf9b3 0xfa77 
0xfa32 0xf95a 0xf8b0 0xf7e8 0xf729 0xf6ba 0xf669 0xf633 0xf641 0xf654 0xf6f5 0xf76d 0xf80f 0xf8db 0xf99d 0xfa6e 
0xf9f9 0xf937 0xf88b 0xf7eb 0xf71c 0xf689 0xf644 0xf607 0xf603 0xf646 0xf6f4 0xf766 0xf7ee 0xf8be 0xf98d 0xfa5c 
0xfa1d 0xf958 0xf8c6 0xf81c 0xf762 0xf6ce 0xf68c 0xf67e 0xf664 0xf69d 0xf746 0xf7a7 0xf81f 0xf8f5 0xf9e4 0xfa96 
0xfa1d 0xf973 0xf8d0 0xf82e 0xf76b 0xf6d0 0xf6bf 0xf690 0xf686 0xf6f2 0xf748 0xf7d5 0xf865 0xf913 0xf9ed 0xfaac 
0xfa76 0xf9cb 0xf938 0xf8a4 0xf80f 0xf789 0xf759 0xf726 0xf71d 0xf768 0xf7e2 0xf863 0xf8e3 0xf993 0xfa6d 0xfb02 
0xfa82 0xf9f4 0xf972 0xf8ed 0xf879 0xf7f6 0xf7e9 0xf7b8 0xf7ae 0xf7ca 0xf850 0xf8aa 0xf94b 0xf9d8 0xfa93 0xfb63 
0xfacf 0xfa2d 0xf9e4 0xf946 0xf8de 0xf889 0xf880 0xf835 0xf864 0xf864 0xf8f5 0xf94b 0xf9db 0xfa60 0xfb28 0xfc83 
0x4c0f 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfdc5 0xf54d 0x1bc3 0xd752 0xffed 0xffef 0xfffc 0xffff 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x066f 0x19bc 0x19bc 0x19bc 0x19bc 0x19bb 0x19bb 0x19bb 0xfdbd 0xcd09 0xced7 0xd7e8 0xffec 0xffea 0xfffd 0x0000 
