1728237449
0xfbd0 0xf986 0xf8ea 0xf81d 0xf76a 0xf6eb 0xf6b4 0xf66b 0xf68f 0xf693 0xf70d 0xf773 0xf80f 0xf973 0xf9e8 0xfa73 
0xfacf 0xf983 0xf85a 0xf776 0xf6b7 0xf60c 0xf5c1 0xf584 0xf56b 0xf5c8 0xf665 0xf6d1 0xf791 0xfc95 0xf9ae 0xfa1d 
0xfa3d 0xf9ad 0xf8d3 0xf6f9 0xf5f1 0xf542 0xf4cb 0xf4bf 0xf49e 0xf4e1 0xf56f 0xf615 0xf6d2 0xfbf5 0xf958 0xf9e5 
0xfa26 0xf949 0xf941 0xf835 0xf5aa 0xf498 0xf431 0xf400 0xf3f8 0xf449 0xf4f2 0xf586 0xf636 0xf702 0xf82c 0xf915 
0xf9ec 0xf8ee 0xf8b0 0xf89e 0xf750 0xf470 0xf3b7 0xf3a3 0xf37f 0xf3e7 0xf478 0xf509 0xf5a7 0xf6a3 0xf7db 0xf8cf 
0xf9d8 0xf90d 0xf867 0xf802 0xf7b3 0xf683 0xf3ef 0xf35f 0xf350 0xf3b2 0xf44a 0xf4c3 0xf597 0xf689 0xf7b7 0xf8ec 
0xf9a7 0xf8b8 0xf822 0xf7af 0xf741 0xf699 0xf53a 0xf389 0xf321 0xf36f 0xf404 0xf4bc 0xf59d 0xf676 0xf7d5 0xf8b5 
0xf9a6 0xf8cc 0xf83c 0xf78e 0xf784 0xf792 0xf710 0xf50b 0xf394 0xf3e5 0xf47a 0xf510 0xf5c7 0xf6c9 0xf7dc 0xf903 
0xf9a2 0xf8ca 0xf844 0xf7a3 0xf729 0xf729 0xf7a1 0xf733 0xf51d 0xf426 0xf4bf 0xf590 0xf629 0xf6ee 0xf846 0xf91d 
0xf9d8 0xf91e 0xf878 0xf7cf 0xf73e 0xf74a 0xf7ec 0xf821 0xf784 0xf53f 0xf573 0xf630 0xf6c1 0xf797 0xf8a3 0xf98e 
0xfa02 0xf931 0xf8b1 0xf825 0xf7a5 0xf78a 0xf813 0xf883 0xf873 0xf747 0xf622 0xf68e 0xf75f 0xf80e 0xf90b 0xf9e3 
0xfaf2 0xf96f 0xf8fd 0xf859 0xf824 0xf806 0xf891 0xf8f1 0xf90f 0xf8e6 0xf78d 0xf77e 0xf814 0xf8b9 0xf98e 0xfa4f 
0x47cb 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd5c 0xf4ad 0x1b37 0xd7cc 0xffe2 0xffe7 0xfffc 0xfffc 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0701 0x1c07 0x1c07 0x1c07 0x1c07 0x1c06 0x1c06 0x1c06 0xfd5a 0xccd7 0xcf30 0xd712 0xffe5 0xffe5 0x0001 0xffff 
