1728237509
0xfb5e 0xfa88 0xfa13 0xf9ac 0xf92d 0xf8bc 0xf893 0xf86b 0xf85b 0xf898 0xf8e9 0xf96a 0xf9c2 0xfa24 0xfafa 0xfce7 
0xfaef 0xfa5f 0xf9cc 0xf931 0xf8b7 0xf834 0xf810 0xf7ab 0xf7c1 0xf7f7 0xf867 0xf8d6 0xf952 0xf9cb 0xfa6c 0xfbf8 
0xfa90 0xf9cf 0xf917 0xf89b 0xf7dc 0xf76e 0xf743 0xf707 0xf6ec 0xf737 0xf79f 0xf81c 0xf8b8 0xf940 0xf9ff 0xfb74 
0xfa4b 0xf995 0xf8ed 0xf836 0xf79b 0xf6fb 0xf6d2 0xf68c 0xf680 0xf6c8 0xf732 0xf7cd 0xf84b 0xf92c 0xf9de 0xfb86 
0xfa00 0xf936 0xf887 0xf7bf 0xf708 0xf680 0xf639 0xf630 0xf60f 0xf646 0xf6c7 0xf754 0xf7f7 0xf8c3 0xf9c7 0xfb7f 
0xfa02 0xf926 0xf877 0xf7b0 0xf6ee 0xf67e 0xf629 0xf5f7 0xf604 0xf619 0xf6bb 0xf736 0xf7db 0xf8ab 0xfa18 0xfba0 
0xf9c8 0xf900 0xf853 0xf7b1 0xf6e3 0xf64e 0xf606 0xf5c8 0xf5c8 0xf60a 0xf6bb 0xf72e 0xf7bc 0xf89a 0xfa5c 0xfb97 
0xf9ed 0xf925 0xf88e 0xf7e5 0xf72b 0xf691 0xf64f 0xf644 0xf627 0xf663 0xf70d 0xf770 0xf7ee 0xf910 0xfae3 0xfba4 
0xf9ed 0xf940 0xf898 0xf7f4 0xf730 0xf694 0xf684 0xf652 0xf64c 0xf6b9 0xf710 0xf79e 0xf835 0xf9ae 0xfac6 0xfb83 
0xfa44 0xf997 0xf8ff 0xf86c 0xf7d7 0xf74f 0xf71d 0xf6ef 0xf6e4 0xf732 0xf7ad 0xf82d 0xf8cb 0xfa7d 0xfb24 0xfbb4 
0xfa52 0xf9c0 0xf93a 0xf8b9 0xf843 0xf7bc 0xf7af 0xf77f 0xf778 0xf793 0xf818 0xf876 0xf99e 0xfacc 0xfb38 0xfbfb 
0xfaa0 0xf9fc 0xf9b1 0xf911 0xf8a9 0xf855 0xf84b 0xf800 0xf832 0xf830 0xf8bf 0xf91e 0xfa95 0xfb22 0xfbab 0xfcc8 
0x4be2 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfda4 0xf54b 0x1bb2 0xd750 0xffeb 0xffef 0xfffc 0xffff 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0673 0x19cf 0x19cf 0x19cf 0x19cf 0x19cd 0x19cd 0x19cd 0xfda1 0xcd0b 0xced7 0xd7e8 0xffec 0xffec 0xfffe 0x0002 
