1728237509
0xfb94 0xf952 0xf8cc 0xf805 0xf752 0xf6d5 0xf6a0 0xf650 0xf676 0xf68c 0xf961 0xf761 0xf7f4 0xf885 0xf973 0xfa33 
0xf9e9 0xf8d8 0xf817 0xf756 0xf698 0xf5ee 0xf5a3 0xf568 0xf54c 0xf5ae 0xf651 0xf6b5 0xf76a 0xf801 0xf8eb 0xf9ad 
0xf931 0xf82a 0xf76e 0xf698 0xf5cf 0xf521 0xf4ad 0xf49f 0xf47b 0xf4c2 0xf553 0xf5fd 0xf697 0xf76a 0xf886 0xf944 
0xf8f7 0xf7e5 0xf708 0xf627 0xf52a 0xf474 0xf40e 0xf3e0 0xf3d5 0xf428 0xf4d4 0xf56a 0xf618 0xf6e2 0xf814 0xf8ff 
0xf8a9 0xf772 0xf6a0 0xf5ae 0xf4af 0xf3e9 0xf397 0xf384 0xf35e 0xf3cb 0xf45b 0xf4ee 0xf58a 0xf68d 0xf7c8 0xf8bd 
0xf8dc 0xf817 0xf722 0xf60e 0xf4c3 0xf3e4 0xf39a 0xf341 0xf32d 0xf393 0xf430 0xf4a9 0xf57b 0xf674 0xf7a3 0xf8da 
0xf94a 0xf874 0xf7cf 0xf74e 0xf6ec 0xf63a 0xf550 0xf411 0xf328 0xf359 0xf3ec 0xf4a3 0xf582 0xf662 0xf7c2 0xf8a5 
0xf9a0 0xf8d4 0xf84a 0xf758 0xf69d 0xf642 0xf677 0xf66b 0xf620 0xf5a4 0xf504 0xf512 0xf5ba 0xf6b6 0xf7cd 0xf8f4 
0xfa20 0xf949 0xf8a5 0xf7b9 0xf6f9 0xf627 0xf5c0 0xf5db 0xf612 0xf690 0xf774 0xf778 0xf6c0 0xf703 0xf84a 0xf91c 
0xfa79 0xf9c1 0xf91c 0xf836 0xf751 0xf6b8 0xf698 0xf615 0xf61e 0xf65a 0xf73f 0xf873 0xf8f3 0xf89d 0xf8dd 0xf9a3 
0xfaa6 0xf9f6 0xf968 0xf8b4 0xf7e5 0xf738 0xf736 0xf6be 0xf6a0 0xf6b6 0xf746 0xf7dc 0xf937 0xf9aa 0xfa04 0xfa2b 
0xfb61 0xfa30 0xf9b3 0xf8d8 0xf848 0xf7d1 0xf7c1 0xf796 0xf75e 0xf770 0xf804 0xf87a 0xf93d 0xfa08 0xfaa8 0xfb31 
0x477d 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd61 0xf4aa 0x1b1a 0xd7cb 0xffe4 0xffe6 0xfffd 0xfffb 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0709 0x1c24 0x1c24 0x1c24 0x1c24 0x1c23 0x1c23 0x1c23 0xfd5d 0xccd9 0xcf31 0xd711 0xffe1 0xffe3 0xffff 0xfffe 
