1728237539
0xfb45 0xfa71 0xf9fa 0xf999 0xf917 0xf8a6 0xf87e 0xf85a 0xf849 0xf883 0xf8d4 0xf955 0xf9ad 0xfa0e 0xfb22 0xfcff 
0xfad9 0xfa49 0xf9b7 0xf91d 0xf8a5 0xf81f 0xf7fc 0xf79a 0xf7b0 0xf7e5 0xf856 0xf8c2 0xf93e 0xf9b7 0xfae6 0xfc55 
0xfa7b 0xf9ba 0xf901 0xf888 0xf7c8 0xf75a 0xf730 0xf6f5 0xf6d9 0xf725 0xf78b 0xf80a 0xf8a4 0xf92f 0xfad3 0xfbee 
0xfa36 0xf983 0xf8d7 0xf822 0xf788 0xf6e7 0xf6c0 0xf67b 0xf66c 0xf6b6 0xf722 0xf7bc 0xf838 0xf926 0xfb07 0xfc07 
0xf9ed 0xf921 0xf877 0xf7ac 0xf6f7 0xf66f 0xf629 0xf61f 0xf5fd 0xf636 0xf6b6 0xf743 0xf7e7 0xf8ea 0xfaf6 0xfbe7 
0xf9ed 0xf913 0xf862 0xf79b 0xf6dc 0xf66e 0xf618 0xf5e5 0xf5f4 0xf60a 0xf6aa 0xf725 0xf7cb 0xf918 0xfae7 0xfbe0 
0xf9b2 0xf8ee 0xf840 0xf79f 0xf6d2 0xf63c 0xf5f6 0xf5b9 0xf5b4 0xf5fa 0xf6ab 0xf71d 0xf7ac 0xf982 0xfaff 0xfbd7 
0xf9d8 0xf911 0xf87a 0xf7d1 0xf716 0xf681 0xf640 0xf632 0xf618 0xf653 0xf6fd 0xf762 0xf7f8 0xfa0c 0xfb63 0xfc02 
0xf9d9 0xf92d 0xf886 0xf7e1 0xf71e 0xf682 0xf672 0xf642 0xf638 0xf6aa 0xf700 0xf78f 0xf879 0xfa5f 0xfb73 0xfbef 
0xfa2d 0xf981 0xf8ec 0xf859 0xf7c2 0xf73e 0xf70e 0xf6d8 0xf6d2 0xf720 0xf799 0xf81c 0xf96b 0xfad2 0xfbad 0xfc0b 
0xfa3c 0xf9a9 0xf924 0xf8a4 0xf830 0xf7aa 0xf79e 0xf76a 0xf766 0xf77e 0xf808 0xf872 0xfa1f 0xfad1 0xfb7e 0xfc36 
0xfa8b 0xf9e3 0xf99e 0xf8fb 0xf895 0xf83e 0xf836 0xf7e9 0xf81a 0xf81b 0xf8ac 0xf95d 0xfa8a 0xfb16 0xfbd7 0xfcdc 
0x4bf5 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd7f 0xf54b 0x1bb7 0xd74f 0xffeb 0xffec 0xfffc 0xfffd 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0671 0x19c7 0x19c7 0x19c7 0x19c7 0x19c6 0x19c6 0x19c6 0xfd79 0xcd07 0xced7 0xd7e8 0xffeb 0xffea 0xffff 0x0002 
