1728237569
0xfb84 0xfb03 0xfab0 0xfa48 0xf9cb 0xf983 0xf964 0xf947 0xfa08 0xfaf8 0xfc0d 0xfcc8 0xfcfd 0xfd1f 0xfd74 0xfdbf 
0xfb5e 0xfae4 0xfa6a 0xf9f3 0xf97b 0xf916 0xf8e7 0xf8ea 0xf980 0xfac5 0xfbef 0xfca0 0xfd00 0xfd40 0xfd7b 0xfdaa 
0xfafe 0xfa7c 0xf9ed 0xf964 0xf8ff 0xf87e 0xf870 0xf85a 0xf8c3 0xfa7e 0xfba4 0xfc86 0xfcc1 0xfcf0 0xfd58 0xfda7 
0xfaeb 0xfa44 0xf9b6 0xf939 0xf88f 0xf849 0xf80f 0xf7f1 0xf839 0xfaf1 0xfbc3 0xfc5a 0xfcc0 0xfd0c 0xfd8a 0xfdd1 
0xfac0 0xfa0e 0xf971 0xf8f7 0xf859 0xf7e4 0xf7a5 0xf799 0xf7b8 0xfa6e 0xfbaa 0xfc2c 0xfc8a 0xfce8 0xfd51 0xfd8c 
0xfabd 0xfa13 0xf978 0xf8ea 0xf830 0xf7ce 0xf7a6 0xf769 0xf793 0xf9ac 0xfbb7 0xfc1d 0xfc98 0xfcfe 0xfd4a 0xfd8b 
0xfa92 0xf9eb 0xf95b 0xf8b7 0xf840 0xf7b1 0xf776 0xf79e 0xf768 0xf8bb 0xfb99 0xfc03 0xfc6b 0xfcd3 0xfd3d 0xfd95 
0xfab8 0xfa1a 0xf9a3 0xf922 0xf867 0xf815 0xf7e7 0xf7ab 0xf7b4 0xf85c 0xfb4e 0xfbf5 0xfc6e 0xfcd9 0xfd49 0xfd8f 
0xfab1 0xfa30 0xf999 0xf93d 0xf8a8 0xf8b3 0xf808 0xf7f6 0xf7f5 0xf84b 0xfaf1 0xfbe8 0xfc52 0xfcc1 0xfd21 0xfd92 
0xfafb 0xfa87 0xf9ff 0xf988 0xf93d 0xf8d0 0xf88e 0xf880 0xf87b 0xf8b3 0xfa7d 0xfc12 0xfc78 0xfcd3 0xfd46 0xfda4 
0xfb30 0xfa9d 0xfa37 0xf9e1 0xf97d 0xf92f 0xf900 0xf8f6 0xf8d9 0xf921 0xfa02 0xfc00 0xfc79 0xfce6 0xfd44 0xfdd3 
0xfc01 0xfadb 0xfa90 0xfa1a 0xf9f5 0xf98f 0xf98a 0xf95a 0xf964 0xf9a6 0xfa49 0xfba8 0xfc9b 0xfcfa 0xfd7b 0xfe0e 
0x525a 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfdb1 0xf582 0x1e50 0xd787 0xfff5 0xfff6 0x0001 0x0000 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0627 0x189f 0x189f 0x189f 0x189f 0x189d 0x189d 0x189d 0xfdad 0xcbc8 0xce4d 0xd709 0xfff9 0xfff4 0x0003 0x0004 
