1728237629
0xfbc0 0xfb31 0xfac7 0xfa92 0xfa17 0xf9d1 0xf999 0xf995 0xf989 0xf99c 0xf9e3 0xfa23 0xfa7a 0xfac9 0xfb60 0xfc65 
0xfb84 0xfb12 0xfa9a 0xfa2e 0xf9a6 0xf957 0xf937 0xf916 0xf900 0xf920 0xf977 0xf9c9 0xfa21 0xfaa3 0xfb32 0xfbab 
0xfb17 0xfa95 0xfa35 0xf9d0 0xf92b 0xf8cb 0xf89a 0xf884 0xf880 0xf8b7 0xf907 0xf965 0xf9ba 0xfa46 0xfae7 0xfb71 
0xfb19 0xfa89 0xfa04 0xf996 0xf8e1 0xf872 0xf85b 0xf841 0xf83e 0xf85d 0xf8bf 0xf93e 0xf99d 0xfa31 0xfad3 0xfb8b 
0xfae0 0xfa3c 0xf9c9 0xf942 0xf89f 0xf844 0xf804 0xf7f4 0xf7da 0xf81d 0xf878 0xf8e5 0xf970 0xf9d7 0xfae8 0xfc86 
0xfacc 0xfa3d 0xf9b0 0xf92a 0xf888 0xf830 0xf806 0xf7ef 0xf7d2 0xf820 0xf899 0xf8ef 0xf964 0xfad1 0xfc68 0xfcfb 
0xfac0 0xfa1d 0xf99c 0xf913 0xf87e 0xf809 0xf7da 0xf7d0 0xf7e6 0xf81d 0xf89d 0xf8f8 0xfa6e 0xfc1b 0xfcc6 0xfd36 
0xfad9 0xfa44 0xf9c2 0xf93b 0xf8b4 0xf84e 0xf82c 0xf814 0xf810 0xf84a 0xf8b7 0xfa5f 0xfc1a 0xfcad 0xfd19 0xfd60 
0xfaee 0xfa55 0xf9e3 0xf971 0xf8d7 0xf885 0xf86e 0xf849 0xf860 0xf8a0 0xfa8c 0xfc17 0xfc98 0xfcb1 0xfd23 0xfd7d 
0xfb19 0xfa9f 0xfa32 0xf9cf 0xf941 0xf90e 0xf8e4 0xf8c9 0xf8fd 0xfa8c 0xfbe2 0xfc5c 0xfc91 0xfd00 0xfd62 0xfdb0 
0xfb43 0xfaca 0xfa68 0xfa0b 0xf9aa 0xf957 0xf935 0xf94b 0xfa8f 0xfb79 0xfc42 0xfc8c 0xfccc 0xfd1b 0xfd7f 0xfdcb 
0xfc0c 0xfaf0 0xfabd 0xfa4d 0xfa07 0xf9bf 0xf9d8 0xfb33 0xfc15 0xfc88 0xfcba 0xfce0 0xfd0c 0xfd57 0xfdb7 0xfe09 
0x50b3 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd66 0xf588 0x1ee2 0xd946 0xfffa 0xfff8 0x0002 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05c0 0x1701 0x1701 0x1701 0x1701 0x1700 0x1700 0x1700 0xfd63 0xce29 0xd0ea 0xd8eb 0xfff9 0xfff5 0x0003 0x0005 
