1728237659
0xfbc0 0xfb38 0xfac6 0xfa93 0xfa1a 0xf9d5 0xf99d 0xf995 0xf98c 0xf99f 0xf9e6 0xfa27 0xfa7e 0xfacf 0xfb6c 0xfcd3 
0xfb85 0xfb16 0xfa9d 0xfa30 0xf9a9 0xf95a 0xf939 0xf919 0xf904 0xf926 0xf97b 0xf9cf 0xfa26 0xfaab 0xfb8e 0xfcdc 
0xfb1d 0xfa98 0xfa36 0xf9d2 0xf930 0xf8d0 0xf89f 0xf88a 0xf884 0xf8bb 0xf90d 0xf969 0xf9c2 0xfa53 0xfc25 0xfd05 
0xfb1c 0xfa8c 0xfa0a 0xf99a 0xf8e6 0xf876 0xf861 0xf845 0xf842 0xf862 0xf8c4 0xf944 0xf9a4 0xfadd 0xfca8 0xfd1d 
0xfae6 0xfa40 0xf9ca 0xf945 0xf8a3 0xf84b 0xf809 0xf7f6 0xf7dc 0xf81f 0xf87b 0xf8ea 0xf98f 0xfbac 0xfcb3 0xfd31 
0xface 0xfa40 0xf9b3 0xf92b 0xf88d 0xf834 0xf808 0xf7f5 0xf7d4 0xf825 0xf89f 0xf8f4 0xfa5c 0xfc7a 0xfced 0xfd2a 
0xfac3 0xfa25 0xf9a1 0xf917 0xf882 0xf80c 0xf7dd 0xf7d4 0xf7e8 0xf824 0xf89f 0xf92a 0xfb81 0xfc7d 0xfce0 0xfd38 
0xfadc 0xfa4a 0xf9c6 0xf93f 0xf8b9 0xf854 0xf82b 0xf818 0xf813 0xf850 0xf8a9 0xfa4b 0xfc1b 0xfc5d 0xfcec 0xfd48 
0xfaf2 0xfa59 0xf9e5 0xf973 0xf8dd 0xf88a 0xf86c 0xf84b 0xf862 0xf883 0xf955 0xfb47 0xfc05 0xfc7b 0xfcfd 0xfd67 
0xfb1d 0xfa9e 0xfa30 0xf9d2 0xf942 0xf90f 0xf8e7 0xf8c9 0xf8d9 0xf916 0xfa9e 0xfc02 0xfc77 0xfcee 0xfd52 0xfda0 
0xfb45 0xfacc 0xfa69 0xfa0e 0xf9ab 0xf958 0xf936 0xf920 0xf92e 0xf9cd 0xfbfd 0xfca8 0xfd08 0xfd3b 0xfd82 0xfdbe 
0xfc0e 0xfaf1 0xfac0 0xfa4f 0xfa08 0xf9be 0xf9aa 0xf9a8 0xf9bb 0xfb3b 0xfc48 0xfcea 0xfd46 0xfd85 0xfdbf 0xfe0c 
0x50c9 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd64 0xf58a 0x1eeb 0xd945 0xfffa 0xfff7 0x0004 0x0003 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05be 0x16fa 0x16fa 0x16fa 0x16fa 0x16f9 0x16f9 0x16f9 0xfd63 0xce28 0xd0e9 0xd8ea 0xfffb 0xfff7 0x0005 0x0005 
