1728237749
0xfbbd 0xfb35 0xfacb 0xfa97 0xfa1b 0xf9dc 0xf9a6 0xf99c 0xf995 0xf9a8 0xf9f2 0xfa2d 0xfa83 0xfad9 0xfc5b 0xfd25 
0xfb84 0xfb17 0xfaa0 0xfa34 0xf9ae 0xf960 0xf944 0xf921 0xf90b 0xf92d 0xf980 0xf9d4 0xfa2c 0xfab2 0xfc19 0xfcf6 
0xfb1d 0xfa9a 0xfa3c 0xf9d7 0xf935 0xf8d6 0xf8a7 0xf893 0xf88c 0xf8c6 0xf916 0xf971 0xf9c4 0xfa51 0xfbc3 0xfce1 
0xfb20 0xfa92 0xfa10 0xf9a2 0xf8ef 0xf87f 0xf86b 0xf850 0xf84a 0xf86d 0xf8ce 0xf949 0xf9a4 0xfa3b 0xfb9c 0xfcd8 
0xfae8 0xfa44 0xf9d2 0xf94d 0xf8a9 0xf851 0xf813 0xf805 0xf7e9 0xf82a 0xf885 0xf8f0 0xf977 0xf9de 0xfb3d 0xfcb4 
0xfad3 0xfa45 0xf9ba 0xf939 0xf894 0xf83e 0xf814 0xf7fd 0xf7de 0xf82c 0xf8a4 0xf8f6 0xf967 0xfa2a 0xfb21 0xfc72 
0xfac7 0xfa28 0xf9aa 0xf91f 0xf888 0xf814 0xf7ec 0xf7de 0xf7f2 0xf82a 0xf8a6 0xf8f2 0xf96c 0xf9fc 0xfb23 0xfc87 
0xfae3 0xfa4e 0xf9d0 0xf947 0xf8c2 0xf85b 0xf837 0xf823 0xf81b 0xf854 0xf8a9 0xf90f 0xf9a5 0xfa27 0xfb63 0xfcbd 
0xfaf4 0xfa60 0xf9ed 0xf97e 0xf8e5 0xf893 0xf879 0xf852 0xf867 0xf885 0xf914 0xf960 0xf9e2 0xfa70 0xfb9c 0xfccd 
0xfb1e 0xfaa6 0xfa39 0xf9d9 0xf94b 0xf91a 0xf8f1 0xf8d3 0xf8de 0xf913 0xf976 0xf9f6 0xfa55 0xfac0 0xfc18 0xfd1b 
0xfb4a 0xfad3 0xfa74 0xfa13 0xf9b3 0xf95f 0xf93f 0xf925 0xf931 0xf972 0xfa13 0xfa3d 0xfa8f 0xfafd 0xfc63 0xfd35 
0xfc0d 0xfaf6 0xfac5 0xfa57 0xfa11 0xf9c4 0xf9b3 0xf9b1 0xf9b9 0xfa00 0xfa6b 0xfa97 0xfae7 0xfb5f 0xfccf 0xfd99 
0x510d 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd4d 0xf58c 0x1f0a 0xd948 0xfff6 0xfff7 0x0002 0x0004 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05b7 0x16df 0x16df 0x16df 0x16df 0x16de 0x16de 0x16de 0xfd49 0xce25 0xd0eb 0xd8ee 0xfff7 0xfff6 0x0007 0x0006 
