1728237779
0xfba0 0xfad8 0xfa6b 0xfa0d 0xf998 0xf92b 0xf909 0xf8e4 0xf8d4 0xf90c 0xf958 0xf9d3 0xfa21 0xfa7c 0xfb45 0xfd0c 
0xfb40 0xfab7 0xfa2d 0xf99d 0xf92c 0xf8af 0xf88d 0xf834 0xf843 0xf87b 0xf8e0 0xf947 0xf9bb 0xfa2d 0xfac4 0xfbde 
0xfae4 0xfa31 0xf983 0xf912 0xf85d 0xf7f6 0xf7d0 0xf797 0xf77b 0xf7c3 0xf824 0xf89b 0xf92b 0xf9a9 0xfa5a 0xfafb 
0xfaa7 0xf9ff 0xf95d 0xf8b4 0xf821 0xf789 0xf766 0xf725 0xf717 0xf75e 0xf7c1 0xf852 0xf8c4 0xf999 0xfa30 0xfaea 
0xfa5d 0xf9a1 0xf902 0xf843 0xf796 0xf717 0xf6db 0xf6ce 0xf6ae 0xf6e3 0xf75c 0xf7e0 0xf878 0xf936 0xf9e7 0xfaa3 
0xfa61 0xf995 0xf8ef 0xf833 0xf780 0xf716 0xf6ca 0xf699 0xf6a4 0xf6b9 0xf753 0xf7c4 0xf85f 0xf91d 0xf9d7 0xfa9c 
0xfa28 0xf96e 0xf8cb 0xf836 0xf774 0xf6e8 0xf6a9 0xf66f 0xf668 0xf6aa 0xf751 0xf7c0 0xf83f 0xf903 0xf9c8 0xfa8c 
0xfa4b 0xf992 0xf907 0xf867 0xf7b7 0xf729 0xf6ec 0xf6df 0xf6c8 0xf6fe 0xf7a0 0xf7fd 0xf86d 0xf937 0xfa19 0xfac0 
0xfa4a 0xf9a8 0xf90e 0xf874 0xf7bc 0xf72b 0xf71b 0xf6ec 0xf6e3 0xf74f 0xf79f 0xf824 0xf8ad 0xf953 0xfa21 0xfad8 
0xfa9d 0xf9fa 0xf96b 0xf8e6 0xf856 0xf7da 0xf7ac 0xf77d 0xf774 0xf7be 0xf831 0xf8a8 0xf924 0xf9c9 0xfa9c 0xfb26 
0xfaa3 0xfa1c 0xf9a2 0xf927 0xf8ba 0xf83c 0xf833 0xf804 0xf7fc 0xf813 0xf896 0xf8eb 0xf988 0xfa0c 0xfaba 0xfb82 
0xfae9 0xfa51 0xfa0d 0xf978 0xf916 0xf8c8 0xf8c0 0xf878 0xf8a6 0xf8a7 0xf930 0xf983 0xfa0c 0xfa8d 0xfb49 0xfc8e 
0x4d4a 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfdb5 0xf55d 0x1c3c 0xd755 0xffed 0xfff0 0xfffd 0xffff 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0650 0x1942 0x1942 0x1942 0x1942 0x1941 0x1941 0x1941 0xfdb3 0xcd02 0xcedb 0xd7e9 0xffee 0xffeb 0x0000 0x0003 
