1728237779
0xfce4 0xfcd6 0xfcc0 0xfc72 0xfc2f 0xfc2d 0xfc2b 0xfc43 0xfc75 0xfcc5 0xfcdf 0xfd06 0xfce3 0xfcd4 0xfd0d 0xfd68 
0xfd0d 0xfce5 0xfcb6 0xfc58 0xfc1f 0xfbf8 0xfc15 0xfc1a 0xfc5f 0xfcb0 0xfccc 0xfceb 0xfcee 0xfd01 0xfd3a 0xfd4f 
0xfcd8 0xfcb7 0xfc7e 0xfc22 0xfbb8 0xfb84 0xfbae 0xfbb0 0xfc16 0xfc6a 0xfc9a 0xfcd3 0xfcba 0xfcb1 0xfd02 0xfd4b 
0xfcee 0xfcac 0xfc73 0xfc1d 0xfb4d 0xfb82 0xfb52 0xfb1c 0xfc0e 0xfc40 0xfc8e 0xfcc5 0xfcc6 0xfcbd 0xfd17 0xfd63 
0xfcc7 0xfc8a 0xfc49 0xfc0c 0xfb76 0xfb0d 0xfad1 0xfaae 0xfbca 0xfc0d 0xfc6c 0xfc97 0xfc86 0xfc75 0xfcbe 0xfd16 
0xfccd 0xfc92 0xfc64 0xfc14 0xfb83 0xfad8 0xfac1 0xfa89 0xfbe6 0xfb9a 0xfc56 0xfc95 0xfc92 0xfc8e 0xfc93 0xfd06 
0xfc87 0xfc74 0xfc4e 0xfbf8 0xfba5 0xfad8 0xfaa6 0xfac0 0xfb88 0xfb8c 0xfc35 0xfc90 0xfc87 0xfc67 0xfc79 0xfd02 
0xfc64 0xfc87 0xfc77 0xfc2d 0xfbcb 0xfb58 0xfaba 0xfaa9 0xfb2d 0xfbbe 0xfc26 0xfc97 0xfca8 0xfc76 0xfc85 0xfd18 
0xfbca 0xfc61 0xfc50 0xfc29 0xfbd9 0xfbd1 0xfab0 0xfac6 0xfae4 0xfb41 0xfbe0 0xfc87 0xfca1 0xfc40 0xfcbd 0xfce5 
0xfba0 0xfc1f 0xfc62 0xfc3f 0xfc25 0xfbde 0xfb46 0xfada 0xfb01 0xfb7e 0xfbf9 0xfc76 0xfce0 0xfcbc 0xfcc8 0xfd48 
0xfb98 0xfb66 0xfc00 0xfc2f 0xfc1d 0xfc00 0xfbc5 0xfb3d 0xfb03 0xfb49 0xfbd1 0xfc21 0xfcb0 0xfd00 0xfcf9 0xfd82 
0xfc4b 0xfb49 0xfb54 0xfbad 0xfc05 0xfbfc 0xfc07 0xfbbd 0xfb51 0xfb93 0xfc14 0xfc2f 0xfc7b 0xfcb0 0xfd29 0xfde5 
0x51ec 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd77 0xf57d 0x1e23 0xd785 0xfff9 0xfff9 0x0002 0x0003 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0631 0x18c6 0x18c6 0x18c6 0x18c6 0x18c5 0x18c5 0x18c5 0xfd73 0xcbce 0xce50 0xd709 0xfffb 0xfff7 0x0005 0x0006 
