1728237839
0xfbce 0xfb47 0xfade 0xfaab 0xfa33 0xf9f5 0xf9bc 0xf9b4 0xf9ab 0xf9c1 0xfa02 0xfa40 0xfa94 0xfae0 0xfb74 0xfc6f 
0xfb95 0xfb2a 0xfab4 0xfa4a 0xf9c8 0xf97b 0xf95f 0xf93a 0xf926 0xf947 0xf99b 0xf9eb 0xfa3f 0xfac0 0xfb48 0xfbc3 
0xfb2d 0xfaad 0xfa52 0xf9f0 0xf950 0xf8f3 0xf8c5 0xf8af 0xf8aa 0xf8e1 0xf931 0xf98a 0xf9dc 0xfa65 0xfb06 0xfbcc 
0xfb32 0xfaa3 0xfa26 0xf9bb 0xf90b 0xf89e 0xf889 0xf86e 0xf86c 0xf889 0xf8e8 0xf965 0xf9bf 0xfa5a 0xfb84 0xfcb9 
0xfafa 0xfa58 0xf9e8 0xf969 0xf8c7 0xf874 0xf834 0xf822 0xf809 0xf84b 0xf8a4 0xf90f 0xf99d 0xfaf4 0xfc6b 0xfd10 
0xfae5 0xfa5a 0xf9d2 0xf950 0xf8b3 0xf85f 0xf834 0xf81e 0xf802 0xf84f 0xf8c8 0xf923 0xfab4 0xfc3d 0xfcd8 0xfd3d 
0xfad8 0xfa3b 0xf9c0 0xf93a 0xf8aa 0xf836 0xf809 0xf801 0xf813 0xf84f 0xf8de 0xfa87 0xfc07 0xfc80 0xfcfc 0xfd7c 
0xfaf1 0xfa60 0xf9e4 0xf95e 0xf8de 0xf87f 0xf858 0xf844 0xf83f 0xf88e 0xfa62 0xfc08 0xfc89 0xfcf1 0xfd57 0xfd9d 
0xfb05 0xfa72 0xfa00 0xf995 0xf902 0xf8b0 0xf899 0xf878 0xf89e 0xfa3c 0xfc1d 0xfc9f 0xfce2 0xfd36 0xfd70 0xfdb6 
0xfb2e 0xfab6 0xfa4e 0xf9ed 0xf964 0xf934 0xf90e 0xf8fb 0xfa2e 0xfb75 0xfc57 0xfcfe 0xfd2a 0xfd63 0xfd9a 0xfdcc 
0xfb58 0xfae6 0xfa87 0xfa2b 0xf9ca 0xf97b 0xf960 0xfa08 0xfb19 0xfbbb 0xfc64 0xfccf 0xfd11 0xfd3c 0xfd7a 0xfdb2 
0xfc19 0xfb06 0xfad8 0xfa6a 0xfa28 0xf9e2 0xfa87 0xfb50 0xfbb9 0xfc19 0xfc93 0xfccb 0xfce5 0xfd07 0xfd71 0xfe02 
0x5144 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd61 0xf590 0x1f23 0xd948 0xfffc 0xfffa 0x0002 0x0002 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05b2 0x16cb 0x16cb 0x16cb 0x16cb 0x16ca 0x16ca 0x16ca 0xfd5c 0xce24 0xd0eb 0xd8ec 0xfffc 0xfff7 0x0005 0x0006 
