1728237869
0xfbad 0xf9ac 0xf880 0xf7ae 0xf6f5 0xf66d 0xf637 0xf5e6 0xf60d 0xf60e 0xf690 0xf6fd 0xf79a 0xf832 0xf928 0xf9f0 
0xfa0c 0xfa79 0xf7ce 0xf6f7 0xf632 0xf57f 0xf532 0xf4f1 0xf4d4 0xf53a 0xf5dc 0xf64f 0xf709 0xf7a8 0xf89c 0xf966 
0xf9cd 0xfc5d 0xf910 0xf635 0xf55e 0xf4a9 0xf42c 0xf41e 0xf3fb 0xf443 0xf4da 0xf589 0xf62b 0xf70a 0xf833 0xf8f7 
0xf8a5 0xf792 0xf6a9 0xf5ba 0xf4af 0xf3f3 0xf387 0xf357 0xf34c 0xf3a4 0xf456 0xf4f2 0xf5a7 0xf67c 0xf7b9 0xf8b2 
0xf841 0xf702 0xf62a 0xf533 0xf430 0xf361 0xf305 0xf2f4 0xf2cc 0xf339 0xf3d4 0xf46e 0xf514 0xf620 0xf76a 0xf868 
0xf818 0xf712 0xf60c 0xf508 0xf3f7 0xf342 0xf305 0xf2ab 0xf29a 0xf2fe 0xf3a4 0xf424 0xf504 0xf604 0xf745 0xf889 
0xf922 0xf756 0xf5ed 0xf4e4 0xf3de 0xf313 0xf2d7 0xf2ba 0xf268 0xf2bd 0xf35b 0xf41b 0xf509 0xf5f2 0xf763 0xf84f 
0xf986 0xf8ac 0xf793 0xf584 0xf434 0xf38a 0xf37a 0xf301 0xf2d4 0xf339 0xf3d5 0xf476 0xf536 0xf646 0xf76b 0xf89f 
0xf9b2 0xf8e8 0xf84f 0xf768 0xf5d8 0xf40d 0xf368 0xf360 0xf380 0xf381 0xf41b 0xf4fb 0xf59f 0xf671 0xf7dd 0xf8c2 
0xf9f6 0xf98a 0xf903 0xf835 0xf758 0xf677 0xf556 0xf420 0xf456 0xf45e 0xf4d9 0xf5a4 0xf642 0xf723 0xf83c 0xf935 
0xfa3d 0xf9b7 0xf962 0xf8c8 0xf816 0xf75e 0xf749 0xf662 0xf576 0xf515 0xf581 0xf60a 0xf6e8 0xf7a3 0xf8b1 0xf98f 
0xfb26 0xf9f1 0xf9b3 0xf8f0 0xf879 0xf82e 0xf802 0xf7c2 0xf780 0xf6fd 0xf69f 0xf6f7 0xf7a3 0xf857 0xf938 0xfa03 
0x467b 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd3f 0xf49f 0x1abd 0xd7c8 0xffe0 0xffe4 0xfffe 0xfffa 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0721 0x1c86 0x1c86 0x1c86 0x1c86 0x1c86 0x1c86 0x1c86 0xfd39 0xcce3 0xcf32 0xd70e 0xffe1 0xffe2 0xfffe 0xfffd 
